Date,4IG.BD,ADID.BD,AKKO.BD,ALTEO.BD,AMIXA.BD,ANY.BD,APPEN.BD,ASTRA.BD,AUTOW.BD,BASF.BD,BAYER.BD,BET.BD,BIF.BD,BMW.BD,CIG.BD,CIVTA.BD,COMMB.BD,DBANK.BD,DELTA.BD,DHS.BD,DMKER.BD,DTEL.BD,ENEFI.BD,EON.BD,EPDUF.BD,EPROI.BD,ESENT.BD,FUTUR.BD,GLSTR.BD,GRNT.BD,GSP.BD,HENK.BD,INFIN.BD,KERMN.BD,LUFTH.BD,MAST.BD,MBH.BD,MBHJ.BD,MERC.BD,MGKR.BD,MOL.BD,MTEL.BD,NAP.BD,NATUR.BD,NAVIG.BD,NORD.BD,NUTEX.BD,OPUS.BD,ORM.BD,OTP.BD,OXOTH.BD,PERGY.BD,PLYDR.BD,PNSUM.BD,RABA.BD,RICHT.BD,SAP.BD,SPPC.BD,STRT.BD,THYSS.BD,UBM.BD,VERTI.BD,VIG.BD,VVT.BD,VWPR.BD,WABS.BD,WIZZ.BD,ZWACK.BD,^BUX.BD
2022-04-29,779.6002807617188,,300.5,2181.493408203125,650.0,1381.0428466796875,,,,,,,184.61355590820312,29084.107421875,,,,,41.0,,47.0,,257.0,,,,,,,,,,,,,,,,,,2367.551513671875,,,,,,11.449999809265137,196.1438751220703,,9764.8779296875,,,,,1210.0,,,,,,1350.791748046875,,,,,,,13380.5126953125,
2022-05-31,731.4172973632812,,282.0,2126.727783203125,705.0,1360.35400390625,,,,,,,212.23292541503903,31733.560546875,,,,,38.5,,42.0,,224.0,,,,,,,,,,,,,,,,,,2057.865234375,,1170.4918212890625,,,,10.75,172.29510498046875,,8320.8857421875,,,,,1155.0,,,,,,1350.791748046875,,,,,,,14055.494140625,
2022-06-30,790.0,,270.0,2259.819580078125,565.0,1339.03173828125,,,,,,,187.2643280029297,28859.59765625,,,,,39.0,,39.0,,213.0,,,,,,,,,,,,,,,,,,2259.161376953125,,1207.557373046875,,,,9.9399995803833,161.392822265625,,7947.2099609375,,,,,1095.0,,,,,,1350.791748046875,,,494.0,,,,14730.4755859375,
2022-07-29,705.0,,293.5,2564.94287109375,502.5,1321.97412109375,,,,,,,182.5827178955078,31883.505859375,,,,,38.59999847412109,,37.59999847412109,,199.0,,,,,,,,,,,,,,,,,,2498.41455078125,,1145.1312255859375,,,,9.0,147.180908203125,,7662.2353515625,,,,,1115.0,,,,,,1350.791748046875,,,360.0,,,,15260.2509765625,
2022-08-31,837.0,,315.0,2841.4609375,404.0,1304.9163818359375,,,,,,,187.2643280029297,29639.314453125,,,,,37.79999923706055,,42.0,,195.0,,,,,,,,,,,,,,,,,,2364.294677734375,,1258.2786865234375,,,,10.75,149.90647888183594,,8013.263671875,,,,,1115.0,,,,,,1379.1300048828125,,,330.0,,,,14872.2783203125,
2022-09-30,710.0,,311.5,2622.153564453125,333.0,1185.51220703125,,,,,,,176.340576171875,30084.154296875,,,,,36.75,,47.09999847412109,,148.0,,,,,,,,,,,,,,,,,,2068.542724609375,,1164.639404296875,,,,9.039999961853027,125.96037292480467,,7462.1865234375,,,,,1295.0,,,,,,1379.1300048828125,,,410.0,,,,14398.08984375,
2022-10-28,690.0,,281.0,2831.92578125,390.0,1185.51220703125,,,,,,,174.78004455566406,32308.353515625,,,,,35.0,,46.29999923706055,,156.0,,,,,,,,,,,,,,,,,,2135.602783203125,,1215.3607177734375,,,,8.199999809265137,115.83683013916016,,8520.93359375,,,,,1370.0,,,,,,1379.1300048828125,,,410.0,,,,14354.982421875,
2022-11-30,727.0,,259.5,2860.53125,436.0,1279.3297119140625,,,,,,,170.0984344482422,34987.390625,,,,,39.0,,42.0,,160.0,,,,,,,,,,,,,,,,,,2424.4765625,,1158.786865234375,,,,15.199999809265137,120.70391845703124,,10143.96875,,,,,1295.0,,,,,,1450.0,,9997.5751953125,410.0,,,,14613.6298828125,
2022-12-30,715.0,,268.0,3051.2333984375,401.0,1279.3297119140625,,,,,,,159.1746826171875,33687.859375,,,,,36.29999923706055,,41.79999923706055,,154.0,,,,,,,,,,,,,,,380.0,,,2237.052490234375,,1121.7213134765625,,,,14.399999618530272,114.86341094970705,,9540.048828125,,,,,1150.0,,,,,,1350.0,,8877.8466796875,410.0,,,,14527.4140625,
2023-01-31,703.0,,288.5,2765.18017578125,429.0,1245.2142333984375,,,,20527.673828125,21837.40234375,,159.1746826171875,35737.1171875,,,,,35.0,,40.59999847412109,,164.5,,,,,,,,,,,,,,,,,,2305.83203125,,1190.0,,,,14.649999618530272,124.40291595458984,,10214.7412109375,,,,,1415.0,,42106.671875,,,,1400.0,,8877.8466796875,410.0,,,,14484.3056640625,
2023-02-28,700.0,,269.5,2803.320556640625,414.0,1258.0076904296875,,,,18183.509765625,21567.435546875,,160.73521423339844,38406.15625,,,,,35.04999923706055,,37.0,,151.0,,,,,,,,,,,,,,,,,,2340.2216796875,,1102.213134765625,,,,12.699999809265137,124.79227447509766,,10252.486328125,,,,,1330.0,,41461.72265625,,,,1400.0,,8997.8173828125,302.0,,,,14829.1708984375,
2023-03-31,678.0,,248.0,2612.618408203125,405.0,1347.5606689453125,,,,18365.443359375,22372.33984375,,154.49307250976562,38486.12890625,,,,,35.400001525878906,,36.0,,125.0,,,,,,,,,,,,,,,386.0,,,2204.38232421875,,1145.1312255859375,,,,13.5,113.8899917602539,,9419.2646484375,,,,,1300.0,,43456.5625,,,,1470.0,,10097.5517578125,302.0,,,,16036.1962890625,
2023-04-28,686.0,,246.0,2603.08349609375,439.0,1377.4117431640625,,,,17175.087890625,22082.373046875,,204.43023681640625,37451.5,,,,,34.5,,35.29999923706055,,122.0,,,,,,,,,,,,,,,406.0,,,2357.41650390625,,1029.057373046875,,,,14.0,115.83683013916016,,9719.337890625,,,,,1240.0,,44846.453125,,,,1470.0,,10987.3349609375,302.0,,,,15906.87109375,
2023-05-31,675.0,,230.0,2631.688720703125,469.0,1428.5849609375,,,,16557.193359375,19419.80078125,,263.0,37994.31640625,,,,,33.5,,35.0,,142.0,,,,,,,,,,,,,,,416.0,,,2424.4765625,,994.9180908203124,,,,16.350000381469727,102.40364837646484,,10471.654296875,,,,,1320.0,,46198.4609375,,,,1470.0,,10498.75390625,302.0,,,,16294.84375,
2023-06-30,660.0,,209.0,2555.407958984375,485.0,1484.0225830078125,,,,15725.333984375,18995.8046875,3213.45849609375,272.0,41373.80859375,,,,,42.0,,34.0,,130.0,,,,,,,,,,,,,,,446.0,,,2568.913330078125,,975.4098510742188,,,,13.350000381469728,155.94168090820312,,11766.666015625,,,,,1240.0,,45498.484375,,,,1440.0,,10578.744140625,302.0,,,,16725.923828125,
2023-07-31,697.0,,215.0,2698.434326171875,497.0,1488.794189453125,,,,18914.79296875,20679.787109375,2912.5,288.0,40993.8671875,,,,,44.70000076293945,,33.099998474121094,,157.0,,,,,,,,,,,,,,,474.0,,,2688.6728515625,,926.6393432617188,,,,11.449999809265137,213.1786956787109,,12426.2978515625,,,,,1195.0,,48588.3828125,,,,1420.0,,10578.744140625,302.0,,,,17503.845703125,
