Date,ABC-A.CR,ARC-B.CR,BNC.CR,BPV.CR,BVCC.CR,BVL.CR,C2444A.CR,C2445A.CR,C2446A.CR,C2447A.CR,C2448A.CR,C2449A.CR,C2450A.CR,C2451A.CR,C2452A.CR,CCR.CR,CGQ.CR,CRM-A.CR,DOM.CR,DT434P.CR,EFE.CR,ENV.CR,FNC.CR,FST42P.CR,GMC-B.CR,GZL.CR,IBC.CR,ICP-B.CR,IVC-A.CR,IVC-B.CR,MPA.CR,MVZ-A.CR,MVZ-B.CR,PGR.CR,PI413.CR,PIV-B.CR,PTN.CR,RST-B.CR,RST.CR,SD251P.CR,SVS.CR,TDV-D.CR,TPG.CR
2022-04-29,,,,1.840000033378601,,,,,,,,,,,,41.9900016784668,2.150000095367432,,,,0.1800000071525573,,0.949999988079071,,,3.3499999046325684,,0.0805739983916282,,,0.6399999856948853,,,0.1500000059604644,,,0.5600000023841858,,,,0.6399999856948853,,0.0252999998629093
2022-05-31,,,,1.7799999713897705,,,,,,,,,,,,55.0,2.150000095367432,,,,0.2199999988079071,,0.949999988079071,,,3.900000095367432,,0.094550997018814,,,0.628000020980835,,,0.1550000011920929,,,0.5699999928474426,,,,0.6370000243186951,,0.0414999984204769
2022-06-30,,,,2.049999952316284,,,,,,,,,,,,89.0,2.150000095367432,,,,0.2150000035762787,,1.0,,,9.0,,0.1471710056066513,,,0.6200000047683716,,,0.1519999951124191,,,0.699999988079071,,,,0.6549999713897705,,0.0390000008046627
2022-07-29,,,,2.200000047683716,,,,,,,,,,,,100.0,2.569999933242798,,,,0.1959999948740005,,0.800000011920929,,,7.809999942779541,,0.4110920131206512,,,0.6200000047683716,,,0.152999997138977,,,0.6890000104904175,,,,0.6650000214576721,,0.0395999997854232
2022-08-31,,,,2.990000009536743,,,,,,,,,,,,93.98999786376952,3.5899999141693115,,,,0.1700000017881393,,0.8999999761581421,,,8.5,,0.5344200134277344,,,0.699999988079071,,,0.2090000063180923,,,1.0499999523162842,,,,0.800000011920929,,0.0414999984204769
2022-09-30,,,,2.75,,,,,,,,,,,,70.0,3.700000047683716,,,,0.1599999964237213,,0.8999999761581421,,,9.0,,0.4530239999294281,,,0.675000011920929,,,0.1800000071525573,,,0.675000011920929,,,,0.699999988079071,,0.0379999987781047
2022-10-28,,,,2.8499999046325684,,,,,,,,,,,,32.0,3.700000047683716,,,,0.1899999976158142,,1.0399999618530271,,,9.199999809265137,,0.4489130079746246,,,0.6740000247955322,,,0.1899999976158142,,,0.800000011920929,,,,0.699999988079071,,0.0399999991059303
2022-11-30,,,,4.199999809265137,,,,,,,,,,,,37.5,3.700000047683716,,,,0.2599999904632568,,1.6200000047683716,,,10.300000190734863,,0.5015329718589783,,,0.7990000247955322,,,0.2450000047683715,,,0.9980000257492064,,,,0.8379999995231628,,0.0560000017285347
2022-12-30,,,,7.0,,,,,,,,,,,,53.900001525878906,3.849999904632568,,,,0.5839999914169312,,4.5,,,12.300000190734863,,0.8624719977378845,,,0.8989999890327454,,,0.4650000035762787,,,2.220000028610229,,,,0.9179999828338624,,0.0949999988079071
2023-01-31,,,,7.710000038146973,,,,,,,,,,,,53.0,4.590000152587891,,,,0.6499999761581421,,6.0,,,14.75,,1.1510590314865112,,,1.059999942779541,,,0.4679999947547912,,,2.130000114440918,,,,1.1399999856948853,,0.0780000016093254
2023-02-28,,,,7.199999809265137,,,,,,,,,,,,53.0,4.599999904632568,,,,0.8389999866485596,,7.300000190734863,,,14.75,,1.874582052230835,,,1.2599999904632568,,,0.5640000104904175,,,2.049999952316284,,,,1.899999976158142,,0.0925000011920929
2023-03-31,,,,7.900000095367432,,,,,,,,,,,,43.0,5.5,,,,0.9800000190734864,,10.329999923706056,,,14.649999618530272,,3.782052993774414,,,1.2000000476837158,,,0.5730000138282776,,,1.899999976158142,,,,1.850000023841858,,0.1199999973177909
2023-04-28,,,,7.650000095367432,,,,,,,,,,,,45.0,5.0,,,,1.0700000524520874,,10.0,,,15.4399995803833,,6.0,,,1.3200000524520874,,,0.5149999856948853,,,2.0,,,,2.359999895095825,,0.1199999973177909
