Date,BXIDKAIA.CO,BXIDKAIAA.CO,BXIGAI.CO,BXIGAIAKKA.CO,BXIUSAAIA.CO,CARL-B.CO,CEMAT.CO,CESSA.CO,CHEMM.CO,CMINOA.CO,COIMOD.CO,COIMRA.CO,COLO-B.CO,COLUM.CO,CPHCAP-PREF32.CO,CPHCAP-ST.CO,CURAS.CO,CWIASKLA.CO,CWIEMMKL.CO,CWIIA.CO,CWISAKTKLA.CO,DAB.CO,DANCAN.CO,DANSKE.CO,DANT.CO,DEMANT.CO,DFDS.CO,DJUR.CO,DKIDIO.CO,DKIDK.CO,DKIDKA.CO,DKIDKF.CO,DKIDKIEXOMXC20D.CO,DKIDKIX.CO,DKIDKLOBL.CO,DKIDMOBL.CO,DKIEAUHU.CO,DKIEIGO.CO,DKIEUHUAKLDKK.CO,DKIEUHYOAKKDKKH.CO,DKIEUHYODKKDH.CO,DKIEUIX.CO,DKIEUIXBNP.CO,DKIFJIX.CO,DKIFO.CO,DKIGI.CO,DKIGI2AKK.CO,DKIGIADKKH.CO,DKIGLIADKKH.CO,DKIGLIO.CO,DKIGLOVO.CO,DKIGMI.CO,DKIGSFUT.CO,DKIGSFUT2.CO,DKIGSFUTDKKD.CO,DKIJAP.CO,DKIKI.CO,DKIKO.CO,DKIMA.CO,DKIMDA.CO,DKIMOAK.CO,DKIMOB.CO,DKIMOPA.CO,DKINMAKK.CO,DKINMOBLLV.CO,DKINVO.CO,DKINYM.CO,DKIUSAIAKKDKKH.CO,DKIUSAIKLDKKD.CO,DNORD.CO,DONKEY.CO,DSIGSFUT3DKKD.CO,DSV.CO,EGNETY.CO,EMBLA.CO,ERRIA.CO,ESG.CO,FED.CO,FFARMS.CO,FIIFBF.CO,FIIFDA.CO,FLS.CO,FLUG-B.CO,FOM.CO,FPIGA.CO,FPIGAA.CO,FPIGFU.CO,FPIGHY.CO,FPILIM.CO,FPIMHI.CO,FPIMLO.CO,FPIMME.CO,FPIOBL.CO,FPIVRE.CO,FREETR.CO,FUISP.CO,FUISPA.CO,FYNBK.CO,GABR.CO,GDIGV.CO,GDIGVA.CO,GDIIND.CO,GJ.CO,GMAB.CO,GREENH.CO,GREENM.CO,GRIEHY.CO,GRIEMA.CO,GUBRA.CO,GYLD-B.CO,HARB-B.CO,HH.CO,HLUN-B.CO,HUSCO.CO,HVID.CO,IAIACG.CO,IAIACVF.CO,IAICBB.CO,IAIFFS.CO,IAIFGK.CO,IAIGHI.CO,IAIRIN.CO,IAISDKAKT.CO,IMPERO.CO,JYIAAU.CO,JYIDKAKT.CO,JYIFJASRIKL.CO,JYILOB.CO,JYINOB.CO,JYINYAKL.CO,JYIVIRK.CO,JYSK.CO,KBHL.CO,LEDIBOND.CO,LSIB40.CO,LSIB60.CO,LSIB80.CO,LSIDBA.CO,LSIDKA.CO,LSIEUC.CO,LSIGAA.CO,LSIGAB.CO,LSIOBL.CO,LSIVSE.CO,MAERSK-A.CO,MAERSK-B.CO,MAJDCS.CO,MAJEMV.CO,MAJGOA.CO,MAJGRO.CO,MAJHIO.CO,MAJLO.CO,MAJNZ.CO,MAJPP.CO,MAJSWN.CO,MAJVA.CO,MAPS.CO,MATAS.CO,MDUNDO.CO,MMIGA.CO,MMIGAA.CO,MMINAA.CO,MMINAM.CO,MNBA.CO,MONSO.CO,MOVINN.CO,MTHH.CO,NBIBMKL.CO,NBIBOKL.CO,NBIDEKL.CO,NBIMOKL.CO,NBIOFKL.CO,NDA-DK.CO,NDI4KL1.CO,NDIAAKL1.CO,NDIAKL1.CO,NDIAKTIIKL1.CO,NDIB2KL1.CO,NDIB3KL1.CO,NDIDAFKL1.CO,NDIDKKL1.CO,NDIEHYKL1.CO,NDIEMMAENKL1.CO,NDIESCSKL1.CO,NDIESKL1.CO,NDIEUENHKL1.CO,NDIFONKL1.CO,NDIGAIKL1.CO,NDIGLENHKL1.CO,NDIGOBLKL1.CO,NDIGSCKL1.CO,NDIGSTKL1.CO,NDIGUAKL1.CO,NDIJAPENHKL1.CO,NDIKMKL1.CO,NDIMLOKL1.CO,NDINAEKL1.CO,NDINASTKL1.CO,NDINSCKL1.CO,NDISTAAKL1.CO,NDISTABAKL1.CO,NDISTABKL1.CO,NDIVOBKL1.CO,NEWCAP.CO,NEXCOM.CO,NKT.CO,NLFSK.CO,NNIT.CO,NOVO-B.CO,NTG.CO,NTR-B.CO,NYIBKO.CO,NYIDA.CO,NYIDAA.CO,NYIKO.CO,NYIKOA.CO,NYIKRO.CO,NYILOAKLA.CO,NYILOKLA.CO,OKEAC.CO,ORSTED.CO,PAAL-B.CO,PARKEN.CO,PARKST-A.CO,PEG.CO,PFINV.CO,PMIAAN.CO,PMICTBKLN.CO,PMIDEM.CO,PMIFRKLN.CO,PMIH3I.CO,PMILGICHIEUR.CO,PMINDI.CO,PMIOUIB.CO,PMIPCBAKLNEUR.CO,PMIPCSPKLNO.CO,PMIPIN.CO,PNDORA.CO,PRIMOF.CO,RBLN-B.CO,RBREW.CO,RIAS-B.CO,RILBA.CO,RISK.CO,RISMA.CO,ROCK-A.CO,ROV.CO,RTX.CO,SCHO.CO,SDIBAL.CO,SDIKON.CO,SDIOFF.CO,SDIVKS.CO,SEIBDP.CO,SEIBSP.CO,SEIBVP.CO,SEIDAAP.CO,SEIDKAP.CO,SEIESCP.CO,SEIEUASP.CO,SEIMOBL.CO,SHAPE.CO,SHIGVAKL.CO,SHIVMAKL.CO,SIG.CO,SKAKO.CO,SKIGLO.CO,SKIKON.CO,SKIM2.CO,SOLAR-B.CO,SPG.CO,SPIBDVAA.CO,SPIBDVOIGKLA.CO,SPIBJAKL.CO,SPIC25KL.CO,SPIDJWKL.CO,SPIDKAKLA.CO,SPIEMIKL.CO,SPIEUCKL.CO,SPIEUGKL.CO,SPIEUVKL.CO,SPIGLAMRIKL.CO,SPIKOOKLA.CO,SPIMAKLA.CO,SPIMHRKLA.CO,SPIMLOKLA.CO,SPIMLRKLA.CO,SPIMMRIA.CO,SPIMMRKLA.CO,SPIMRA.CO,SPISOKLA.CO,SPIUSGKL.CO,SPIUSSKL.CO,SPIUSVKL.CO,SPIVAKLA.CO,SPIVEMKLA.CO,SPIVEUKLA.CO,SPIVHYKORTKLA.CO,SPKSJF.CO,SPNO.CO,SPVBEUKL.CO,SPVBUSAKL.CO,SPVIBGKL.CO,SPVIEMBLAKKKLA.CO,SPVIEMMBLV.CO,SPVIGAKL.CO,SPVIGAMRAKL.CO,SPVIHRKL.CO,SPVILRKL.CO,SPVIMRKL.CO,SRIGAU.CO,SSIBDKKR.CO,SSIEGVEURR.CO,SSIEUVEURR.CO,SSIGCBDKKR.CO,SSIGCBEURR.CO,SSIGEHYEURR.CO,SSIGVDKKR.CO,SSIGVEURR.CO,SSIPDKKR.CO,SSIPEURR.CO,SSISCBIGDKKR.CO,SSISDKKR.CO,SSISEURR.CO,STENO.CO,STG.CO,STIGM.CO,STIGP.CO,STIGS.CO,STIIAM.CO,STIINM.CO,STRAP.CO,SVITZR.CO,SWISS.CO,SYDB.CO,SYIEUVADKK.CO,SYIFJERADKKA.CO,SYIGEAADKK.CO,SYIGLVADKK.CO,SYIGLVADKKAKK.CO,SYIHRLADKK.CO,SYIHRLADKKAKK.CO,SYIIDKADKK.CO,SYIIGALRKL.CO,SYIIMSLKL.CO,SYIITYADKK.CO,SYIKOADKK.CO,SYIKVAADKK.CO,SYIMEGADKK.CO,SYIMEGADKKAKK.CO,SYIMOADKKA.CO,SYIUSAVADKK.CO,SYIVIGADKK.CO,SYIVOHYADKK.CO,SYIVOHYADKKAK.CO,SYVFBAKKA.CO,SYVFOAKKA.CO,SYVFOUA.CO,SYVFVOAKKA.CO,SYVFVOUA.CO,TCM.CO,TGAMES.CO,TIV.CO,TOIBO.CO,TOIEQT.CO,TRIFOR.CO,TRMD-A.CO,TRYG.CO,UIE.CO,UNLGRP.CO,VAIGLOA.CO,VIRO.CO,VJBA.CO,VWS.CO,WEIAB.CO,WEIAGA.CO,WEIBGA.CO,WEIHPIDKOAKKKL.CO,WEIHPIGROBLKLA.CO,WEIHPIKDKRO.CO,WEIHPILDKOBLKL.CO,WEIITGESGS.CO,WEIITNAKTLC.CO,WEIITOBL.CO,WEIJHO.CO,WEILPDF.CO,WEILPGVF.CO,WEIMGA.CO,WEIOAI.CO,WEIOAV.CO,WEIOGA.CO,WEIOM.CO,WEIOOF.CO,WEIOS.CO,WEIOVM.CO,WEISA.CO,WEISAK.CO,WEISSA.CO,WEISSO.CO,WEISTA.CO,WEISTS.CO,WEITISOP.CO,WIRTEK.CO,ZEAL.CO,^OMXC20,AAB.CO,ACT.CO,AGAT.CO,AGF-B.CO,AGILC.CO,ALMB.CO,AMBU-B.CO,AOJ-B.CO,ATLA-DKK.CO,AUDNTS.CO,BAIBAA.CO,BAIDKAA.CO,BAIDKAAKA.CO,BAIEMMAA.CO,BAIEMMAAA.CO,BAIEMOLVA.CO,BAIEUAA.CO,BAIGAAA.CO,BAIGASCTA.CO,BAIGASCTAA.CO,BAIGOAA.CO,BAIHU.CO,BAIHUAA.CO,BAIKAA.CO,BAIKDKOAKA.CO,BAIKDOBA.CO,BAIKHYORLA.CO,BAIKOA.CO,BAILDKOAA.CO,BAIMLDKOAA.CO,BAIVOHYJYCAPA.CO,BAIVOIGA.CO,BAIVOIGAKA.CO,BETCO-DKK.CO,BIF.CO,BIV10.CO,BIV10A.CO,BIV30.CO,BIV30A.CO,BIV55.CO,BIV55A.CO,BIV75.CO,BIV75A.CO,BIVO30.CO,BIVO55.CO,BIVO75.CO,BIVOAA.CO,BIVOPA.CO,BIVOPRAA.CO,BO.CO,BOOZT-DKK.CO,BULL-AAPL-X3-ND.CO,BULL-SX5E-X2-ND2.CO
2024-05-31,107.704345703125,117.0500030517578,112.40414428710938,,116.47541046142578,901.5508422851562,0.9340000152587892,,359.1845397949219,130.2100067138672,159.6999969482422,135.64999389648438,824.7999877929688,10.287930488586426,,5.291079044342041,,160.75680541992188,313.8999938964844,151.1999969482422,143.57806396484375,11.842793464660645,,189.41294860839844,425.7736511230469,329.0,213.3999938964844,486.9924926757813,76.25850677490234,141.60267639160156,1292.27001953125,287.6636047363281,204.56643676757807,166.48092651367188,79.4945068359375,79.8642578125,128.07858276367188,95.37000274658205,213.94000244140625,136.14999389648438,,117.6951141357422,579.5577392578125,146.78375244140625,71.2351303100586,138.39723205566406,,419.8299865722656,141.86000061035156,84.94999694824219,83.9000015258789,99.06999969482422,350.0,31.239999771118164,66.72750091552734,119.67264556884766,105.29000091552734,87.93626403808594,173.39999389648438,134.72999572753906,189.55999755859372,93.07298278808594,230.50999450683597,335.260009765625,104.33999633789062,113.91000366210938,183.56085205078125,297.3999938964844,74.80549621582031,323.3819885253906,6.400000095367432,143.38352966308594,1049.0499267578125,124.0,28.299999237060547,3.680000066757202,9.4399995803833,113.0,78.5999984741211,,203.6999969482422,384.8038940429688,350.8554992675781,23.899999618530277,112.95884704589844,148.10000610351562,,87.49048614501953,264.95001220703125,355.29998779296875,141.89999389648438,278.1000061035156,,,,185.3560028076172,331.44000244140625,152.49935913085938,270.0,118.66507720947266,,121.84414672851562,73.0,1937.0,9.5600004196167,31.0,109.8683090209961,98.23999786376952,328.0,316.5555419921875,146.17117309570312,107.0,36.80486679077149,59.79999923706055,116.26470184326172,,,,102.08245849609376,,,133.60000610351562,104.73429107666016,5.550000190734863,126.96256256103516,420.2816162109375,165.59434509277344,88.37000274658203,94.41999816894533,258.29998779296875,89.95999908447266,542.0946044921875,4731.2646484375,0.3319999873638153,,222.0,,174.3000030517578,121.38999938964844,114.85620880126952,170.8000030517578,,82.3333969116211,101.5630111694336,10955.140625,11349.0283203125,,99.10211181640624,155.85000610351562,96.60369873046876,97.3865737915039,,104.6500015258789,123.0,,110.88352966308594,2.319999933242798,116.6525421142578,6.800000190734863,161.72503662109375,324.3900146484375,165.75999450683594,130.99102783203125,230.1967315673828,0.4440000057220459,4.300000190734863,192.9797515869141,103.12000274658205,108.27999877929688,238.5,,230.6000061035156,83.30127716064453,135.77586364746094,155.9886932373047,114.33507537841795,447.0179138183594,147.88580322265625,154.64453125,175.82626342773438,161.9512176513672,104.0999984741211,,165.5500030517578,88.81999969482422,,,203.20266723632807,170.0191650390625,,38.42963409423828,144.90756225585938,93.10558319091795,124.57709503173828,155.3878936767578,147.7506866455078,161.57583618164062,,241.77268981933597,283.5,91.81898498535156,118.54197692871094,,0.0604324378073215,4.0,593.0,150.39999389648438,108.0,908.54931640625,293.0,3.5799999237060547,,194.86935424804688,522.5800170898438,95.8000030517578,146.2899932861328,97.5500030517578,,,10800.0,418.8999938964844,367.9431762695313,107.15100860595705,11.0,0.2479999959468841,,,,,,147.7047882080078,,100.67620849609376,,,168.89999389648438,,1104.0797119140625,180.0,80.0,533.3494873046875,665.0,1218.7061767578125,,8.5,275.7772521972656,34.20000076293945,100.5,557.4346313476562,106.15940856933594,102.38072204589844,109.82144165039062,113.68944549560548,,,,409.5,140.0302734375,390.0768127441406,,83.16999816894531,28.299999237060547,161.96759033203125,159.0800018310547,3.299999952316284,76.39188385009766,2269.0,,167.9499969482422,333.93359375,264.9242553710937,103.99249267578124,,62.0817756652832,274.50006103515625,182.70034790039065,222.32827758789065,125.92340850830078,168.95814514160156,150.4190673828125,112.61441040039062,119.86666107177734,109.11972045898438,119.26929473876952,115.37928009033205,97.23999786376952,97.46466064453124,106.14299774169922,101.0311279296875,,133.89999389648438,158.5659637451172,111.23245239257812,82.88770294189453,506.3042602539063,134.04786682128906,111.98320770263672,93.84458923339844,208.82391357421875,127.1999969482422,121.20855712890624,125.42351531982422,137.3646240234375,,,153.17514038085938,137.6999969482422,116.3687515258789,104.6500015258789,109.76748657226562,252.8813934326172,,263.70001220703125,,,,,,439.1000061035156,,,,,,4.440000057220459,88.3196792602539,1685.5999755859375,1838.4000244140625,1659.800048828125,1788.5999755859375,,1009.7999877929688,261.8383178710937,83.0,343.563720703125,,303.260009765625,98.35536193847656,,,64.5999984741211,,102.84190368652344,99.3832015991211,150.46331787109375,97.11830139160156,88.61509704589844,123.0552749633789,116.47102355957033,127.0500030517578,100.11000061035156,34.973846435546875,91.16999816894533,83.58000183105469,173.02000427246094,,,103.01382446289062,153.39999389648438,108.25507354736328,63.36285400390625,7.199999809265137,713.8587646484375,,,119.4000015258789,249.8750762939453,134.09872436523438,225.68345642089844,,159.1584930419922,7.800000190734863,4.228888988494873,191.6547393798828,149.35000610351562,180.6499938964844,131.5500030517578,114.61000061035156,95.41000366210938,,87.16999816894531,,,,,132.89999389648438,159.0500030517578,210.8999938964844,150.39999389648438,,103.1500015258789,183.8999938964844,157.14999389648438,139.39999389648438,208.6999969482422,131.64999389648438,,100.9000015258789,98.12000274658205,104.74773406982422,,,9.640625,639.5,,44.0,3.299999952316284,1.600000023841858,0.6200000047683716,9.350000381469728,13.12578010559082,130.95176696777344,70.02278137207031,2.5999999046325684,,113.4499969482422,114.69574737548828,231.3999938964844,127.1500015258789,,96.09144592285156,,157.35000610351562,125.90538024902344,137.8000030517578,,136.0,135.07534790039062,,123.0999984741211,86.40570831298828,100.6999969482422,100.3000030517578,,,,71.69999694824219,,158.39999389648438,0.6499999761581421,97.1999969482422,130.1999969482422,100.60902404785156,114.9499969482422,105.23711395263672,204.1999969482422,107.87611389160156,233.5,,,,,101.19561004638672,97.58000183105467,10.399999618530272,89.4000015258789,,
2024-06-28,105.66944885253906,115.5500030517578,118.1639175415039,,124.20938110351562,810.9105224609375,0.9079999923706056,,301.2323913574219,130.13999938964844,164.9499969482422,,836.5999755859375,9.536121368408203,8.095237731933594,5.142731189727783,,171.21946716308594,335.29998779296875,169.64999389648438,148.50894165039062,11.599114418029783,,186.53623962402344,364.9488525390625,301.3999938964844,196.8999938964844,501.3157958984375,75.86141967773438,138.74330139160156,1266.280029296875,281.0283203125,204.4783477783203,163.32989501953125,80.3139419555664,80.51856231689453,126.78111267089844,96.0500030517578,211.3600006103516,137.0,,116.8951187133789,570.953857421875,155.20260620117188,71.8299789428711,145.2172393798828,,435.8500061035156,142.9499969482422,85.5999984741211,84.48999786376953,99.70999908447266,371.5,33.02000045776367,70.74948120117188,121.57119750976562,105.12999725341795,88.57466888427734,175.8800048828125,136.11000061035156,193.02999877929688,93.64940643310548,236.75,353.739990234375,104.41999816894533,114.66999816894533,193.63101196289065,314.70001220703125,80.11337280273438,294.6196594238281,6.550000190734863,152.11558532714844,1061.9888916015625,122.0,29.5,3.359999895095825,9.920000076293944,109.0,78.4000015258789,130.14999389648438,205.1000061035156,337.7766418457031,331.1445007324219,24.0,117.16996002197266,153.14999389648438,,87.68222045898438,274.0899963378906,362.7999877929688,144.14999389648438,284.20001220703125,94.81999969482422,,,180.6905975341797,322.92999267578125,151.5341796875,260.0,119.76171112060548,,127.1459503173828,73.5,1745.0,9.140000343322754,27.899999618530277,110.04598999023438,102.91999816894533,489.0,320.3240661621094,172.9279327392578,100.4000015258789,37.89711380004883,55.0,112.32352447509766,,,,,,,128.3000030517578,,5.300000190734863,133.2293701171875,,,89.13999938964844,95.0500030517578,272.79998779296875,90.38999938964844,531.54052734375,4253.15771484375,0.3680000007152557,,,,,119.1999969482422,115.6163558959961,179.8000030517578,,82.79180145263672,107.59745025634766,10754.9638671875,11021.2587890625,,106.33451080322266,153.02999877929688,97.54027557373048,98.18753051757812,,98.54000091552734,111.0,,117.86775207519533,2.299999952316284,116.0,6.449999809265137,171.60116577148438,344.32000732421875,172.7899932861328,136.5553741455078,232.1475524902344,0.4740000069141388,3.319999933242798,175.88027954101562,105.0500030517578,110.69000244140624,242.0,291.79998779296875,235.6999969482422,82.2515869140625,139.35635375976562,163.235107421875,,464.0565185546875,149.77061462402344,158.23870849609375,170.86764526367188,157.9484405517578,104.3000030517578,111.17779541015624,,94.26000213623048,121.02840423583984,,214.14073181152344,179.00294494628906,,38.80585479736328,,96.1089859008789,125.16588592529295,157.73443603515625,149.1380157470703,172.0778045654297,49.730770111083984,,288.70001220703125,93.43389129638672,,,0.0625405460596084,4.900000095367432,609.5,139.39999389648438,107.1999969482422,985.2659912109376,304.0,3.640000104904175,104.1500015258789,193.03924560546875,517.5900268554688,96.3499984741211,147.0500030517578,98.25,,,10800.0,370.6000061035156,372.8295593261719,102.9762954711914,10.300000190734863,0.2960000038146972,,,,,,162.4503631591797,,104.27740478515624,,,168.39999389648438,,1032.37353515625,178.0,81.0,522.9287719726562,645.0,1155.2938232421875,,8.550000190734863,272.3544616699219,36.79999923706055,96.8000030517578,532.1409301757812,108.44711303710938,104.04544830322266,112.88419342041016,118.45691680908205,,,,,138.93043518066406,373.7822265625,197.1507873535156,83.83999633789062,26.200000762939453,160.2425537109375,158.44000244140625,3.359999895095825,65.78189849853516,2368.5,783.4000244140625,167.8000030517578,305.12176513671875,254.0909118652344,,,63.29608917236328,271.1836853027344,193.4361572265625,220.33811950683597,132.67153930664062,163.6578369140625,151.2890625,110.21556091308594,123.9238510131836,,,117.87916564941406,97.9800033569336,98.20806884765624,109.15129089355467,102.63095092773438,99.1052017211914,134.8000030517578,176.4150848388672,112.61509704589844,85.6066665649414,507.4722900390625,140.12313842773438,108.632080078125,93.36851501464844,217.52491760253903,134.0,120.16283416748048,132.31387329101562,142.41339111328125,116.5999984741211,88.45999908447266,160.58224487304688,142.64999389648438,120.15750122070312,,112.42315673828124,264.0166931152344,,264.5,,,,,,440.2000122070313,,,,,,4.5,89.41117095947266,1713.199951171875,1923.4000244140625,1682.5999755859375,1882.4000244140625,1273.4000244140625,967.5999755859376,252.17117309570312,79.5,346.9485778808594,,329.260009765625,105.48590087890624,70.9173812866211,188.3500061035156,64.77999877929688,,,,162.26588439941406,96.52777862548828,89.10189056396484,131.63055419921875,122.6950225830078,134.3000030517578,100.87999725341795,36.11088943481445,91.72000122070312,83.95999908447266,173.6699981689453,130.89999389648438,,,157.6999969482422,,56.27999877929688,6.75,701.9611206054688,,,110.8000030517578,266.9521789550781,144.54551696777344,229.6778564453125,,157.77642822265625,7.0,4.154860019683838,160.25059509277344,153.27999877929688,189.0,142.60000610351562,115.29000091552734,96.01000213623048,,88.0999984741211,,,,,,162.64999389648438,,154.25,141.89999389648438,,188.75,162.0,142.39999389648438,212.8999938964844,132.1999969482422,164.14999389648438,106.9000015258789,,,,,9.544218063354492,892.5,,43.400001525878906,3.200000047683716,1.600000023841858,0.6100000143051147,9.350000381469728,13.279297828674316,133.54290771484375,75.04510498046875,2.619999885559082,,,113.17658996582033,228.8999938964844,134.4499969482422,,,,164.25,133.0999755859375,146.0,,138.8000030517578,138.08938598632812,,123.8499984741211,86.759033203125,101.0999984741211,100.8499984741211,88.72000122070312,102.4000015258789,110.4000015258789,72.12000274658203,,150.0,0.6079999804496765,98.41999816894533,131.6999969482422,103.1278839111328,117.8499984741211,108.716796875,210.1000061035156,112.411865234375,243.3999938964844,,,,151.3000030517578,105.55218505859376,98.3000030517578,9.289999961853027,83.69999694824219,,
2024-07-31,108.77024841308594,118.9499969482422,117.85377502441406,,123.79006958007812,808.7755737304688,0.8999999761581421,,377.381103515625,133.38999938964844,,139.75,896.5999755859375,8.6260347366333,,5.093282222747803,,165.2023162841797,319.1000061035156,171.89999389648438,152.13986206054688,11.647850036621094,,196.54196166992188,370.6511535644531,264.0,189.0,496.5413513183594,77.06211853027344,140.6526336669922,1283.6600341796875,283.8480834960937,210.9095764160156,168.3424530029297,81.62112426757812,81.5732650756836,130.16378784179688,97.52999877929688,217.1499938964844,,,118.08065795898438,579.165771484375,153.8107452392578,72.89289855957031,145.40235900878906,,437.4700012207031,144.47999572753906,86.5199966430664,85.77999877929688,100.61000061035156,371.1000061035156,32.79999923706055,70.46098327636719,126.9216766357422,101.2300033569336,89.41621398925781,177.02999877929688,137.0399932861328,194.0,94.71281433105467,237.38999938964844,351.94000244140625,105.76000213623048,115.9000015258789,192.90171813964844,314.3999938964844,79.59842681884766,289.7611694335937,7.150000095367432,,1258.063720703125,121.0,32.099998474121094,3.5,11.899999618530272,114.0,77.19999694824219,,209.3000030517578,343.2403869628906,335.0867004394531,20.799999237060547,118.050537109375,154.14999389648438,119.9000015258789,88.67926788330078,276.45001220703125,367.2000122070313,145.25,286.6000061035156,,,,179.34262084960938,320.54998779296875,147.67343139648438,274.0,,,127.09730529785156,73.5,1955.0,7.864999771118164,30.0,111.13184356689452,102.56999969482422,720.0,318.4398193359375,216.0360412597656,101.0,42.07106399536133,57.0,114.29411315917967,,,,100.57276153564452,,,129.75,,5.0,132.32044982910156,416.5606689453125,,90.41000366210938,96.16999816894533,,91.68000030517578,540.1756591796875,4213.31591796875,0.3079999983310699,153.5,,,,121.73999786376952,118.46226501464844,,,83.94776916503906,107.871337890625,10190.8291015625,10406.6904296875,102.8499984741211,104.77816772460938,155.5399932861328,98.53538513183594,99.41252136230467,,97.37999725341795,112.9499969482422,,115.20366668701172,2.200000047683716,117.8000030517578,6.599999904632568,169.119873046875,339.3900146484375,167.72999572753906,132.58084106445312,228.24591064453125,0.6000000238418579,4.099999904632568,160.7350311279297,106.33000183105467,111.95999908447266,245.0,294.8999938964844,238.3999938964844,79.93436431884766,140.5812530517578,162.99673461914062,119.15379333496094,464.6809997558594,151.268798828125,159.89393615722656,173.59716796875,160.06484985351562,106.0,,,92.0,121.78780364990234,86.72000122070312,213.2920837402344,179.00294494628906,,41.76056671142578,,98.05485534667967,129.18923950195312,158.4384002685547,151.21900939941406,170.25929260253906,48.79983139038086,237.7489776611328,296.6000061035156,96.20230102539062,123.5140380859375,85.5999984741211,0.0611351393163204,4.739999771118164,620.5,128.39999389648438,107.0,893.5586547851562,292.0,3.819999933242798,,197.45578002929688,529.4600219726562,97.3000030517578,148.47000122070312,99.56999969482422,,,10700.0,410.3999938964844,385.5340881347656,108.5425796508789,12.199999809265137,0.2939999997615814,,,,,98.74903106689452,152.48715209960938,,105.983642578125,,,,,1061.841796875,182.0,83.0,512.9817504882812,635.0,1210.7796630859375,,7.949999809265137,296.80279541015625,34.0,81.0,553.5432739257812,108.64180755615234,,112.54389190673828,116.94883728027344,,,,,139.37037658691406,386.5201110839844,198.89291381835935,84.94000244140625,27.100000381469727,165.57447814941406,162.1199951171875,3.259999990463257,65.97481536865234,2404.5,,176.0,308.42803955078125,246.21212768554688,,,66.57852935791016,280.27996826171875,192.67909240722656,225.73995971679688,131.73216247558594,170.6304473876953,149.59439086914062,114.08194732666016,126.9667510986328,110.76248931884766,123.81981658935548,118.93680572509766,99.36000061035156,99.28404998779295,110.0901870727539,103.69749450683594,100.00342559814452,136.14999389648438,168.74017333984375,119.83871459960938,88.49726104736328,525.1727294921875,,110.26109313964844,,218.4916839599609,140.60000610351562,121.63634490966795,132.1211395263672,143.36599731445312,,,160.7246856689453,145.89999389648438,121.04318237304688,107.4000015258789,113.50508880615234,266.1417236328125,1439.800048828125,276.29998779296875,,,,,,456.0,1936.199951171875,258.70001220703125,,,,3.759999990463257,91.86701965332033,1725.5999755859375,1915.5999755859373,1687.800048828125,1871.800048828125,,826.0,256.7375793457031,77.0,349.7693176269531,,320.20001220703125,,72.70598602294922,,65.63999938964844,107.75,104.1268081665039,105.5481948852539,158.35775756835938,97.34542846679688,,131.01123046875,118.6219711303711,129.89999389648438,102.1999969482422,36.87153244018555,93.29000091552734,84.83999633789062,175.6699981689453,,,106.31497192382812,,111.39152526855467,57.42856979370117,7.150000095367432,696.0123291015625,,,106.1999969482422,262.0449523925781,145.23060607910156,247.6526336669922,,160.54054260253906,6.0,4.145606517791748,169.19480895996094,154.10000610351562,187.0500030517578,136.4499969482422,116.86000061035156,97.2699966430664,,89.80999755859375,,132.3000030517578,,,139.6999969482422,166.75,,154.8000030517578,140.0,,188.8500061035156,162.4499969482422,143.25,214.6000061035156,,162.64999389648438,104.5500030517578,,,,115.8000030517578,10.21906280517578,930.0,,43.20000076293945,2.940000057220459,1.600000023841858,0.621999979019165,9.800000190734863,12.6172513961792,139.4726104736328,78.61868286132812,2.630000114440918,,,115.50279235839844,232.3000030517578,131.4499969482422,,,,162.85000610351562,129.0709991455078,141.5500030517578,,144.5500030517578,143.51466369628906,,,87.76009368896484,101.9000015258789,102.0999984741211,90.36000061035156,,111.9000015258789,73.41999816894531,,157.39999389648438,0.6320000290870667,99.6999969482422,132.89999389648438,103.41852569580078,118.0500030517578,108.19955444335938,208.5,111.19609832763672,240.1000061035156,,,,148.8000030517578,103.61067199707033,,9.31999969482422,70.69999694824219,,
