Date,ANDR.PR,ATS.PR,CEZ.PR,COLOS.PR,CPI.PR,CZ0000001367.PR,CZ0003533069.PR,CZ0003534596.PR,CZ0003539892.PR,CZ0003546871.PR,CZ0003550378.PR,CZ0003550709.PR,CZ0003550808.PR,CZ0003556177.PR,CZ0003556441.PR,CZ0003558579.PR,CZ0003561441.PR,CZ0003561748.PR,CZ0003562555.PR,CZ0003565723.PR,CZ0003566234.PR,CZ0003566770.PR,CZ0003567679.PR,CZ0003569089.PR,CZ0003571051.PR,CZ0003704413.PR,CZ0003706517.PR,CZ0003707671.PR,CZG.PR,DBK.PR,DSPW.PR,DTE.PR,EMAN.PR,ENRGA.PR,ERBAG.PR,FACC.PR,FIXED.PR,FPXAA.PR,GEN.PR,HWIO.PR,JTINA.PR,JTINB.PR,JTINV.PR,KARIN.PR,KGH.PR,KOFOL.PR,KOMB.PR,MMCTE.PR,MONET.PR,NOKIA.PR,OMV.PR,PEN.PR,PINK.PR,PKN.PR,PRIUA.PR,PVT.PR,RBI.PR,RWE.PR,SHELL.PR,SKAB.PR,TABAK.PR,VOE.PR,VOW.PR,WIE.PR
2024-05-31,1337.0404052734375,533.5,895.2651977539062,130.0,,,,,,,,,,,,,,,,,,,,,,,,,639.4852905273438,376.2000122070313,,531.7999877929688,69.0,3085.0,1116.5,175.8000030517578,160.0,,564.6759643554688,11.5,,,,164.0,867.0325927734375,277.3761901855469,710.9892578125,340.0,90.56817626953124,86.07205963134766,1136.83740234375,45.150001525878906,178.0,367.5711364746094,810.0,1.100000023841858,419.3063049316406,858.8873291015625,,389.38909912109375,14960.0,662.4735107421875,2864.0,887.4000244140625
2024-06-28,1452.328369140625,549.0,880.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,647.1323852539062,371.75,,578.0,79.0,3000.0,1104.0,202.5,150.0,,569.6731567382812,9.5,,,,171.0,824.2000122070312,283.9136657714844,715.1016845703125,330.0,92.93240356445312,88.33921813964844,1013.5,43.0,128.5,387.5386657714844,935.0,1.7699999809265137,409.3228149414063,813.3463134765625,830.5999755859375,416.0945434570313,15280.0,639.2988891601562,2664.5,801.7999877929688
2024-07-31,1409.4073486328125,485.0,904.5,121.0,,,,,,,,,,,,,,,,,,,,,,,,,666.0,368.4500122070313,,614.0,76.0,3000.0,1218.0,182.0,150.0,,609.650146484375,9.0,,,,168.0,756.5999755859375,298.1306457519531,742.060791015625,334.0,97.8427276611328,89.91793060302734,980.0,43.34999847412109,150.0,378.8893737792969,890.0,1.1100000143051147,462.9341430664063,873.867919921875,,417.2727355957031,15360.0,610.0,2645.0,799.4000244140625
2024-08-30,1388.4459228515625,447.0,864.5,121.0,,,,,,,,,,,,,,,,,,,,,,,,,648.0,371.5499877929688,,648.5999755859375,82.0,2860.0,1238.0,198.0,150.0,,592.7876586914062,9.5,,,,159.0,814.0,292.2657775878906,701.3936767578125,320.0,99.11577606201172,96.93152618408205,978.0,40.0,168.0,371.6733703613281,945.0,1.7000000476837158,449.9556274414063,816.0427856445312,807.7999877929688,445.1563720703125,15180.0,546.2000122070312,2448.5,745.0
2024-09-30,1639.484130859375,519.0,880.5,110.0,,,,,,,,,,,,,,,,,,,,,,,,,645.0,386.6000061035156,,665.5,78.0,2860.0,1234.0,198.0,155.0,,609.7816162109375,9.0,,,,159.0,958.7999877929688,324.52252197265625,729.2666015625,,101.11627960205078,97.91063690185548,955.5999755859376,37.900001525878906,182.0,332.0,900.0,1.7000000476837158,448.7575988769531,821.7354125976562,750.0,445.3527526855469,15300.0,536.7999877929688,2417.0,763.7999877929688
2024-10-31,1538.17041015625,428.6000061035156,902.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,615.0,391.8500061035156,,707.4000244140625,70.0,3200.0,1291.0,162.1999969482422,155.0,,676.7576293945312,8.399999618530273,,,,146.0,904.7999877929688,332.0,734.7498168945312,328.0,105.48101043701172,109.13251495361328,968.0,32.29999923706055,145.0,303.0,885.0,1.399999976158142,424.0983581542969,753.3240356445312,,484.6254577636719,16240.0,500.0,2310.0,710.0
2024-11-29,1340.034912109375,325.3999938964844,961.5,85.0,,,,,,,,,,,,,,,,,,,,,,,,,618.0,400.1000061035156,,762.7000122070312,63.0,3000.0,1293.5,156.8000030517578,140.0,,737.8621215820312,10.0,,,,144.0,740.4000244140625,380.0,744.8023681640625,,114.5522003173828,101.57718658447266,957.0,26.899999618530277,129.0,304.04998779296875,900.0,1.6699999570846558,459.240234375,797.26708984375,,481.0909118652344,16200.0,462.1000061035156,2000.0,695.5999755859375
2024-12-30,1216.76171875,297.79998779296875,957.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,669.0,413.9500122070313,,732.0999755859375,63.0,3000.0,1486.5,150.0,138.0,,639.8804321289062,9.300000190734863,,,,152.0,686.7999877929688,392.0,775.4169311523438,318.0,115.29725646972656,103.69588470458984,922.7999877929688,23.700000762939453,107.5,280.0,900.0,1.399999976158142,494.3821105957031,724.5613403320312,738.5999755859375,499.94183349609375,16780.0,463.8999938964844,2268.5,655.7999877929688
2025-01-31,1352.511962890625,321.0,1064.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,712.0,475.3500061035156,,803.0,65.0,3200.0,1503.0,167.8000030517578,130.0,,654.8776245117188,9.899999618530272,,,,161.0,746.4000244140625,410.0,814.25634765625,310.0,127.77692413330078,114.92893981933594,993.5999755859376,26.0,129.0,321.0,890.0,1.350000023841858,553.6839599609375,756.8195190429688,,495.4254760742188,17160.0,510.2000122070313,2508.0,714.2000122070312
2025-02-28,1446.33935546875,331.0,1023.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,728.0,515.7999877929688,340.0,867.9000244140625,64.0,3200.0,1620.5,182.0,130.0,,674.0,12.399999618530272,,,,152.0,848.0,430.0,953.1642456054688,300.0,126.65933990478516,111.76007080078124,1057.5,23.399999618530277,207.0,380.2000122070313,835.0,1.5,654.5171508789062,748.5302734375,,495.4254760742188,17140.0,564.0,2659.0,804.2000122070312
