Date,AAYANRE.KW,ABAR.KW,ABK.KW,AGLTY.KW,AINS.KW,ALAQARIA.KW,ALEID.KW,ALKOUT.KW,ALMANAR.KW,ALOLA.KW,ALSAFAT.KW,AMAR.KW,AQAR.KW,ARABREC.KW,AREEC.KW,ARGAN.KW,ARZAN.KW,ASC.KW,ASIYA.KW,AZNOULA.KW,BAITAKREIT.KW,BEYOUT.KW,BOUBYAN.KW,BOURSA.KW,BURG.KW,CBK.KW,CGC.KW,CLEANING.KW,COAST.KW,DIGITUS.KW,EKHOLDING.KW,EKTTITAB.KW,ENERGYH.KW,EQUIPMENT.KW,ERESCO.KW,FACIL.KW,FTI.KW,GFH.KW,IFA.KW,IFAHR.KW,INOVEST.KW,INTEGRATED.KW,IPG.KW,JAZEERA.KW,JTC.KW,KAMCO.KW,KBT.KW,KCEM.KW,KCIN.KW,KCPC.KW,KFH.KW,KFIC.KW,KFOUC.KW,KGL.KW,KIB.KW,KINV.KW,KPPC.KW,KRE.KW,MARKAZ.KW,MASAKEN.KW,MAZAYA.KW,MENA.KW,MIDAN.KW,MUBARRAD.KW,MUNSHAAT.KW,MUNTAZAHAT.KW,NAPESCO.KW,NBK.KW,NCCI.KW,NIH.KW,NIND.KW,NINV.KW,NOOR.KW,OOREDOO.KW,OSOS.KW,OSOUL.KW,OULAFUEL.KW,PAPCO.KW,PAPER.KW,QIC.KW,RASIYAT.KW,SANAM.KW,SECH.KW,SENERGY.KW,SHIP.KW,SOKOUK.KW,SOOR.KW,SPEC.KW,SRE.KW,STC.KW,TAHSSILAT.KW,TAM.KW,TIJARA.KW,UNICAP.KW,UPAC.KW,URC.KW,WARBABANK.KW,WARBACAP.KW,WINSRE.KW,ZAIN.KW,^BKA.KW
2024-05-30,82.0,116.99642944335938,260.94287109375,292.9901428222656,731.6961669921875,34.5,205.99009704589844,768.0,62.400001525878906,42.29999923706055,85.5999984741211,61.79999923706055,58.59999847412109,71.56495666503906,272.9822692871094,79.9000015258789,188.0,234.0,44.09999847412109,158.9938507080078,,,551.4189453125,2099.932373046875,178.09022521972656,454.5097351074219,598.9710083007812,49.5,71.49500274658203,84.0,0.2247401773929596,19.100000381469727,83.5,34.5,62.59999847412109,177.987060546875,158.0,89.18480682373047,277.3330078125,1139.0,115.0,494.0,479.9674682617188,919.962158203125,365.97601318359375,96.6999969482422,61.5,178.0,1307.0,290.0,675.904052734375,72.30400085449219,671.8907470703125,47.70000076293945,166.66200256347656,182.9860076904297,39.400001525878906,204.7122039794922,133.9935760498047,34.5,74.14600372314453,77.9000015258789,760.989501953125,89.69999694824219,138.0,75.43405151367188,844.943603515625,816.1680297851562,125.0,103.99405670166016,226.0,248.0,252.979736328125,1043.91845703125,91.0,81.4000015258789,135.0,154.99655151367188,166.98956298828125,84.44428253173828,393.0,166.0,56.79999923706055,37.09999847412109,870.0,54.20000076293945,135.0,100.6999969482422,415.2234802246094,574.964111328125,42.900001525878906,389.0,59.79999923706055,140.0,137.0,48.70000076293945,171.17100524902344,154.98533630371094,141.0,447.9680786132813,
2024-06-30,75.19999694824219,121.99627685546876,257.13299560546875,279.0,716.1284790039062,33.900001525878906,207.989990234375,768.0,59.0,38.79999923706055,83.0999984741211,62.900001525878906,57.0,69.60404205322266,270.982421875,72.9000015258789,186.0,218.0,40.400001525878906,159.99380493164062,,0.5006943941116333,537.1332397460938,2003.935546875,173.32833862304688,454.5097351074219,682.0,46.79999923706055,71.5949935913086,82.19999694824219,0.2237878888845443,19.100000381469727,83.0999984741211,32.5,58.0,181.9867706298828,149.0,86.98518371582031,296.0,917.0,94.9000015258789,518.0,479.9674682617188,889.96337890625,382.9749145507813,95.9000015258789,52.70000076293945,175.0,1117.0,329.0,652.7567138671875,67.3239974975586,537.0,48.5,169.51893615722656,175.98654174804688,37.59999847412109,215.08999633789065,122.99410247802734,30.899999618530277,66.43900299072266,75.19999694824219,721.989990234375,90.5999984741211,142.0,69.3182144165039,748.0,815.2160034179688,113.0,104.9939956665039,216.0,245.0,255.9794921875,1067.9166259765625,85.0999984741211,78.69999694824219,137.0,171.9961700439453,177.98887634277344,85.4436264038086,376.0,169.0,54.400001525878906,38.29999923706055,924.0,50.0,139.0,96.9000015258789,395.2241821289063,530.9668579101562,42.5,379.0,58.900001525878906,160.0,181.0,47.09999847412109,162.843994140625,151.98561096191406,140.0,445.96820068359375,
2024-07-31,74.5999984741211,121.99627685546876,291.4178161621094,274.0,695.9818725585938,33.099998474121094,218.0,767.0,57.0,39.0,81.5999984741211,60.59999847412109,57.5,70.80000305175781,282.98162841796875,72.0,186.0,224.0,37.900001525878906,160.9937744140625,,0.4763889014720917,563.7998046875,2068.933349609375,181.8991241455078,469.9635009765625,710.0,46.5,64.0999984741211,71.69999694824219,0.2190264463424682,19.100000381469727,80.0,29.399999618530277,57.0,185.98648071289065,161.0,100.4828872680664,255.0,1250.0,101.0,567.0,489.966796875,925.9619140625,381.9749755859375,96.0,58.0,181.0,1200.0,341.0,682.3858032226562,70.0,532.0,49.70000076293945,178.09072875976562,168.98707580566406,39.0,241.0,125.99396514892578,27.799999237060547,63.41400146484375,82.5,799.9889526367188,88.9000015258789,146.0,68.93022155761719,826.0,861.8807983398438,106.0,94.6999969482422,225.0,254.0,260.9790954589844,1034.919189453125,83.0,74.4000015258789,140.0,172.0,197.9876251220703,85.4436264038086,391.0,179.0,60.400001525878906,35.79999923706055,916.0,52.09999847412109,140.0,97.6999969482422,404.746826171875,535.966552734375,42.0,366.0,58.5,173.0,161.0,48.0,167.47000122070312,152.9855194091797,140.0,454.9675598144531,
2024-08-29,76.5,119.996337890625,272.3704833984375,256.0,685.9080810546875,34.20000076293945,239.0,750.0,60.900001525878906,41.29999923706055,105.0,61.0,56.400001525878906,58.79999923706055,267.98260498046875,71.80000305175781,180.0,220.0,41.29999923706055,152.99407958984375,,0.449999988079071,559.9908447265625,2049.93408203125,183.8040771484375,479.9736022949219,633.0,47.0,63.09999847412109,77.5,0.21045583486557,19.100000381469727,88.80000305175781,41.70000076293945,57.79999923706055,207.98487854003903,159.0,102.98246002197266,343.0,1292.0,170.0,555.0,505.9656982421875,969.9600830078124,369.9757690429688,97.0,56.09999847412109,188.0,1310.0,342.0,673.1363525390625,77.5,538.0,45.0,176.18577575683594,165.9873046875,37.0,236.0,119.99424743652344,29.5,65.85299682617188,86.5999984741211,723.0,87.5,136.0,71.84215545654297,854.0,836.16748046875,114.0,94.8000030517578,223.0,236.0,253.97964477539065,1053.917724609375,90.0,87.0,138.0,163.0,185.9883728027344,85.4436264038086,384.0,187.0,60.0,34.20000076293945,868.0,48.900001525878906,136.0,99.8000030517578,412.3655700683594,538.9663696289062,40.0,366.0,58.59999847412109,215.0,167.0,47.0,182.2749938964844,161.9846649169922,146.0,466.9667053222656,
2024-09-30,83.30000305175781,149.99542236328125,259.0379333496094,219.0,619.9734497070312,31.200000762939453,234.0,789.0,67.0,43.59999847412109,93.0999984741211,63.900001525878906,63.900001525878906,62.5,260.9830627441406,79.19999694824219,206.0,199.0,41.900001525878906,147.99427795410156,,0.4189999997615814,542.8480834960938,2034.9344482421875,180.9471435546875,462.7015380859375,640.0,50.5,69.0999984741211,79.0,0.2485474050045013,16.100000381469727,128.0,58.0,64.30000305175781,214.9843597412109,186.0,100.98280334472656,400.0,1400.0,160.0,514.0,464.9684753417969,998.9589233398438,364.9761047363281,104.0,101.0,195.0,1289.0,332.0,662.9505004882812,76.4000015258789,518.0,47.29999923706055,170.47190856933594,150.9884490966797,41.900001525878906,241.0,117.99434661865234,37.0,70.24299621582031,204.0,796.0,91.4000015258789,126.0,79.99794006347656,859.0,840.9293823242188,109.0,156.0,223.0,234.0,251.9798126220703,1064.9168701171875,97.4000015258789,91.0,148.0,219.0,189.9881134033203,84.04454803466797,380.0,226.0,66.0,38.79999923706055,779.0,47.29999923706055,145.0,110.0,405.6997985839844,542.9661254882812,37.5,352.0,62.5,270.0,153.0,84.0,174.8730010986328,153.9854278564453,139.0,474.9760437011719,
2024-10-31,92.9000015258789,155.9952392578125,267.609619140625,249.0,682.2451171875,35.5,234.0,789.0,63.20000076293945,45.29999923706055,108.0,62.0,65.0999984741211,61.400001525878906,277.9819641113281,77.9000015258789,213.0,149.0,41.900001525878906,154.99400329589844,,0.3939999938011169,531.4192504882812,2129.931396484375,176.18527221679688,499.0625305175781,633.0,49.400001525878906,69.0,74.80000305175781,0.2371199280023574,16.0,118.0,71.0,63.29999923706055,216.98422241210935,180.0,103.98229217529295,397.0,1490.0,164.0,511.0,468.96820068359375,1034.9573974609375,368.975830078125,129.0,135.0,192.0,1297.0,317.0,667.5804443359375,74.0999984741211,642.0,46.79999923706055,181.89964294433597,164.9873809814453,46.400001525878906,239.0,134.9935302734375,37.29999923706055,67.80400085449219,173.0,796.0,94.5999984741211,128.0,94.6575698852539,892.0,809.501220703125,108.0,233.0,241.0,260.0,262.9789428710937,1102.913818359375,108.0,93.0,259.0,281.0,183.98849487304688,84.24442291259766,359.0,212.0,68.0,45.59999847412109,809.0,50.0,245.0,118.0,410.4616394042969,561.9649047851562,38.0,354.0,69.0,232.0,163.0,115.0,176.72300720214844,179.9829559326172,148.0,455.9770202636719,
2024-11-28,91.6999969482422,157.99517822265625,257.13299560546875,266.0,675.8353271484375,32.79999923706055,247.0,1200.0,67.5,47.79999923706055,113.0,65.5,76.9000015258789,61.09999847412109,273.9822082519531,77.0999984741211,237.0,150.0,42.70000076293945,163.99366760253906,,0.4149999916553497,520.9434814453125,2141.93115234375,173.32833862304688,518.1525268554688,626.0,58.09999847412109,76.30000305175781,63.5,0.2190264463424682,15.0,150.0,81.0,70.4000015258789,241.9824066162109,167.0,101.98262786865234,380.0,1552.0,143.0,506.0,488.96685791015625,1096.954833984375,361.9762878417969,126.0,113.0,192.0,1285.0,311.0,683.3211669921875,111.0,616.0,59.0,179.04270935058594,173.9866943359375,48.0,244.0,128.9938201904297,40.0,71.80400085449219,169.0,790.0,93.8000030517578,126.0,109.7051773071289,898.0,828.5486450195312,109.0,366.0,245.0,253.0,275.9779052734375,1047.918212890625,102.0,90.5,371.0,230.0,194.98780822753903,84.54421997070312,364.0,215.0,68.4000015258789,61.5,820.0,50.70000076293945,263.0,136.0,396.1761474609375,548.9657592773438,44.400001525878906,340.0,64.0,246.0,160.0,100.0999984741211,177.6479949951172,237.97747802734372,157.0,460.9767456054688,
2024-12-31,90.4000015258789,162.99502563476562,247.6103363037109,247.0,819.6104125976562,35.5,259.0,1249.0,69.5,46.70000076293945,111.0,65.69999694824219,73.80000305175781,69.0999984741211,270.982421875,88.0,265.0,143.0,41.900001525878906,150.99795532226562,,0.4120000004768371,534.2762451171875,2299.926025390625,167.614501953125,586.3306884765625,650.0,60.79999923706055,72.5,70.0,0.2409290820360183,15.100000381469728,148.0,79.0,82.4000015258789,243.9822540283203,166.0,97.98331451416016,380.0,1850.0,118.0,460.0,472.9679565429688,1007.9585571289062,380.97503662109375,123.0,80.69999694824219,227.0,1160.0,339.0,690.72802734375,128.0,623.0,60.59999847412109,174.28082275390625,172.9867706298828,45.0,256.0,150.99276733398438,40.0,72.29199981689453,152.0,797.0,94.0,121.0,108.73419952392578,900.0,853.3099975585938,105.0,347.0,248.0,254.0,288.9768371582031,1064.9168701171875,125.0,138.0,355.0,224.0,211.9867401123047,84.54421997070312,380.0,218.0,72.5,60.20000076293945,839.0,50.70000076293945,227.0,129.0,379.9866943359375,537.9664306640625,45.0,370.0,66.69999694824219,239.0,155.0,114.0,177.6479949951172,249.0,164.0,468.9763488769531,
2025-01-29,98.0,157.99517822265625,282.8471069335937,252.0,732.6121826171875,35.70000076293945,246.0,989.0,68.80000305175781,45.20000076293945,113.0,66.9000015258789,74.9000015258789,69.4000015258789,301.9804077148437,112.0,287.0,144.0,41.0,151.99794006347656,,0.4040000140666961,598.0851440429688,2439.92138671875,197.1367034912109,668.144287109375,626.0,56.0,73.0,69.0,0.2209310084581375,14.0,180.0,74.4000015258789,80.69999694824219,264.9807434082031,182.0,99.4830551147461,456.0,2120.0,98.3000030517578,520.0,559.9620361328125,949.9609375,382.9749145507813,127.0,121.0,249.0,1350.0,340.0,727.764404296875,127.0,636.0,58.09999847412109,196.185302734375,183.9859313964844,48.0,330.0,157.992431640625,42.59999847412109,71.02400207519531,153.0,757.0,98.0,141.0,118.44294738769533,1024.0,918.0702514648438,103.0,240.0,265.0,260.0,313.974853515625,1126.9119873046875,136.0,161.0,420.0,227.0,199.98748779296875,87.44230651855469,373.0,219.0,75.19999694824219,57.400001525878906,854.0,57.0,261.0,131.0,393.3192443847656,557.9651489257812,44.29999923706055,360.0,68.0,244.0,155.0,147.0,218.35899353027344,253.0,163.0,453.9771118164063,
2025-02-24,97.0999984741211,168.0,308.5602111816406,273.0,735.360107421875,37.70000076293945,234.0,1051.0,72.5,44.70000076293945,111.0,69.0,91.9000015258789,80.4000015258789,304.9801940917969,104.0,298.0,222.0,39.20000076293945,154.99790954589844,,0.4440000057220459,638.0845336914062,2854.908203125,215.23223876953125,672.6900024414062,675.0,62.5,70.0,69.9000015258789,0.2314061969518661,15.399999618530272,252.0,66.9000015258789,81.4000015258789,261.98095703125,196.0,98.98313903808594,447.0,1962.0,98.0,522.0,554.96240234375,954.960693359375,398.973876953125,130.0,171.0,280.0,1339.0,344.0,741.6531982421875,137.0,625.0,63.09999847412109,204.75608825683597,196.9849395751953,54.09999847412109,326.0,144.99305725097656,42.0,72.87799835205078,132.0,700.0,99.5,160.0,117.47197723388672,1045.0,980.9255981445312,105.0,161.0,274.0,269.0,343.9724426269531,1124.912109375,126.0,157.0,438.0,244.0,197.9876251220703,87.44230651855469,371.0,220.0,80.0,57.900001525878906,839.0,60.400001525878906,244.0,143.0,399.0330200195313,568.9644775390625,49.0,347.0,75.5999984741211,290.0,187.0,180.0,222.05999755859372,271.0,162.0,490.9752502441406,
