Date,AKO1L.VS,AMG1L.VS,APG1L.VS,AUG1L.VS,GRG1L.VS,IGN1L.VS,INC1L.VS,INR1L.VS,IVL1L.VS,KNE1L.VS,LGD1L.VS,PZV1L.VS,RSU1L.VS,SAB1L.VS,TEL1L.VS,VBL1L.VS,VLP1L.VS,ZMP1L.VS,^OMXV
2024-05-31,1.0921162366867063,1.1299999952316284,2.734999895095825,0.2879999876022339,1.0950000286102295,16.981563568115234,2.5199999809265137,2.0799999237060547,12.300000190734863,0.2199999988079071,0.6850000023841858,1.2599999904632568,3.0999999046325684,0.6494379043579102,1.6050000190734863,8.192566871643066,5.5,1.7599999904632568,
2024-06-28,1.1506223678588867,1.1399999856948853,2.755000114440918,0.2939999997615814,1.0299999713897705,17.18705940246582,2.5999999046325684,2.0799999237060547,13.899999618530272,0.2269999980926513,0.675000011920929,1.2899999618530271,3.180000066757202,0.644758939743042,1.5449999570846558,8.378761291503906,5.900000095367432,1.809999942779541,
2024-07-31,1.145746827125549,1.1399999856948853,2.755000114440918,0.2619999945163727,1.0099999904632568,17.46728515625,2.680000066757202,2.059999942779541,14.600000381469728,0.2349999994039535,0.699999988079071,1.350000023841858,3.200000047683716,0.676575779914856,1.5800000429153442,7.447787761688232,6.199999809265137,1.830000042915344,
2024-08-30,1.1262447834014893,1.1299999952316284,2.755000114440918,0.1930000036954879,1.0149999856948853,17.26178550720215,2.819999933242798,2.119999885559082,14.600000381469728,0.231000006198883,0.7300000190734863,1.3600000143051147,3.220000028610229,0.6672179102897644,1.5750000476837158,7.680531024932861,7.159999847412109,1.840000033378601,
2024-09-30,1.1164937019348145,1.1200000047683716,2.815000057220459,0.1354999989271164,1.0149999856948853,18.175575256347656,3.400000095367432,2.200000047683716,14.300000190734863,0.2290000021457672,0.7200000286102295,1.409999966621399,3.380000114440918,0.6747041940689087,1.5950000286102295,8.099469184875488,7.039999961853027,2.1600000858306885,
2024-10-31,1.2140041589736938,1.1299999952316284,2.880000114440918,0.1180000007152557,1.0149999856948853,18.659482955932617,3.5999999046325684,2.2799999713897705,15.800000190734863,0.2339999973773956,0.7400000095367432,1.409999966621399,3.380000114440918,0.7701547145843506,1.6050000190734863,8.797698974609375,7.559999942779541,2.4600000381469727,
2024-11-29,1.1699999570846558,1.159999966621399,2.8350000381469727,0.0546000003814697,1.0099999904632568,18.272356033325195,3.1600000858306885,2.299999952316284,16.600000381469727,0.2339999973773956,0.75,1.4600000381469729,3.3399999141693115,0.7738978862762451,1.590000033378601,9.58902645111084,7.800000190734863,2.299999952316284,
2024-12-30,1.1649999618530271,1.159999966621399,2.924999952316284,0.0608000010251998,1.0499999523162842,18.949827194213867,3.220000028610229,2.640000104904175,18.799999237060547,0.2370000034570694,0.7799999713897705,1.6200000047683716,3.5999999046325684,0.7710905075073242,1.5750000476837158,9.868319511413574,8.140000343322754,2.259999990463257,
2025-01-31,1.2200000286102295,1.2400000095367432,3.009999990463257,0.1150000020861625,1.065000057220459,20.37251663208008,3.220000028610229,2.7799999713897705,19.0,0.2750000059604645,0.8100000023841858,1.7100000381469729,3.9800000190734863,0.8627978563308716,1.6399999856948853,11.399999618530272,8.960000038146973,2.4600000381469727,
2025-02-28,1.2999999523162842,1.2699999809265137,3.0299999713897705,0.1089999973773956,1.0850000381469729,20.178953170776367,3.319999933242798,2.8399999141693115,19.5,0.2879999876022339,0.8149999976158142,1.7200000286102295,3.920000076293945,0.8871284127235413,1.6349999904632568,13.600000381469728,9.300000190734863,3.2799999713897705,
2025-03-31,1.2100000381469729,1.2699999809265137,3.039999961853028,0.0917999967932701,1.0800000429153442,20.517690658569336,3.4200000762939453,2.759999990463257,19.200000762939453,0.2770000100135803,0.8100000023841858,1.649999976158142,4.099999904632568,0.8805778622627258,1.6399999856948853,13.300000190734863,9.279999732971191,3.200000047683716,
2025-04-30,1.2000000476837158,1.309999942779541,3.0299999713897705,0.0876000002026557,1.0950000286102295,20.5,3.539999961853028,2.640000104904175,19.899999618530277,0.3000000119209289,0.8420000076293945,1.7649999856948853,4.019999980926514,0.8360000252723694,1.6950000524520874,12.600000381469728,10.949999809265137,2.9800000190734863,
