Date,AIR.RG,BERCM.RG,BORA100034A.RG,CBLB080034A.RG,CTS1L.RG,DGR1R.RG,DGRB100028A.RG,DGRBFLOT26FB.RG,EGG.RG,ELEV130028A.RG,EWA1L.RG,GRB2G.RG,GREG100027B.RG,IDX1R.RG,K2LT.RG,LINDA.RG,MAGIC.RG,MDARA.RG,MODE.RG,MODE110027FA.RG,MOLNR.RG,NEOFI.RG,PNKTD.RG,RKB1R.RG,ROBUS.RG,SAF1R.RG,SAUNA.RG,SCM1R.RG,STOH100028A.RG,STOH110025A.RG,^OMXR
2024-05-31,,,,,,1.0108561515808103,,,4.010000228881836,,,,,13.100000381469728,,,,12.545402526855469,,,,,,0.1199999973177909,,5.420000076293945,,8.5,,,
2024-06-28,,,,,,1.0159844160079956,,,4.480000019073486,,,,,13.5,,,,13.119999885559082,,,,,,0.1199999973177909,,4.880000114440918,,8.0,,,
2024-07-31,,,,,,1.01292085647583,,,4.0,,,,,13.5,,,,12.850000381469728,,,,,,0.1199999973177909,,5.039999961853027,,6.650000095367432,,,
2024-08-30,,,,,,0.9883993864059448,,,3.799999952316284,,,,,13.350000381469728,,,,12.75,,,,,,0.1330000013113021,,4.789999961853027,,7.5,,,
2024-09-30,,,,,,0.9925885200500488,,,4.199999809265137,,,,,12.300000190734863,,,,12.75,,,,,,0.1270000040531158,,5.519999980926514,,6.800000190734863,,,
2024-10-31,,,,,,1.0406789779663086,,,3.940000057220459,,,,,12.199999809265137,,,,11.899999618530272,,,,,,0.1190000027418136,,5.28000020980835,,6.599999904632568,,,
2024-11-29,,,,,,1.0579917430877686,,,3.849999904632568,,,,,11.949999809265137,,,,11.600000381469728,,,,,,0.123999997973442,,5.599999904632568,,5.099999904632568,,,
2024-12-27,,,,,,1.0553147792816162,,,4.920000076293945,,,,,11.699999809265137,,,,10.699999809265137,,,,,,0.1280000060796737,,5.199999809265137,,5.0,,,
2025-01-31,,,,,,1.0729687213897705,,,4.650000095367432,,,,,10.850000381469728,,,,10.75,,,,,,0.125,,5.900000095367432,,5.5,,,
2025-02-28,,,,,,1.139661431312561,,,4.650000095367432,,,,,10.5,,,,9.899999618530272,,,,,,0.125,,6.079999923706055,,5.5,,,
2025-03-31,,,,,,1.1553539037704468,,,4.539999961853027,,,,,10.399999618530272,,,,9.880000114440918,,,,,,0.1180000007152557,,6.539999961853027,,5.25,,,
2025-04-30,,,,,0.1589999943971634,1.1519999504089355,,,4.539999961853027,,,,,10.25,,,,9.880000114440918,,,,,,0.1129999980330467,,6.019999980926514,,5.25,,,
