Date,BYND.MX,C.MX,CAH.MX,CARR.MX,CAT.MX,CBS508E-DC027.MX,CCL1N.MX,CDNS.MX,CEG.MX,CFLT.MX,CHD.MX,CHWY.MX,CIDMEGA.MX,CLF.MX,CLNXN.MX,CLSK.MX,CMCSA.MX,CMG.MX,CMOCTEZ.MX,CMRB.MX,COF.MX,CONVERA.MX,COOP.MX,COR.MX,COST.MX,CPRT.MX,CRI.MX,CRM.MX,CRNC.MX,CROX.MX,CRSR.MX,CRWD.MX,CSCO.MX,CTALPEKA.MX,CTAS.MX,CTAXTELA.MX,CUERVO.MX,CULTIBAB.MX,CVNA.MX,CVS.MX,CVX.MX,DAL.MX,DANHOS13.MX,DBN.MX,DD.MX,DDOG.MX,DE.MX,DELLC.MX,DFS.MX,DHR.MX,DHTN.MX,DIABLOSO.MX,DINEB.MX,DIS.MX,DKNG1.MX,DLTR.MX,DOW1.MX,DPZ.MX,DUK.MX,EBAY.MX,EDUCA18.MX,EL.MX,ELEKTRA.MX,ELV.MX,EN.MX,ENPH.MX,ENRN.MX,EOG.MX,EPAM.MX,EQNRN.MX,ERJN.MX,ETN1N.MX,ETR.MX,FCFE18.MX,FCX.MX,FEMSAUBD.MX,FEXI21.MX,FGEN.MX,FI.MX,FIBRAHD15.MX,FIBRAMQ12.MX,FIBRAPL14.MX,FIBRATC14.MX,FICO1.MX,FIHO12.MX,FINN13.MX,FMTY14.MX,FOUR.MX,FPLUS16.MX,FRAGUAB.MX,FRES.MX,FSHOP13.MX,FSLR.MX,FTNT.MX,FUBO.MX,FUTUN.MX,GAP1.MX,GAPB.MX,GBMO.MX,GCC.MX,GCON.MX,GDSN.MX,GE.MX,GEHC.MX,GENIUS21.MX,GENTERA.MX,GEO1.MX,GEV.MX,GFINBURO.MX,GILD.MX,GIS.MX,GISSAA.MX,GLNGN.MX,GM.MX,GME.MX,GMEXICOB.MX,GNP.MX,GNRC.MX,GOLDN.MX,GPN.MX,GRUMAB.MX,GS.MX,GSKN.MX,GT.MX,HAS.MX,HCA.MX,HCITY.MX,HD.MX,HDBN.MX,HEIN.MX,HERDEZ.MX,HIMS.MX,HON.MX,HOOD.MX,HOTEL.MX,HPE.MX,HPQ.MX,HSY.MX,HUM.MX,HUT1.MX,HWM.MX,IBM.MX,ICHB.MX,IDXX.MX,ILMN.MX,IMCDN.MX,INTC.MX,IONQ.MX,ISRG.MX,ITXN.MX,IVVPESOISHRS.MX,JDN.MX,JPM.MX,KGCN.MX,KHC.MX,KIMBERA.MX,KLAC.MX,KMI.MX,KOFUBL.MX,KSS.MX,KUOA.MX,KYGAN.MX,L.MX,LABB.MX,LACOMERUBC.MX,LAMOSA.MX,LAUR.MX,LCID.MX,LHX.MX,LIN.MX,LIVEPOL1.MX,LIVEPOLC-1.MX,LMND.MX,LMT.MX,LRN.MX,LSEN.MX,LULU.MX,LUMN.MX,LUV.MX,LVS.MX,MA.MX,MAR.MX,MBLY.MX,MDLZ.MX,MET.MX,META.MX,MFCN.MX,MFRISCOA-1.MX,MGM.MX,MLM.MX,MNST.MX,MOMON.MX,MRLN.MX,MRNA.MX,MRVL1.MX,MS.MX,MSFT.MX,MSTR.MX,NBISN.MX,NCLHN.MX,NDAQ.MX,NEE.MX,NEM.MX,NEMAKA.MX,NESNN.MX,NET.MX,NFLX.MX,NKE.MX,NOC.MX,NOKN.MX,NOWW.MX,NUN.MX,NVAX.MX,NVDA.MX,NVON.MX,NXPIN.MX,OCGN.MX,ODFL.MX,OKTA.MX,OMAB.MX,ONONN.MX,OPEN1.MX,ORBIA.MX,ORCL.MX,OTIS.MX,PANW.MX,PATH.MX,PAYC.MX,PBF.MX,PBRAN.MX,PCG.MX,PDDN.MX,PFE.MX,PG.MX,PGR.MX,PINFRA.MX,PINFRAL.MX,PINS.MX,PKG.MX,PLD.MX,PLTR.MX,PM.MX,PNC.MX,POCHTECB.MX,POOL.MX,PROCORPB.MX,PRYN.MX,PTON.MX,PWR.MX,PYPL.MX,Q.MX,QCOM.MX,QS.MX,QUBT.MX,QVGMEX18.MX,RA.MX,RACEN.MX,RBLX.MX,RCL.MX,RDDT.MX,REGN.MX,RES510E-DC016.MX,RIGN.MX,RIOT.MX,RKLB.MX,RMSN.MX,ROKU.MX,ROST.MX,RTX.MX,RUN.MX,RYAAYN.MX,SANN.MX,SAPN.MX,SBUX.MX,SBV505E-DC055.MX,SBV702E-DC050.MX,SCCO.MX,SCHW.MX,SEN.MX,SHAK.MX,SHEL1N.MX,SHELN.MX,SHOPN.MX,SIEN.MX,SIMECB.MX,SKLZ.MX,SKX.MX,SNAP.MX,SNOW.MX,SNYN.MX,SOFI.MX,SONYN.MX,SORIANAB.MX,SPG.MX,SPORTS.MX,SPOTN.MX,SPY612E-DC139.MX,STEPCC21.MX,STNEN.MX,STORAGE18.MX,STZ.MX,SUPVN.MX,SYM.MX,T.MX,TALN.MX,TBBBN.MX,TCEHYN.MX,TEAKCPO.MX,TEM.MX,TERRA13.MX,TEVAN.MX,TIGRN.MX,TLEVISACPO.MX,TMN.MX,TMO.MX,TMUS.MX,TOP802E-DC014.MX,TRIP.MX,TSCO1.MX,TSLA.MX,TSMN.MX,TTD.MX,TTN.MX,TTWO.MX,TWLO.MX,TX.MX,TXN.MX,UAA.MX,UAL.MX,UBER.MX,UBSN.MX,UCGN.MX,UNH.MX,UPST.MX,URWN.MX,UTGN.MX,V.MX,VALN.MX,VASCONI.MX,VEEV.MX,VFC.MX,VINTE.MX,VISTAA.MX,VITROA.MX,VMC.MX,VNAN.MX,VOLARA.MX,VOW3N.MX,VRSN.MX,VRT.MX,VST.MX,VTRS.MX,WALMEX.MX,WBA.MX,WBD.MX,WBN.MX,WCNN.MX,WELL.MX,WFC.MX,WHR.MX,WMI.MX,WMT.MX,WOLF.MX,WOOF.MX,WYNN.MX,X.MX,XOM.MX,XPEVN.MX,XYZ.MX,YUM.MX,ZBRA.MX,ZM.MX,ZS.MX,ZTS.MX,1211N.MX,1810N.MX,3283N.MX,4519N.MX,823N.MX,992N.MX,AA1.MX,AAL.MX,AAP.MX,AAPL.MX,ABEVN.MX,ABNB.MX,ABT.MX,AC.MX,ACNN.MX,ACTINVRB.MX,ADBE.MX,ADI.MX,AFRM.MX,AGNC.MX,AGUA.MX,AGUILASCPO.MX,AI1.MX,AJG.MX,ALFAA.MX,ALSEA.MX,ALTERNAB.MX,AMAT.MX,AMC.MX,AMD.MX,AMGN.MX,AMXB.MX,AMZN.MX,ANET.MX,ANTAN.MX,APP.MX,APPS1.MX,ARCON.MX,ARGXN.MX,ARMN.MX,ASML1N.MX,ASMLN.MX,ASTS.MX,ATER.MX,ATOS.MX,AUTLANB.MX,AVGO.MX,AXP.MX,AXTELCPO.MX,AZN1N.MX,BA.MX,BABAN.MX,BAC.MX,BBN.MX,BBVA.MX,BCRX.MX,BE.MX,BEAM.MX,BIDUN.MX,BILIN.MX,BIMBOA.MX,BK.MX,BKNG.MX,BLDR.MX,BMY.MX,BPN.MX,BSX.MX,BTBTN.MX,BTGN.MX
2024-05-31,120.38999938964844,1043.2637939453125,1639.31982421875,1100.5341796875,5718.28857421875,,252.00999450683597,4938.7900390625,3842.247314453125,513.9099731445312,1770.76025390625,371.1499938964844,34.790000915527344,288.5,,271.9800109863281,640.2684326171875,1049.699951171875,73.01324462890625,1.5099999904632568,2298.437255859375,2.2699999809265137,,,13546.4267578125,891.6599731445312,2021.2440185546875,3932.578125,267.3099975585937,2599.0,196.0,5300.0,779.8837280273438,,2855.45263671875,0.4460000097751617,30.305370330810547,10.573933601379396,1738.550048828125,997.4456787109376,2745.5537109375,856.6089477539062,19.8498592376709,,1348.400390625,2056.919921875,6199.37255859375,2372.8779296875,2346.32080078125,4279.796875,,,25.0,1749.5621337890625,595.0,1960.0,947.8790283203124,8473.986328125,1569.7803955078125,904.905517578125,51.6016845703125,2081.28271484375,1096.18994140625,9067.3681640625,535.4813842773438,2170.0,,2065.814697265625,3050.0,,,5560.39111328125,823.786865234375,40.84980773925781,886.3564453125,192.00804138183597,19.57961654663086,22.350000381469727,2525.0,2.17543888092041,29.634349822998047,66.72089385986328,20.385334014892575,23173.80078125,8.911373138427734,5.365293502807617,9.43142032623291,1140.5999755859375,8.579999923706055,851.2571411132812,129.78854370117188,5.8519792556762695,4662.39013671875,998.0,20.71999931335449,,491.29296875,306.22784423828125,13.43000030517578,185.5500030517578,,,2759.044677734375,1337.8846435546875,75.05999755859375,26.209999084472656,215.0,2964.17333984375,45.400001525878906,1126.86279296875,1137.8056640625,21.549999237060547,446.2584228515625,749.3931274414062,391.5700073242188,101.0718994140625,140.0,2477.0,286.55450439453125,1699.1812744140625,325.5816650390625,7630.09521484375,743.8333129882812,219.22999572753903,1018.411865234375,5197.86669921875,4.190000057220459,5604.08740234375,,,49.86362457275391,,3382.350830078125,385.0,3.5,308.8700561523437,614.5833740234375,3485.968994140625,5996.28662109375,145.8000030517578,1304.593994140625,2801.73828125,184.77999877929688,8456.599609375,1745.4000244140625,,519.1729125976562,,6775.0,,98.2699966430664,504.2300109863281,3423.884765625,,602.0020141601562,35.13190460205078,12067.57421875,320.24273681640625,156.92564392089844,466.0653381347656,41.52989196777344,,1269.8544921875,17.070255279541016,37.14640808105469,123.8086929321289,239.47999572753903,47.720001220703125,3670.9306640625,,151.99000549316406,129.0,280.0,7824.4619140625,785.0,,5296.68017578125,20.209999084472656,455.2378845214844,755.6649169921875,7526.63671875,4157.3134765625,,1188.3314208984375,1192.3890380859375,7898.568359375,,3.7300000190734863,673.5,10102.1142578125,880.0,,,2402.0,1172.8028564453125,1642.1689453125,6911.24267578125,2601.69091796875,,281.989990234375,1031.664794921875,1339.679931640625,695.9767456054688,3.2799999713897705,,1242.0,10806.0,1605.3187255859375,7890.06787109375,64.0685043334961,11040.0,200.1199951171875,257.4599914550781,1864.1119384765625,2288.244384765625,,28.0,2925.65625,1500.0,174.02000427246094,,42.0,27.72390365600586,1972.3736572265625,1608.04541015625,2479.31494140625,205.5,3132.1025390625,787.4173583984375,,285.5458984375,2546.610107421875,483.8230590820313,2756.58251953125,3446.540771484375,180.87054443359372,126.14713287353516,695.0,,1808.3133544921875,366.989990234375,1676.2269287109375,2675.075439453125,7.0,6083.919921875,5.0,,60.310001373291016,4484.71728515625,1055.3599853515625,217.7400054931641,3445.834228515625,98.3000030517578,,28.690000534057617,142.12115478515625,6867.3017578125,544.9500122070312,2483.101318359375,,16434.388671875,,,164.0800018310547,,29522.701171875,978.0,2358.725341796875,1769.8240966796875,243.9900054931641,,83.068115234375,3061.139892578125,1356.0653076171875,,,1996.995849609375,1229.1571044921875,1133.3199462890625,1590.0,,,995.0,3054.189208984375,185.0,107.0,,251.1100006103516,2295.5,798.7100219726562,117.1999969482422,,32.31999969482422,2465.6025390625,4.800000190734863,,,,282.0,15.265419006347656,4193.36962890625,48.0,822.5,306.2405700683594,195.0,,788.0700073242188,1.3200000524520874,,37.74692153930664,,,11.199999809265137,3606.483642578125,9598.5927734375,2894.9189453125,,312.0,939.03857421875,2998.669921875,2556.074951171875,1586.5,,2705.0,962.7000122070312,725.0,3351.045166015625,121.0,892.5499877929688,1088.9599609375,526.302734375,,8421.7587890625,419.0,,,4578.50537109375,,1.6799999475479126,3285.0,201.53732299804688,32.73723220825195,817.1500244140625,9.109999656677246,,,13.529999732971191,2182.0,2912.080078125,,1674.2955322265625,,61.28409194946289,275.5244445800781,140.99000549316406,165.17347717285156,,1582.5863037109375,1005.0670776367188,1461.2911376953125,3562.650634765625,1097.444091796875,,57.0,1574.3128662109375,650.450927734375,1980.5196533203125,141.80999755859375,1071.699951171875,2368.215087890625,4751.419921875,1025.0,2800.0,2868.307373046875,,,,,,,755.6741943359375,195.0,1228.4620361328125,3245.19775390625,38.47999954223633,2438.0,1734.2376708984375,168.2458953857422,,15.863155364990234,7467.08984375,3886.7509765625,499.5499877929688,160.91368103027344,29.0,,490.0,4078.1513671875,11.786032676696776,67.25,1.5499999523162842,3613.80859375,73.62000274658203,2808.3701171875,5179.2548828125,15.281274795532228,2979.0400390625,1252.4625244140625,,,,160.0,,,,15996.83984375,,41.5099983215332,22.5,10.0,2161.126220703125,4008.46923828125,1.6399999856948853,,2995.0,1303.73681640625,672.971435546875,46.61000061035156,182.6767578125,98.86000061035156,163.0,450.0,1649.1099853515625,,63.79999923706055,985.4396362304688,63326.90625,2686.0,693.306640625,613.6172485351562,1263.969970703125,42.59999847412109,
2024-06-28,125.6999969482422,1153.9786376953125,1639.31982421875,1100.72412109375,6111.9638671875,,340.70001220703125,5689.22998046875,3648.881103515625,513.9099731445312,1892.439453125,494.0,34.77000045776367,280.010009765625,,291.989990234375,706.9668579101562,1148.530029296875,70.58920288085938,1.399999976158142,2536.50732421875,1.940000057220459,,,15601.6650390625,997.1099853515624,2021.2440185546875,4727.24951171875,267.3099975585937,2741.260009765625,195.0,7055.0400390625,871.086181640625,,3226.882568359375,0.395000010728836,32.033226013183594,11.431279182434082,2417.989990234375,1073.489990234375,2876.352294921875,867.6039428710938,18.51778030395508,291.5,1447.9803466796875,2145.0,6801.39111328125,2512.7529296875,2346.32080078125,4579.16064453125,,,24.5,1809.503662109375,699.0,1950.0,1014.7294311523438,9428.2724609375,1827.4161376953125,980.35595703125,49.84086990356445,1928.4088134765625,1055.81005859375,9724.146484375,535.4813842773438,1810.0,,2255.494140625,3200.0,,,5765.7763671875,823.786865234375,41.5,889.354248046875,194.0034942626953,19.57961654663086,22.0,2726.0,2.1281466484069824,29.533262252807617,57.77891159057617,19.33399772644043,27353.7890625,9.342569351196287,4.763845920562744,9.020918846130373,1315.0,8.369999885559082,904.7647094726562,129.78854370117188,5.832979679107666,4150.0,1113.199951171875,22.489999771118164,,446.27777099609375,275.6711730957031,13.199999809265137,172.4600067138672,,,2901.88525390625,1442.8756103515625,86.63999938964844,22.670000076293945,250.0,3217.8642578125,43.38999938964844,1275.4183349609375,1137.8056640625,22.26000022888184,560.7023315429688,853.1953125,446.75,95.30767059326172,140.0,2477.0,309.4721069335937,1733.9442138671875,330.3029479980469,8253.1728515625,688.9194946289062,208.0,1130.235595703125,6145.455078125,4.179999828338623,6293.00341796875,,,51.77134704589844,,3873.9462890625,412.5,3.690000057220459,390.6047973632813,657.157470703125,3351.124755859375,6596.80078125,145.8000030517578,1516.8187255859375,3146.3369140625,186.8000030517578,8913.2001953125,1993.68896484375,,568.1071166992188,,8125.02978515625,,103.75,473.0,3695.622802734375,,583.9393920898438,31.06534576416016,15257.240234375,357.15545654296875,155.84613037109375,411.2289123535156,37.88043594360352,,1407.4886474609375,16.751283645629883,35.349647521972656,121.73538970947266,256.6300048828125,47.459999084472656,3672.089599609375,,131.0,131.47999572753906,300.989990234375,8491.873046875,785.0,,5482.0,20.0,518.97705078125,811.6030883789062,8043.09130859375,4254.986328125,,1205.63232421875,1292.4862060546875,9330.9404296875,,3.400000095367432,809.0,9868.345703125,921.9000244140624,,,2168.050048828125,1274.785888671875,1763.694091796875,8273.46484375,2583.9599609375,,345.0,1089.4752197265625,1318.8465576171875,768.3670654296875,2.890000104904175,,1506.030029296875,12370.0,1382.2601318359375,7839.9990234375,67.93479919433594,13510.0,236.3300018310547,229.0,2273.8818359375,2623.938232421875,,27.0,3235.208251953125,1705.0,155.25,,35.0,25.461305618286133,2594.71826171875,1774.023681640625,3105.93505859375,232.0,2569.24755859375,831.1677856445312,,320.0592956542969,2431.300048828125,511.7978820800781,3017.868408203125,3808.17822265625,164.3395233154297,113.6287078857422,808.1300048828125,3363.517333984375,2022.160400390625,461.9800109863281,1843.1519775390625,2675.075439453125,6.489999771118164,5636.146484375,5.0,,61.9900016784668,4619.0185546875,1062.010009765625,185.97999572753903,3643.160400390625,89.8499984741211,,27.1299991607666,132.43240356445312,7571.01611328125,680.0,2929.8095703125,,19262.357421875,,,166.49000549316406,,29522.701171875,1099.8599853515625,2696.646728515625,1846.553955078125,217.0,,81.86479949951172,3682.0,1431.328369140625,,,1864.010986328125,1368.8519287109375,1310.0,1640.0,,,1200.02001953125,3448.035888671875,185.9900054931641,125.0,,308.6000061035156,2465.0,889.7999877929688,119.98999786376952,,30.989999771118164,2685.210693359375,4.900000095367432,5787.0,,,237.8000030517578,14.682331085205078,4662.40185546875,48.0,680.0,348.4902648925781,195.6000061035156,,857.4099731445312,1.2000000476837158,,38.54730987548828,,,10.039999961853027,3841.31982421875,10018.3193359375,3244.074951171875,,330.0,993.805908203125,3601.919921875,3199.352294921875,1779.5,6017.85986328125,2900.0,1028.0,684.7999877929688,3621.33544921875,121.0,885.0,1330.4000244140625,537.5877685546875,,9229.0703125,428.0,,,4807.1015625,,1.6299999952316284,3612.489990234375,248.94610595703125,31.76000022888184,842.5900268554688,9.0,,,11.59000015258789,2140.0,3165.0,,1614.535400390625,,60.07283020019531,220.0824279785156,136.9199981689453,150.4293975830078,3212.03076171875,1869.369140625,1051.0244140625,1765.5189208984375,3870.69189453125,1239.507568359375,,63.0,1640.4339599609375,683.8748779296875,2099.390625,132.0,1171.0,2537.887451171875,4751.419921875,1045.0,3533.0,3202.8994140625,,,,,,,709.6939697265625,205.3999938964844,1148.56201171875,3888.67822265625,37.5,2800.0,1908.06103515625,174.0207977294922,5543.5498046875,,10188.08984375,4186.34619140625,551.0,177.9189453125,27.350000381469727,41.40999984741211,,4078.751220703125,10.647381782531738,63.59999847412109,1.5700000524520874,4348.46630859375,88.2300033569336,2962.669921875,5674.55517578125,15.13564682006836,3537.739990234375,1605.635009765625,,,,164.0,,,18693.1953125,18125.8515625,,46.0,23.0,8.649999618530273,2932.71533203125,4220.6767578125,1.4900000095367432,,3340.989990234375,1318.8599853515625,729.3683471679688,45.0,181.88034057617188,98.86000061035156,163.0,450.0,1588.0,,64.61000061035156,985.4396362304688,73241.328125,2516.0,764.5328369140625,638.56103515625,1409.0,,
2024-07-31,110.0,1207.109619140625,1639.8250732421875,1199.8785400390625,6462.5859375,,311.0,4996.56982421875,3244.323974609375,513.9099731445312,1854.225341796875,450.0,34.68000030517578,287.0,,299.0,768.0587158203125,1010.0,72.27337646484375,1.2200000286102295,2467.534912109375,1.7400000095367432,,,15257.1513671875,972.0,2021.2440185546875,4819.31494140625,267.3099975585937,2512.0,149.0,4339.0,899.073974609375,,3226.882568359375,0.3689999878406524,29.73265647888184,10.550000190734863,2501.0,1141.0712890625,2945.2509765625,806.7821655273438,19.2307243347168,291.82000732421875,1447.9803466796875,2149.840087890625,6968.30322265625,2092.5322265625,2346.32080078125,5152.05517578125,,,23.96999931335449,1748.3671875,695.2000122070312,1957.0,987.7897338867188,7960.60302734375,1855.3265380859373,1017.3317260742188,48.86263656616211,1840.4813232421875,944.9500122070312,9864.4375,535.4813842773438,2185.0,,2366.18115234375,3723.0,,,,823.786865234375,41.400001525878906,846.6637573242188,203.0324249267578,19.679004669189453,18.5,3065.5,2.099771499633789,29.90409469604492,60.29778289794922,19.791601181030277,27928.650390625,9.10301685333252,4.763845920562744,8.948291778564453,1220.0,8.199999809265137,957.2994384765624,129.78854370117188,6.602477073669434,4017.0,1077.4200439453125,28.0,,389.5757751464844,293.0081787109375,13.18000030517578,159.0800018310547,,,3159.209228515625,1582.1162109375,84.16000366210938,21.96999931335449,273.0,3219.69287109375,45.68999862670898,1340.00830078125,1156.38623046875,21.549999237060547,665.756591796875,829.7036743164062,429.6199951171875,101.16844940185548,140.0,2900.0,341.32586669921875,1849.375244140625,349.6099853515625,9429.703125,708.6685791015625,216.5800018310547,1130.235595703125,5732.4501953125,4.590000152587891,6840.00341796875,,,52.85174179077149,,3812.0146484375,392.0,4.0,367.4194641113281,693.1114501953125,3590.847900390625,6696.751953125,145.8000030517578,1421.7899169921875,3594.81494140625,187.1000061035156,8946.0,2330.3798828125,,572.0758666992188,,8293.509765625,,105.5,490.0,3982.424072265625,,654.8106689453125,32.69000244140625,15233.5283203125,387.5812377929688,166.72048950195312,411.2289123535156,37.88043594360352,,1439.0750732421875,18.672122955322266,34.54556655883789,118.8956527709961,271.0,66.0,3672.089599609375,,137.0,131.97000122070312,337.0,9930.484375,785.0,,4849.9599609375,50.15999984741211,515.4501953125,742.2796630859375,8638.111328125,4226.28759765625,,1277.7264404296875,1422.9700927734375,8836.4462890625,,3.2300000190734863,801.0,11150.9228515625,955.5,,,2213.0,1229.8482666015625,1922.7120361328125,7782.89794921875,3090.0,,354.0,1268.37060546875,1419.8016357421875,876.4680786132812,2.700000047683716,,1438.0,11407.01953125,1392.392822265625,8844.470703125,66.96815490722656,14832.0,226.4900054931641,234.6000061035156,2181.193359375,2484.209716796875,,30.25,3969.2001953125,1730.0,160.07000732421875,,46.0,23.99468421936035,2583.93212890625,1754.1259765625,3029.0,226.3000030517578,3119.08642578125,787.4273071289062,,322.2889709472656,2389.0,569.1035766601562,3005.540283203125,3978.441162109375,168.90179443359375,113.6287078857422,595.8800048828125,3741.1181640625,2375.017333984375,501.0299987792969,2148.6796875,3375.620849609375,6.690000057220459,6137.892578125,5.0,,68.3499984741211,4962.1318359375,1227.8199462890625,171.97999572753906,3341.0458984375,121.0,,27.51000022888184,130.60487365722656,7627.33642578125,775.0,2833.848388671875,,20192.6484375,,109.0,190.33999633789065,,29522.701171875,1085.0,2671.037109375,2165.493896484375,337.489990234375,,87.7827377319336,3916.7900390625,1452.6795654296875,,,1877.486083984375,1210.347412109375,,1651.9000244140625,,,1144.0,3404.59375,185.0,125.0,1216.43994140625,247.1100006103516,2450.0,958.0,140.0399932861328,,31.190000534057617,2655.26416015625,5.0,6350.97998046875,,,235.0,,4559.455078125,119.0,500.2000122070313,359.3382263183594,,,856.1300048828125,1.1799999475479126,,39.45640182495117,,,8.239999771118164,3605.474365234375,11457.8134765625,3279.367431640625,,319.6000061035156,969.610595703125,4321.18994140625,3082.6552734375,1705.0,6238.02001953125,2723.0,1125.0,640.5,3694.667724609375,130.8000030517578,860.1099853515625,1199.0,549.2723388671875,,10713.87109375,539.010009765625,,,4932.01611328125,,1.2300000190734863,3650.0,265.7350769042969,31.56455421447754,838.0,8.399999618530273,,,11.449999809265137,2063.0,3165.0,,1327.617919921875,,59.601783752441406,220.79055786132807,163.6999969482422,150.4293975830078,,1888.3726806640625,1118.7415771484375,1824.3695068359373,3615.61767578125,1286.09912109375,,65.19999694824219,1559.3193359375,764.8599853515625,2217.2431640625,151.75,1164.0,2462.93359375,4751.419921875,1160.0,3267.010009765625,3396.5478515625,,40.0,,,,,591.744873046875,198.0,1039.44873046875,4135.29638671875,,2606.0,1943.585205078125,177.57089233398438,6151.2001953125,16.21124839782715,10288.900390625,4267.39697265625,530.0,189.8570709228516,25.8799991607666,42.09999847412109,510.0,4078.751220703125,10.647381782531738,56.02000045776367,1.5700000524520874,3955.69580078125,98.01000213623048,2690.219970703125,5674.55517578125,15.56999969482422,3482.02001953125,1502.06005859375,,,,,,,17116.298828125,,,55.150001525878906,26.350000381469727,7.550000190734863,2974.0830078125,4708.74267578125,1.3200000524520874,,3614.989990234375,1474.6300048828125,753.3165893554688,,194.12518310546875,98.86000061035156,163.0,450.0,1650.0,,65.58999633789062,985.9091186523438,68895.671875,2958.300048828125,888.5670166015625,634.570068359375,1400.25,74.5,
