Date,ABC-A.CR,ARC-B.CR,BNC.CR,BPV.CR,BVCC.CR,BVL.CR,C2401A.CR,C2451A.CR,C2452A.CR,C2453A.CR,C2454A.CR,C2455A.CR,C2456A.CR,C2457A.CR,C2458A.CR,C2459A.CR,CCR.CR,CGQ.CR,CRM-A.CR,DOM.CR,ENV.CR,FNC.CR,FO422.CR,GMC-B.CR,IBC.CR,IVC-A.CR,IVC-B.CR,MPA.CR,MVZ-A.CR,MVZ-B.CR,PI413.CR,PIV-B.CR,RST-B.CR,RST.CR,SD251P.CR,SD252P.CR,TDV-D.CR,TPG.CR
2024-05-31,,,,3.900000095367432,6.590000152587891,,,,,,,,,,,,767.989990234375,15.0,,,,10.0,,,,,,2.400000095367432,,,,,,,,,,0.2899999916553497
2024-06-28,,,,3.900000095367432,5.980000019073486,,,,,,,,,,,,715.0,21.0,,,,10.0,,,,,,3.25,,,,,,,,,,0.3075000047683716
2024-07-31,,,,4.949999809265137,5.900000095367432,,,,,,,,,,,,800.0,45.0,,,,10.0,,,,,,4.630000114440918,,,,,,,,,,0.4799999892711639
2024-08-30,,,,5.349999904632568,5.199999809265137,,,,,,,,,,,,600.0,45.0,,,,9.989999771118164,,,,,,4.28000020980835,,,,,,,,,,0.75
2024-09-30,,,,5.900000095367432,5.099999904632568,,,,,,,,,,,,550.0,45.0,,,,9.739999771118164,,,,,,3.9800000190734863,,,,,,,,,,0.949999988079071
2024-10-31,,,,6.449999809265137,6.0,,,,,,,,,,,,550.0,20.01000022888184,,,,9.100000381469728,,,,,,3.75,,,,,,,,,,1.2000000476837158
2024-11-29,,,,6.480000019073486,6.300000190734863,,,,,,,,,,,,493.0,19.899999618530277,,,,9.1899995803833,,,,,,3.880000114440918,,,,,,,,,,2.549999952316284
2024-12-30,,,,7.889999866485596,8.5,,,,,,,,,,,,700.0,16.0,,,,14.979999542236328,,,,,,4.5,,,,,,,,,,2.049999952316284
2025-01-31,,,,5.550000190734863,11.149999618530272,,,,,,,,,,,,780.0,16.399999618530273,,,,14.489999771118164,,,,,,5.0,,,,,,,,,,1.7899999618530271
2025-02-28,,,,5.190000057220459,13.479999542236328,,,,,,,,,,,,555.0,24.850000381469727,,,,19.0,,,,,,7.25,,,,,,,,,,1.3200000524520874
2025-03-31,,,,6.489999771118164,17.290000915527344,,,,,,,,,,,,470.0,30.0,,,,22.0,,,,,,7.090000152587891,,,,,,,,,,1.7999999523162842
2025-04-30,,,,6.789999961853027,16.950000762939453,,,,,,,,,,,,431.0,30.0,,,,17.0,100.0,,,85.9000015258789,42.70000076293945,6.079999923706055,,,,,,,,,,1.600000023841858
