Date,ABI.BR,ABO.BR,ACCB.BR,AGFB.BR,AGS.BR,ARGX.BR,ATEB.BR,B277.BR,B283.BR,B287.BR,B334.BR,B335.BR,B345.BR,B346.BR,B347.BR,B349.BR,B350.BR,B351.BR,B352.BR,B354.BR,B357.BR,BANI.BR,BAR.BR,BE0002654359.BR,BE0002655364.BR,BE0002657386.BR,BE0002673540.BR,BE0002735166.BR,BE0002827088.BR,BE0002867480.BR,BE0002920016.BR,BE0022780820.BR,BE0172505399.BR,BE0390159250.BR,BE0941243520.BR,BE0941244536.BR,BE0944264663.BR,BE0945331669.BR,BE3871289190.BR,BE3871292228.BR,BE3871295254.BR,BE3871301318.BR,BEKB.BR,BELYS.BR,BNB.BR,BPOST.BR,BREB.BR,BTLS.BR,CAMB.BR,CAND.BR,CENER.BR,CFEB.BR,CLEX.BR,CMBT.BR,COBH.BR,COLR.BR,COMB.BR,CPINV.BR,CYAD.BR,DECB.BR,DEME.BR,DIE.BR,ECONB.BR,ELI.BR,EVS.BR,EXM.BR,FLOB.BR,FLUX.BR,GBLB.BR,GREEN.BR,HOMI.BR,IBAB.BR,IEP.BR,IMMO.BR,JEN.BR,KBC.BR,KBCA.BR,KIN.BR,LOTB.BR,MELE.BR,MONT.BR,NEWT.BR,NYXH.BR,ONTEX.BR,OPTI.BR,OXUR.BR,PAY.BR,PROX.BR,QFG.BR,QRF.BR,RECT.BR,RET.BR,SHUR.BR,SMAR.BR,SOF.BR,SYENS.BR,TESB.BR,TEXF.BR,TINC.BR,TITC.BR,TUB.BR,UCB.BR,VAN.BR,VASTB.BR,VGP.BR,VGP26.BR,VIO.BR,WDP.BR,WEHB.BR,WHATS.BR,XIOR.BR
2024-05-31,57.619998931884766,5.575395107269287,0.0285000000149011,1.2059999704360962,42.57352066040039,340.70001220703125,6.150000095367432,,,,,,,,,,,,,,,3.240000009536743,12.342015266418455,,,,,,,,,,,,,,,,,,,,43.2400016784668,0.8999999761581421,461.0,3.345000028610229,114.0,2.970000028610229,77.44303894042969,2.799999952316284,8.922663688659668,7.5,1.350000023841858,15.122359275817873,1830.0,45.59053802490234,266.7264099121094,13.899999618530272,0.3039999902248382,2.4671201705932617,162.8000030517578,123.24796295166016,2.23189377784729,93.4000015258789,29.6173152923584,7.460000038146973,692.2637939453125,20.600000381469727,70.19999694824219,6.186855316162109,18.799999237060547,14.202597618103027,5.5,27.399999618530277,41.5,65.9051284790039,42.07117462158203,37.29999923706055,9780.0,81.15354919433594,83.80000305175781,2.799999952316284,8.5600004196167,9.09000015258789,0.0121999997645616,1.0,8.0,6.539855480194092,4.550000190734863,10.199999809265137,13.760000228881836,65.0999984741211,40.01056289672852,27.399999618530277,222.1999969482422,91.41999816894533,24.695554733276367,36.59999847412109,11.84000015258789,29.937395095825195,97.85306549072266,127.43639373779295,32.70000076293945,26.10573387145996,106.0,,6.153131484985352,25.33152961730957,43.22011566162109,76.31512451171875,26.761674880981445
2024-06-28,54.119998931884766,5.575395107269287,0.0299999993294477,1.1139999628067017,41.3389892578125,408.6000061035156,5.900000095367432,,,,,,,,,,,,,,,3.140000104904175,9.92727279663086,,,,,,,,,,,,,,,,,,,,39.08000183105469,0.8550000190734863,440.0,3.025000095367432,111.4000015258789,2.7100000381469727,74.5,2.799999952316284,9.350000381469728,7.449999809265137,1.350000023841858,15.301558494567873,1610.0,43.16963195800781,241.6000061035156,13.199999809265137,0.2800000011920929,2.31774377822876,162.1999969482422,124.61930084228516,2.119999885559082,87.44999694824219,28.5367488861084,7.300000190734863,677.3228149414062,15.25,66.6500015258789,5.668081760406494,17.18000030517578,11.979999542236328,5.699999809265137,24.799999237060547,41.20000076293945,64.9588394165039,43.5,34.04999923706055,9630.0,78.94429016113281,79.0999984741211,3.0,6.5,8.109999656677246,0.0140000004321336,1.0,8.0,6.738854885101318,4.449999809265137,10.149999618530272,12.420000076293944,62.0,35.52661895751953,27.5,213.1999969482422,83.56999969482422,23.649999618530277,36.20000076293945,11.380000114440918,29.100000381469727,103.30587005615234,137.3916015625,30.799999237060547,26.82341957092285,104.0,,5.730000019073486,23.949464797973636,41.568389892578125,69.60399627685547,28.12323760986328
2024-07-31,54.959999084472656,5.477581024169922,0.0299999993294477,1.1779999732971191,42.75311279296875,471.1000061035156,5.699999809265137,,,,,,,,,,,,,,,3.180000066757202,11.422113418579102,,,,,,,,,,,,,,,,,,,,37.81999969482422,0.7400000095367432,440.0,2.640000104904175,108.5999984741211,3.0799999237060547,75.0,1.0,9.699999809265137,7.25,1.350000023841858,16.600000381469727,1720.0,42.91785430908203,264.7936096191406,13.760000228881836,0.2535000145435333,2.380385637283325,166.60000610351562,133.6150360107422,1.9800000190734863,95.9000015258789,28.68409919738769,7.659999847412109,640.0,15.550000190734863,69.0,6.033144950866699,17.260000228881836,12.81999969482422,5.599999904632568,24.700000762939453,40.900001525878906,70.61686706542969,45.0,37.45000076293945,10040.0,79.0915756225586,80.0999984741211,2.2799999713897705,7.800000190734863,8.680000305175781,0.0120000001043081,1.0,8.0,6.042356014251709,4.409999847412109,10.25,12.380000114440918,63.09999847412109,35.57589340209961,27.700000762939453,218.3999938964844,81.7300033569336,24.649999618530277,34.79999923706055,11.279999732971191,32.79999923706055,121.1514129638672,153.19113159179688,30.299999237060547,26.82341957092285,100.1999969482422,,5.920000076293945,23.741209030151367,42.76130294799805,71.0,29.20309257507324
2024-08-30,55.29999923706055,5.575395107269287,0.0280000008642673,1.1299999952316284,45.05833435058594,468.1000061035156,5.480000019073486,,,,,,,,,,,,,,,3.359999895095825,11.78624153137207,,,,,,,,,,,,,,,,,,,,37.400001525878906,0.9100000262260436,429.0,2.559999942779541,106.0,2.869999885559082,88.0,3.200000047683716,9.199999809265137,7.199999809265137,1.350000023841858,14.75,1610.0,45.1257209777832,261.8944091796875,14.579999923706056,0.2594999969005584,2.2647392749786377,161.60000610351562,137.76690673828125,2.069999933242798,99.0999984741211,29.6173152923584,8.4399995803833,605.0,15.350000381469728,69.75,6.148427486419678,18.540000915527344,12.020000457763672,5.349999904632568,24.25,45.09999847412109,69.3354263305664,45.29999923706055,40.70000076293945,11380.0,80.12255859375,78.9000015258789,2.799999952316284,7.320000171661377,9.039999961853027,0.0127999996766448,1.0,8.0,6.159946441650391,4.380000114440918,10.600000381469728,12.5,64.80000305175781,39.84999847412109,24.200000762939453,220.0,74.4000015258789,24.799999237060547,35.79999923706055,11.520000457763672,32.29999923706055,119.9617156982422,162.15576171875,32.04999923706055,28.34849548339844,92.9000015258789,,5.860000133514404,22.85138702392578,43.95421600341797,85.0,30.7524528503418
2024-09-30,59.380001068115234,5.477581024169922,0.0274999998509883,1.0700000524520874,46.414344787597656,485.6000061035156,5.059999942779541,,,,,,,,,,,,,,,3.140000104904175,11.431695938110352,,,,,,,,,,,,,,,,,,,,36.91999816894531,0.9300000071525574,421.0,2.565000057220459,113.5999984741211,3.109999895095825,83.0,3.200000047683716,9.960000038146973,6.730000019073486,1.0700000524520874,14.710000038146973,1600.0,41.81999969482422,247.39840698242188,14.359999656677246,0.2685000002384186,2.534580707550049,146.0,119.4608917236328,2.0,102.6999969482422,27.89823341369629,8.819999694824219,625.0,15.449999809265137,69.94999694824219,6.110000133514404,18.6200008392334,13.239999771118164,5.400000095367432,21.950000762939453,41.20000076293945,70.4000015258789,48.5,40.0,12040.0,72.80744934082031,74.69999694824219,2.759999990463257,8.399999618530273,8.9399995803833,0.0120000001043081,0.3894999921321869,7.650000095367432,6.331809997558594,4.449999809265137,10.75,13.220000267028809,65.5,42.09999847412109,24.0,253.6000061035156,79.61000061035156,25.549999237060547,37.400001525878906,11.84000015258789,35.400001525878906,130.07418823242188,160.4718017578125,30.100000381469727,29.185302734375,92.0,,5.880000114440918,22.66206359863281,45.51417541503906,93.0,31.78536033630371
2024-10-31,54.97999954223633,5.428674697875977,0.0270000007003545,0.9610000252723694,46.37560272216797,541.5999755859375,4.389999866485596,,,,,,,,,,,,,,,2.9600000381469727,10.875922203063965,,,,,,,,,,,,,,,,,,,,33.5,0.7699999809265137,415.0,2.4049999713897705,107.1999969482422,3.059999942779541,84.0,1.3300000429153442,8.399999618530273,6.090000152587891,1.1200000047683716,12.989999771118164,1680.0,42.900001525878906,231.93600463867188,12.460000038146973,0.2790000140666961,2.2310092449188232,139.60000610351562,124.87092590332033,1.972000002861023,87.3499984741211,27.94735145568848,7.710000038146973,610.0,14.800000190734863,66.19999694824219,5.980000019073486,17.020000457763672,13.699999809265137,5.150000095367432,18.71999931335449,41.70000076293945,65.72769927978516,46.400001525878906,38.650001525878906,12020.0,59.650001525878906,67.0,2.5,8.880000114440918,7.690000057220459,0.0108000002801418,0.3050000071525574,8.050000190734863,6.051401138305664,4.25,10.899999618530272,12.039999961853027,62.09999847412109,39.09999847412109,24.899999618530277,224.6000061035156,71.02999877929688,24.799999237060547,36.59999847412109,11.539999961853027,32.5,138.79867553710938,175.13218688964844,31.25,28.25878524780273,76.9000015258789,,5.150000095367432,20.65523147583008,43.58716583251953,105.5,28.827489852905277
2024-11-29,50.93999862670898,4.890697479248047,0.0260000005364418,0.7680000066757202,46.25937271118164,586.4000244140625,3.984999895095825,,,,,,,,,,,,,,,2.940000057220459,9.687714576721191,,,,,,,,,,,,,,,,,,,,32.779998779296875,0.75,385.0,1.8960000276565552,106.0,2.890000104904175,89.5,1.2000000476837158,8.619999885559082,6.0,1.350000023841858,10.829999923706056,1620.0,42.900001525878906,206.80960083007807,12.239999771118164,0.7310000061988831,2.2261903285980225,145.39999389648438,126.94686889648438,1.996000051498413,88.6500015258789,28.549999237060547,8.300000190734863,560.0,14.0,65.44999694824219,5.159999847412109,15.84000015258789,13.960000038146973,5.349999904632568,16.700000762939453,43.5,68.23999786376953,47.20000076293945,36.79999923706055,11380.0,56.70000076293945,66.69999694824219,2.359999895095825,7.679999828338623,7.96999979019165,0.0099999997764825,0.2989999949932098,7.5,5.544856548309326,3.930000066757202,10.350000381469728,10.920000076293944,58.79999923706055,38.59999847412109,24.100000381469727,219.6000061035156,70.26000213623047,22.200000762939453,34.400001525878906,11.140000343322754,38.75,136.6175537109375,183.60153198242188,29.0,28.0,79.0,,5.28000020980835,19.80327415466309,42.302490234375,105.5,28.874441146850582
2024-12-31,48.25,4.851572036743164,0.0280000008642673,0.7229999899864197,46.900001525878906,600.0,3.400000095367432,,,,,,,,,,,,,,,2.859999895095825,10.04226016998291,,,,,,,,,,,,,,,,,,,,33.459999084472656,0.6399999856948853,384.0,1.9700000286102293,111.0,3.2799999713897705,121.0,1.4600000381469729,9.350000381469728,5.820000171661377,0.5400000214576721,9.8100004196167,1520.0,36.2400016784668,221.30560302734372,11.420000076293944,0.7120000123977661,2.341836929321289,137.8000030517578,160.6999969482422,1.8639999628067017,74.4000015258789,30.950000762939453,11.460000038146973,680.0,15.0,66.05000305175781,5.400000095367432,17.15999984741211,13.420000076293944,5.849999904632568,18.700000762939453,43.20000076293945,74.54000091552734,50.5,39.400001525878906,10780.0,56.5,63.29999923706055,2.299999952316284,8.260000228881836,8.390000343322754,0.0102000003680586,0.2399999946355819,7.300000190734863,4.950445175170898,3.9800000190734863,10.350000381469728,10.479999542236328,59.29999923706055,35.849998474121094,23.899999618530277,218.3999938964844,70.55999755859375,18.899999618530277,35.0,11.020000457763672,39.900001525878906,140.97979736328125,190.3869171142578,29.350000381469727,27.600000381469727,71.4000015258789,,5.380000114440918,17.98576545715332,42.21072769165039,108.0,27.841533660888672
2025-01-31,47.68999862670898,4.597255706787109,0.0299999993294477,0.8700000047683716,49.81999969482422,643.0,3.174999952316284,,,,,,,,,,,,,,,2.900000095367432,9.227764129638672,,,,,,,,,,,,,,,,,,,,33.779998779296875,0.6449999809265137,326.0,1.8639999628067017,117.8000030517578,3.619999885559082,128.0,1.7000000476837158,9.539999961853027,6.380000114440918,1.3200000524520874,10.5,1350.0,35.5,218.40640258789065,11.220000267028809,0.4300000071525574,2.2551019191741943,135.8000030517578,162.39999389648438,1.807999968528748,65.25,31.350000381469727,11.479999542236328,670.0,17.149999618530273,67.19999694824219,5.079999923706055,18.399999618530277,13.399999618530272,5.199999809265137,18.5,45.400001525878906,74.33999633789062,52.09999847412109,38.54999923706055,10300.0,58.5,66.9000015258789,2.559999942779541,10.149999618530272,8.180000305175781,0.0093999998643994,0.2450000047683715,7.400000095367432,5.28047513961792,4.139999866485596,10.5,10.119999885559082,57.5,35.79999923706055,20.899999618530277,241.6000061035156,76.5,21.049999237060547,33.20000076293945,10.640000343322754,46.09999847412109,151.4888458251953,186.4246368408203,30.799999237060547,28.600000381469727,82.5999984741211,,6.010000228881836,19.689678192138672,43.86245346069336,100.0,30.33968734741211
2025-02-28,57.63999938964844,4.382065296173096,0.0324999988079071,0.8289999961853027,52.650001525878906,597.2000122070312,3.1449999809265137,,,,,,,,,,,,,,,2.900000095367432,10.789681434631348,,,,,,,,,,,,,,,,,,,,34.619998931884766,0.5799999833106995,346.0,1.5219999551773071,115.1999969482422,3.119999885559082,142.0,1.0,8.899999618530273,7.130000114440918,0.6150000095367432,8.885000228881836,1350.0,37.18000030517578,203.910400390625,11.539999961853027,0.5180000066757202,2.1442742347717285,134.0,159.89999389648438,1.7899999618530271,63.650001525878906,36.400001525878906,11.4399995803833,620.0,17.149999618530273,68.69999694824219,5.079999923706055,18.31999969482422,12.960000038146973,5.650000095367432,18.68000030517578,46.09999847412109,83.58000183105469,55.70000076293945,34.04999923706055,8690.0,56.95000076293945,64.0999984741211,1.7300000190734863,9.600000381469728,8.319999694824219,0.0086000002920627,0.2000000029802322,7.400000095367432,5.920831203460693,4.289999961853027,10.399999618530272,10.760000228881836,59.70000076293945,34.95000076293945,20.5,237.3999938964844,70.31999969482422,21.5,33.599998474121094,10.380000114440918,40.25,141.97122192382812,179.83738708496094,31.100000381469727,28.299999237060547,80.69999694824219,,5.590000152587891,19.841136932373047,48.4505729675293,105.0,27.741941452026367
