Date,ABQK.QA,AHCS.QA,BEMA.QA,BLDN.QA,CBQK.QA,DBIS.QA,DHBK.QA,DOHI.QA,DUBK.QA,ERES.QA,FALH.QA,GWCS.QA,IHGS.QA,MARK.QA,MCGS.QA,MEZA.QA,MKDM.QA,MPHC.QA,MRDS.QA,NLCS.QA,ORDS.QA,QAMC.QA,QFBQ.QA,QGMD.QA,QGRI.QA,QGTS.QA,QIGD.QA,QIMD.QA,QISI.QA,QNNS.QA,QOIS.QA,SIIS.QA,UDCD.QA,WDAM.QA,ZHCD.QA,^GNRI.QA
2024-05-30,3.238283395767212,0.7074258327484131,3.522512912750244,1.2397500276565552,3.62406325340271,1.2100000381469729,1.3031381368637085,2.277675151824951,3.393151044845581,0.7860000133514404,0.6784418821334839,3.302430391311645,4.22031831741333,2.2041587829589844,3.8012173175811768,3.4624903202056885,3.0358119010925293,1.6571571826934814,0.6449999809265137,0.6769806146621704,8.939945220947266,1.2684760093688965,1.2488704919815063,1.7389999628067017,1.062999963760376,3.838414430618286,1.414153814315796,2.3875961303710938,7.623082637786865,10.40000057220459,0.8109999895095825,0.6074454188346863,1.0908879041671753,2.569000005722046,11.923810005187988,
2024-06-30,3.4479565620422363,0.7083578705787659,3.685600996017456,1.2378499507904053,4.011688709259033,1.253999948501587,1.3849409818649292,2.3046793937683105,3.544468402862549,0.7649999856948853,0.674537181854248,3.218224287033081,4.457668304443359,2.2290430068969727,4.094869613647461,3.4137778282165527,3.022311925888061,1.5848973989486694,0.6240000128746033,0.672206461429596,9.656088829040527,1.252502679824829,1.2257789373397827,1.906999945640564,0.9210000038146972,4.497203826904297,1.4280000925064087,2.3742892742156982,7.559848308563232,11.074074745178224,0.7839999794960022,0.6404075622558594,1.0538924932479858,2.740000009536743,11.952381134033203,
2024-07-31,3.5206432342529297,0.7400475740432739,3.688445568084717,1.3489999771118164,3.9033401012420654,1.218999981880188,1.41062331199646,2.272088050842285,3.664675712585449,0.7630000114440918,0.6491566300392151,3.161118984222412,4.153625011444092,2.2300000190734863,3.950434923171997,3.4488508701324463,3.070405960083008,1.6118743419647217,0.609000027179718,0.6788903474807739,9.912193298339844,1.2214953899383545,1.2488704919815063,1.8480000495910645,0.915000021457672,4.359632968902588,1.442769169807434,2.520662784576416,7.786360740661621,11.41111183166504,0.7590000033378601,0.6404075622558594,1.044406533241272,3.2100000381469727,13.028572082519531,
2024-08-29,3.466593980789185,0.736319363117218,3.792746067047119,1.2910499572753906,3.815540790557861,1.190999984741211,1.4867188930511477,2.3465826511383057,3.727286338806152,0.734000027179718,0.8199872970581055,3.1620867252349854,4.118316173553467,2.2012875080108643,4.04608678817749,3.3319408893585205,3.106687068939209,1.6160959005355835,0.6019999980926514,0.6913031935691833,10.452858924865724,1.2257819175720217,1.29216730594635,1.7899999618530271,1.1419999599456787,4.354788780212402,1.347692370414734,2.42276382446289,7.589106559753418,11.218518257141112,0.7400000095367432,0.659243106842041,1.050098180770874,2.8559999465942383,13.171428680419922,
2024-09-30,3.494550466537476,0.808087170124054,3.911269426345825,1.2920000553131104,4.109762668609619,1.2339999675750732,1.626544713973999,2.422008752822876,3.776200771331787,0.9290000200271606,0.8287728428840637,3.361471652984619,4.269357681274414,2.363991498947144,4.466000080108643,3.356297016143799,3.0619680881500244,1.5965068340301514,0.6470000147819519,0.7877418994903564,11.116833686828612,1.2565948963165283,1.3296910524368286,1.7350000143051147,1.2940000295639038,4.281418800354004,1.391076922416687,2.4341695308685303,7.837325572967529,10.862222671508787,0.7639999985694885,0.6761950850486755,1.1079626083374023,2.73799991607666,13.095237731933594,
2024-10-31,3.4432969093322754,0.8174076676368713,3.886616468429565,1.28725004196167,3.9696569442749023,1.2020000219345093,1.7054939270019531,2.401522636413574,3.609891653060913,1.2050000429153442,0.7848449945449829,3.1649904251098637,3.9398138523101807,2.2701973915100098,4.566434860229492,3.230618476867676,3.0256869792938232,1.5494931936264038,0.621999979019165,0.7820128798484802,10.851243019104004,1.2354110479354858,1.3277667760849,1.4520000219345093,1.274999976158142,4.212522506713867,1.3661538362503052,2.4208626747131348,7.998716354370117,11.025925636291504,0.7440000176429749,0.6573595404624939,1.0851963758468628,2.5299999713897705,13.076189994812012,
2024-11-28,3.317493200302124,0.8024948835372925,3.814554214477539,1.256850004196167,3.92202091217041,1.125,1.7416393756866455,2.35123872756958,3.472930908203125,1.1699999570846558,0.7360000014305115,3.0836880207061768,3.7750418186187744,2.301781177520752,4.468869686126709,3.119553804397583,3.015562057495117,1.5005204677581787,0.6060000061988831,0.7409548759460449,11.230657577514648,1.2190415859222412,1.2863943576812744,1.4190000295639038,1.2300000190734863,4.10622501373291,1.4473845958709717,2.412308692932129,8.05062484741211,10.51555633544922,0.7239999771118164,0.6225138306617737,1.0728645324707031,2.552999973297119,12.971428871154783,
2024-12-31,3.214986562728882,0.7959704995155334,3.7491295337677,1.2511500120162964,4.063060283660889,1.14900004863739,1.8938307762146,2.3279590606689453,3.6147828102111816,1.055999994277954,0.6949999928474426,3.2617790699005127,3.712271690368652,2.3572919368743896,4.352174282073975,3.190674304962158,3.029062032699585,1.4642808437347412,0.5839999914169312,0.7447741627693176,10.95558261871338,1.1670445203781128,1.302750825881958,1.3700000047683716,1.152999997138977,4.083588123321533,1.4196922779083252,2.386645555496216,8.18747615814209,10.582962989807127,0.7020000219345093,0.6215720772743225,1.06527578830719,2.3489999771118164,13.495238304138184,
2025-01-30,3.2140543460845947,0.8500294089317322,3.840155601501465,1.3014999628067017,4.29563570022583,1.1920000314712524,1.9680238962173464,2.374518156051636,3.606956720352173,0.9860000014305116,0.7450000047683716,3.0536835193634038,3.815253973007202,2.285510778427124,4.390434741973877,3.054279088973999,2.973373889923096,1.4985616207122805,0.5920000076293945,0.7571870684623718,12.255075454711914,1.3162952661514282,1.2700378894805908,1.409000039100647,1.1790000200271606,4.24106502532959,1.5230768918991089,2.4835941791534424,8.353585243225098,10.54444408416748,0.7699999809265137,0.6498253345489502,1.0908879041671753,2.4679999351501465,14.09523868560791,
2025-02-27,3.3959999084472656,0.8658742904663086,4.0,1.19035005569458,4.223714828491211,1.0950000286102295,1.940000057220459,2.3698623180389404,3.677000045776367,1.0,0.7059999704360962,3.0190000534057617,3.572999954223633,2.2204291820526123,4.170434951782227,2.9743902683258057,2.863687038421631,1.4290000200271606,0.5740000009536743,0.718999981880188,11.79977798461914,1.258999943733215,1.2979999780654907,1.3049999475479126,1.065000057220459,4.5,1.5526154041290283,2.443674325942993,8.211071014404297,10.550000190734863,0.6800000071525574,0.6639519929885864,0.9884393215179444,2.2780001163482666,14.190475463867188,
