Rank,Name,Ticker,Return (%),Risk
89,Don Muang Tollway Public Company Limited,DMT.BK,9.09,0.21
90,Grande Royal Orchid Hospitality Real Estate Investment Trust with Buy-Back Condition,GROREIT.BK,2.15,0.052
91,Prima Marine Public Company Limited,PRM.BK,14.27,0.327
92,Patrangsit Healthcare Group Public Company Limited,PHG.BK,10.83,0.259
93,SISB Public Company Limited,SISB.BK,18.04,0.42
94,CPT Drives and Power Public Company Limited,CPT.BK,9.74,0.236
95,Kasikornbank Public Company Limited,KBANK.BK,6.48,0.163
96,WHA Premium Growth Freehold And Leasehold Real Estate Investment Trust,WHART.BK,8.63,0.216
97,Aurora Design Public Company Limited,AURA.BK,13.76,0.336
98,Thai Steel Cable Public Company Limited,TSC.BK,6.97,0.176
99,Harn Engineering Solutions Public Company Limited,HARN-R.BK,2.58,0.067
100,Thaifoods Group Public Company Limited,TFG.BK,16.25,0.402
101,Alucon Public Company Limited,ALUCON-R.BK,3.15,0.083
102,Bangkok Union Insurance Public Company Limited,BUI.BK,11.81,0.302
103,Sanofi,SANOFI80.BK,9.15,0.241
104,Crown Seal Public Company Limited,CSC.BK,2.46,0.068
105,WHA Corporation Public Company Limited,WHA-R.BK,9.42,0.258
106,Haad Thip Public Company Limited,HTC.BK,8.99,0.25
107,"Thai Nippon Rubber Industry Public Co., Ltd.",TNR.BK,11.4,0.322
108,Moshi Moshi Retail Corporation Public Company Limited,MOSHI.BK,13.79,0.388
109,Ichitan Group Public Company Limited,ICHI.BK,11.49,0.331
110,Sappe Public Company Limited,SAPPE.BK,16.23,0.468
111,Taokaenoi Food & Marketing Public Company Limited,TKN-R.BK,15.36,0.446
112,Selic Corp Public Company Limited,SELIC.BK,20.4,0.581
113,Fine Metal Technologies Public Company Limited,FMT.BK,3.52,0.11
114,Taokaenoi Food & Marketing Public Company Limited,TKN.BK,17.27,0.508
115,Lanna Resources Public Company Limited,LANNA.BK,7.9,0.242
116,Sappe Public Company Limited,SAPPE-R.BK,14.37,0.433
117,WHA Corporation Public Company Limited,WHA.BK,8.87,0.279
118,Firetrade Engineering Public Company Limited,FTE.BK,4.57,0.151
119,Amata Corporation Public Company Limited,AMATA-R.BK,5.03,0.167
120,Dusit Thani Freehold and Leasehold Real Estate Investment Trust,DREIT.BK,3.52,0.118
121,Malee Group Public Company Limited,MALEE.BK,15.97,0.514
122,Don Muang Tollway Public Company Limited,DMT-R.BK,5.73,0.193
123,Buriram Sugar Public Company Limited,BRR-R.BK,14.47,0.475
124,Ticon Freehold and Leasehold Real Estate Investment Trust,FTREIT.BK,5.94,0.204
125,Saha-Union Public Company Limited,SUC.BK,4.21,0.148
126,Tipco Asphalt Public Company Limited,TASCO-R.BK,4.45,0.157
127,Malee Group Public Company Limited,MALEE-R.BK,9.09,0.315
128,TPBI Public Company Limited,TPBI-R.BK,8.02,0.281
129,Singapore Airlines Limited,SIA19.BK,4.07,0.145
130,Thaifoods Group Public Company Limited,TFG-R.BK,8.15,0.287
131,Thaicom Public Company Limited,THCOM.BK,9.58,0.354
132,Exotic Food Public Company Limited,XO-R.BK,14.76,0.545
133,Thai President Foods Public Company Limited,TFMAMA-R.BK,1.57,0.062
134,Asefa Public Company Limited,ASEFA-R.BK,2.34,0.093
135,Bumrungrad Hospital Public Company Limited,BH.BK,7.71,0.302
136,Exotic Food Public Company Limited,XO.BK,12.64,0.488
137,Harn Engineering Solutions Public Company Limited,HARN.BK,1.63,0.068
138,Charoen Pokphand Foods Public Company Limited,CPF-R.BK,4.14,0.185
139,Mahachai Hospital Public Company Limited,M-CHAI-R.BK,18.15,0.772
140,Grand Prix International Public Company Limited,GPI-R.BK,2.15,0.098
141,Grand Prix International Public Company Limited,GPI.BK,3.32,0.153
142,Ama Marine Public Company Limited,AMA.BK,5.44,0.249
143,TPBI Public Company Limited,TPBI.BK,5.72,0.264
144,Ama Marine Public Company Limited,AMA-R.BK,3.82,0.184
145,PTT Public Company Limited,PTT-R.BK,2.68,0.131
146,Susco Public Company Limited,SUSCO.BK,5.61,0.273
147,Tipco Asphalt Public Company Limited,TASCO.BK,4.55,0.223
148,Metro Systems Corporation Public Company Limited,MSC-R.BK,3.45,0.171
149,Thai Optical Group Public Company Limited,TOG-R.BK,4.6,0.228
150,Maguro Group Public Company Limited,MAGURO-R.BK,8.48,0.439
151,Maguro Group Public Company Limited,MAGURO.BK,8.48,0.439
152,Amata Summit Growth Freehold and Leasehold Real Estate Investment Trust,AMATAR.BK,2.94,0.16
