Date,ANDR.PR,ATS.PR,CEZ.PR,COLOS.PR,CPI.PR,CTPNV.PR,CZ0003534596.PR,CZ0003539892.PR,CZ0003543092.PR,CZ0003550378.PR,CZ0003550709.PR,CZ0003550808.PR,CZ0003556177.PR,CZ0003558579.PR,CZ0003561441.PR,CZ0003561748.PR,CZ0003562910.PR,CZ0003565723.PR,CZ0003566770.PR,CZ0003567679.PR,CZ0003569089.PR,CZ0003569667.PR,CZ0003571051.PR,CZ0003706517.PR,CZ0003707275.PR,CZ0003707671.PR,CZ0003709339.PR,CZG.PR,DBK.PR,DSPW.PR,DTE.PR,EFORU.PR,EMAN.PR,ENRGA.PR,EOAN.PR,ERBAG.PR,FPXAA.PR,FTSHP.PR,GEN.PR,GEV.PR,HWIO.PR,JTINA.PR,JTINB.PR,JTINV.PR,KARIN.PR,KOFOL.PR,KOMB.PR,MMCTE.PR,MOL.PR,MONET.PR,NOKIA.PR,OMV.PR,PEN.PR,PINK.PR,PKN.PR,PKO.PR,PRIUA.PR,PVT.PR,RBI.PR,RWE.PR,SABFG.PR,SHELL.PR,SKAB.PR,TABAK.PR,TMR.PR,TOMA.PR,ULVR.PR,UQA.PR,VIG.PR,VOE.PR,VOW.PR,WIE.PR,WPS.PR
2024-04-30,1331.550537109375,526.5,821.1710815429688,130.0,,386.116943359375,,,,,,,,,,,,,,,,,,,,,,620.36767578125,379.6723937988281,,537.186279296875,161.95228576660156,65.0,3085.0,313.9495544433594,1107.3984375,,65.0,489.6096496582031,258.0,11.0,,,,145.0,252.16017150878903,787.3126220703125,320.0,83.36841583251953,92.85354614257812,84.47428131103516,1142.326904296875,44.900001525878906,180.0,390.0099182128906,357.3614501953125,920.0,1.100000023841858,451.2534484863281,822.9144897460938,1034.0103759765625,,403.52728271484375,14762.9912109375,520.0,1336.246337890625,1188.421142578125,209.0155029296875,732.65673828125,637.900390625,3014.45947265625,849.1304931640625,20.200000762939453
2024-05-31,1337.0404052734375,533.5,895.2651977539062,130.0,,402.7225036621094,,,,,,,,,,,,,,,,,,,,,,639.4852905273438,376.2000122070313,,531.193115234375,187.06788635253903,69.0,3085.0,302.70001220703125,1116.5,,,564.6759033203125,256.0,11.5,,,,164.0,277.3761901855469,778.0,340.0,190.0,97.24724578857422,86.10281372070312,1136.83740234375,45.150001525878906,178.0,367.5711364746094,327.2177734375,810.0,1.100000023841858,419.3063049316406,860.0,1024.255615234375,,389.38909912109375,14960.0,500.0,1346.0,1198.873291015625,203.4311065673828,731.0,662.4735107421875,2864.0,887.4000244140625,20.799999237060547
2024-06-28,1452.328369140625,549.0,880.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,647.1323852539062,371.75,,577.3404541015625,185.3357696533203,79.0,3000.0,308.54998779296875,1104.0,,,569.673095703125,258.0,9.5,,,,171.0,283.9136657714844,782.5,330.0,199.0,99.78582763671876,88.37077331542969,1013.5,43.0,128.5,387.5386657714844,359.8403625488281,935.0,1.7699999809265137,409.3228149414063,814.4000244140625,1014.5007934570312,830.5999755859375,416.0945434570313,15280.0,500.0,1380.0,1098.967041015625,199.3999938964844,757.0,639.2988891601562,2664.5,801.7999877929688,20.0
2024-07-31,1409.4073486328125,485.0,904.5,121.0,,404.8834533691406,,,,,,,,,,,,,,,,,,,,,,666.0,368.4500122070313,,613.29931640625,183.60366821289065,76.0,3000.0,332.0,1218.0,,,609.6500854492188,256.0,9.0,,,,168.0,298.1306457519531,812.0,334.0,195.0,105.05826568603516,89.95005798339844,980.0,43.34999847412109,150.0,378.8893737792969,344.1736145019531,890.0,1.1100000143051147,462.9341430664063,875.0,1034.0103759765625,,417.2727355957031,15360.0,515.0,1310.0,1368.713623046875,199.8000030517578,758.0,610.0,2645.0,799.4000244140625,
2024-08-30,1388.4459228515625,447.0,864.5,121.0,,429.24322509765625,,,,,,,,,,,,,,,,,,,,,,648.0,371.5499877929688,,647.85986328125,187.06788635253903,82.0,2860.0,322.5,1238.0,,,592.7877197265625,256.0,9.5,,,,159.0,292.2657775878906,767.5,320.0,180.0,106.42520141601562,96.96615600585938,978.0,40.0,168.0,371.6733703613281,335.6000061035156,945.0,1.7000000476837158,449.9556274414063,817.0999755859375,1050.0,807.7999877929688,445.1563720703125,15180.0,525.0,1320.0,1389.140380859375,195.8999938964844,785.0,546.2000122070312,2448.5,745.0,21.200000762939453
2024-09-30,1639.484130859375,519.0,880.5,110.0,,420.7999877929688,,,,,,,,,,,,,,,,,,,,,,645.0,386.6000061035156,,664.7406005859375,192.0,78.0,2860.0,339.6499938964844,1234.0,,95.0,609.7815551757812,258.0,9.0,,,,159.0,324.52252197265625,798.0,,185.0,108.57322692871094,97.94561767578124,955.5999755859376,37.900001525878906,182.0,332.0,341.79998779296875,900.0,1.7000000476837158,448.7575988769531,822.7999877929688,1050.0,750.0,445.3527526855469,15300.0,540.0,1320.0,1489.0787353515625,189.3999938964844,763.0,536.7999877929688,2417.0,763.7999877929688,
2024-10-31,1538.17041015625,428.6000061035156,902.0,95.0,,390.0,,,,,,,,,,,,,,,,,,,,,,615.0,391.8500061035156,,706.5927734375,183.0,70.0,3200.0,315.0,1291.0,,,676.757568359375,260.0,8.399999618530273,,,,146.0,332.0,804.0,328.0,185.0,113.25984191894533,109.1715087890625,968.0,32.29999923706055,145.0,303.0,326.1000061035156,885.0,1.399999976158142,424.0983581542969,754.2999877929688,1050.0,,484.6254577636719,16240.0,590.0,1340.0,1489.0787353515625,185.0,742.0,500.0,2310.0,710.0,24.799999237060547
2024-11-29,1340.034912109375,325.3999938964844,961.5,85.0,,,,,,,,,,,,,,,,,,,,,,,,618.0,400.1000061035156,,761.8296508789062,,63.0,3000.0,308.20001220703125,1293.5,,93.0,737.8621215820312,272.0,10.0,,,,144.0,380.0,815.0,,185.0,123.0,101.6134796142578,957.0,26.899999618530277,129.0,304.04998779296875,319.8999938964844,900.0,1.6699999570846558,459.240234375,798.2999877929688,1050.0,,481.0909118652344,16200.0,525.0,1380.0,1489.51806640625,185.0,741.0,462.1000061035156,2000.0,695.5999755859375,
2024-12-30,1216.76171875,297.79998779296875,957.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,669.0,413.9500122070313,,731.2645263671875,181.0,63.0,3000.0,310.0,1486.5,,100.0,639.8804321289062,272.0,9.300000190734863,,,,152.0,392.0,848.5,318.0,185.0,123.8000030517578,103.7329330444336,922.7999877929688,23.700000762939453,107.5,280.0,356.3999938964844,900.0,1.399999976158142,494.3821105957031,725.5,1060.0,738.5999755859375,499.94183349609375,16780.0,530.0,1500.0,1479.5213623046875,194.5,756.0,463.8999938964844,2268.5,655.7999877929688,
2025-01-31,1352.511962890625,321.0,1064.0,86.0,,398.2000122070313,,,,,,,,,,,,,,,,,,,,,,712.0,475.3500061035156,,802.0836791992188,210.0,65.0,3200.0,290.75,1503.0,,93.0,654.8776245117188,260.0,9.899999618530272,,,,161.0,410.0,891.0,310.0,185.0,137.1999969482422,114.97000122070312,993.5999755859376,26.0,129.0,321.0,369.7000122070313,890.0,1.350000023841858,553.6839599609375,757.7999877929688,1050.0,,495.4254760742188,17160.0,525.0,1350.0,1352.5623779296875,204.0,813.0,510.2000122070313,2508.0,714.2000122070312,
