Date,AIR.RG,BAL1R.RG,BERCM.RG,CBLB080034A.RG,CBLBFLOT26B.RG,DGR1R.RG,DGRB100028A.RG,DGRBFLOT26FA.RG,DGRBFLOT26FB.RG,EGG.RG,ELEV130028A.RG,ELEVR.RG,EWA1L.RG,FASTL120027FA.RG,GRB2G.RG,GREG100027B.RG,ICOTNFLOT27FA.RG,IDX1R.RG,K2LT.RG,KALVE.RG,LINDA.RG,MAGIC.RG,MDARA.RG,MODE.RG,MOLNR.RG,NEOFI.RG,PNKTD.RG,RKB1R.RG,ROBUS.RG,SAF1R.RG,SAUNA.RG,SCM1R.RG,STOH110025A.RG,SUMC095027FA.RG,VIRSI.RG,^OMXR
2024-04-30,,8.269672393798828,,,,1.130538821220398,,,,4.010000228881836,,,,,,,,12.0,,,,,11.970803260803224,,,,,0.1000000014901161,,6.199999809265137,,7.552499771118164,,,4.106970310211182,
2024-05-31,,8.363114356994629,,,,1.0108563899993896,,,,4.010000228881836,,,,,,,,13.100000381469728,,,,,12.545402526855469,,,,,0.1199999973177909,,5.420000076293945,,8.5,,,4.176077842712402,
2024-06-28,,8.596721649169922,,,,1.0159844160079956,,,,4.480000019073486,,,,,,,,13.5,,,,,13.119999885559082,,,,,0.1199999973177909,,4.880000114440918,,8.0,,,4.110000133514404,
2024-07-31,,8.31639289855957,,,,1.01292085647583,,,,4.0,,,,,,,,13.5,,,,,12.850000381469728,,,,,0.1199999973177909,,5.039999961853027,,6.650000095367432,,,4.050000190734863,
2024-08-30,,8.503279685974121,,,,0.9883994460105896,,,,3.799999952316284,,,,,,,,13.350000381469728,,,,,12.75,,,,,0.1330000013113021,,4.789999961853027,,7.5,,,4.039999961853027,
2024-09-30,,8.503279685974121,,,,0.992588460445404,,,,4.199999809265137,,,,,,,,12.300000190734863,,,,,12.75,,,,,0.1270000040531158,,5.519999980926514,,6.800000190734863,,,4.099999904632568,
2024-10-31,,8.503279685974121,,,,1.0406789779663086,,,,3.940000057220459,,1.6549999713897705,,,,,,12.199999809265137,,,,,11.899999618530272,,,,,0.1190000027418136,,5.28000020980835,,6.599999904632568,,,4.210000038146973,
2024-11-29,,8.456557273864746,,,,1.057991623878479,,,,3.849999904632568,,1.690000057220459,,,,,,11.949999809265137,,,,,11.600000381469728,,,,,0.123999997973442,,5.599999904632568,,5.099999904632568,,,4.099999904632568,
2024-12-27,,8.363114356994629,,,,1.0553147792816162,,,,4.920000076293945,,1.6699999570846558,,,,,,11.699999809265137,,6.659999847412109,,,10.699999809265137,,,,,0.1280000060796737,,5.199999809265137,,5.0,,,4.119999885559082,
2025-01-31,,8.550000190734863,,,,1.0729687213897705,,,,4.650000095367432,,1.690000057220459,,,,,,10.850000381469728,,7.0,,,10.75,,,,,0.125,,5.900000095367432,,5.5,,,4.150000095367432,
2025-02-28,,8.699999809265137,,,,1.139661431312561,,,,4.650000095367432,,1.690000057220459,,,,,,10.5,,7.0,,,9.899999618530272,,,,,0.125,,6.079999923706055,,5.5,,,4.119999885559082,
2025-03-31,,8.199999809265137,,,,1.1553539037704468,,,,4.539999961853027,,1.690000057220459,,,,,,10.399999618530272,,7.0,,,9.880000114440918,,,,,0.1180000007152557,,6.539999961853027,,5.25,,,4.099999904632568,
