Date,ARC1T.TL,CPA1T.TL,EEG1T.TL,EFCUPFFT.TL,EFT1T.TL,EGR1T.TL,HAE1T.TL,HPR1T.TL,INF1T.TL,LHV1T.TL,MRK1T.TL,NCN1T.TL,NHCBHFFT.TL,PKG1T.TL,PRF1T.TL,SFG1T.TL,SKN1T.TL,TAL1T.TL,TKM1T.TL,TPD1T.TL,TSM1T.TL,TVE1T.TL,^OMXT
2024-05-31,1.4576308727264404,2.100480556488037,1.1399999856948853,,17.809030532836914,2.958652973175049,4.880000114440918,6.440000057220459,38.141056060791016,3.4287030696868896,16.42066192626953,0.5170000195503235,0.2919999957084656,1.1100000143051147,0.10400000214576721,1.0850000381469727,1.0299999713897705,0.6831538081169128,9.047001838684082,0.6200000047683716,1.1080000400543213,10.239999771118164,
2024-06-28,1.4335917234420776,2.042402744293213,1.0,,17.809030532836914,3.053999900817871,4.739999771118164,6.119999885559082,37.947933197021484,3.321556329727173,16.440000534057617,0.5130000114440918,0.26980000734329224,1.0099999904632568,0.10000000149011612,1.0700000524520874,0.9700000286102295,0.6420000195503235,8.878772735595703,0.6100000143051147,1.090000033378601,10.25,
2024-07-31,1.4092936515808105,2.008524179458618,1.0,,17.761791229248047,3.0899999141693115,4.840000152587891,5.639999866485596,38.189334869384766,3.380000114440918,16.479999542236328,0.4950000047683716,0.2522999942302704,0.9100000262260437,0.09799999743700027,1.0549999475479126,0.9480000138282776,0.6039999723434448,8.944194793701172,0.5239999890327454,1.0859999656677246,10.25,
2024-08-30,1.3509780168533325,1.9339908361434937,1.0049999952316284,,17.525596618652344,2.990000009536743,4.675000190734863,5.179999828338623,38.62385177612305,3.2533717155456543,16.520000457763672,0.5920000076293945,0.25040000677108765,0.8299999833106995,0.09459999948740005,1.0049999952316284,1.0,0.5929999947547913,8.785311698913574,0.5440000295639038,1.0579999685287476,10.149999618530273,
2024-09-30,1.3020979166030884,1.870105266571045,0.9919999837875366,,17.431119918823242,2.9040000438690186,4.659999847412109,4.730000019073486,38.28589630126953,3.136484146118164,16.600000381469727,0.5690000057220459,0.33000001311302185,0.800000011920929,0.09619999676942825,0.949999988079071,0.9240000247955322,0.5830000042915344,8.990924835205078,0.5360000133514404,1.059999942779541,10.050000190734863,
2024-10-31,1.336363673210144,2.0375630855560303,1.0,,17.997983932495117,2.934000015258789,4.59499979019165,4.820000171661377,38.5755729675293,3.3118157386779785,17.360000610351562,0.6399999856948853,0.29600000381469727,0.7599999904632568,0.09880000352859497,0.9319999814033508,0.9300000071525574,0.6000000238418579,8.75727367401123,0.6439999938011169,1.0640000104904175,10.350000381469727,
2024-11-29,1.3706293106079102,1.9301189184188843,0.9700000286102295,,17.950746536254883,2.7300000190734863,4.599999904632568,4.300000190734863,42.099998474121094,3.1316137313842773,19.100000381469727,0.6819999814033508,0.2549999952316284,0.6579999923706055,0.057999998331069946,0.9940000176429749,0.8399999737739563,0.5730000138282776,8.673158645629883,0.6600000262260437,1.055999994277954,10.050000190734863,
2024-12-30,1.4249650239944458,1.899144172668457,0.9039999842643738,,17.903507232666016,2.759999990463257,4.574999809265137,4.179999828338623,43.29999923706055,3.1608355045318604,20.850000381469727,0.671999990940094,0.2513999938964844,0.7879999876022339,0.06419999897480011,1.0199999809265137,0.8999999761581421,0.5799999833106995,8.85073471069336,0.6200000047683716,1.055999994277954,10.199999809265137,
2025-01-31,1.3902097940444946,2.0908010005950928,0.9399999976158142,,18.895523071289062,2.7139999866485596,4.824999809265137,4.170000076293945,45.0,3.3994812965393066,22.549999237060547,0.7649999856948853,0.2750000059604645,0.9559999704360962,0.06499999761581421,1.1449999809265137,0.8640000224113464,0.640999972820282,9.224576950073242,0.6399999856948853,1.149999976158142,10.199999809265137,
2025-02-28,1.4100699424743652,2.056922197341919,0.949999988079071,,18.848283767700195,2.75600004196167,4.519999980926514,4.050000190734863,46.849998474121094,3.6283860206604004,25.25,0.875,0.26600000262260437,0.949999988079071,0.05939999967813492,1.409999966621399,0.800000011920929,0.656000018119812,9.280653953552246,0.699999988079071,1.1979999542236328,10.449999809265137,
2025-03-31,1.5449999570846558,2.027883291244507,0.984000027179718,,18.753807067871094,3.318000078201294,4.630000114440918,3.7699999809265137,46.599998474121094,3.5699422359466553,26.399999618530273,0.8220000267028809,0.25999999046325684,1.090000033378601,0.05700000002980232,1.3049999475479126,0.8519999980926514,0.6399999856948853,9.600000381469727,0.7099999785423279,1.1820000410079956,10.5,
2025-04-30,1.5149999856948853,2.119999885559082,1.0149999856948853,,19.149999618530273,3.380000114440918,4.650000095367432,5.800000190734863,46.0,3.5199999809265137,27.850000381469727,0.7889999747276306,0.26980000734329224,0.9800000190734863,0.052000001072883606,1.399999976158142,0.8600000143051147,0.6119999885559082,9.329999923706055,0.6859999895095825,1.2239999771118164,10.800000190734863,
