Date,480S.MC,A3M.MC,ACS.MC,ADX.MC,AEDAS.MC,AENA.MC,AI.MC,AIR.MC,ALC.MC,ALNT.MC,ALQ.MC,AMS.MC,ANA.MC,ANE.MC,APAM.MC,ARM.MC,ART.MC,ATRY.MC,ATSI.MC,BBVA.MC,BKT.MC,CABK.MC,CAF.MC,CASH.MC,CBAV.MC,CCEP.MC,CIE.MC,CLR.MC,COM.MC,COXE.MC,COXG.MC,DOM.MC,EAT.MC,EBRO.MC,EBROM.MC,ECR.MC,EDR.MC,EIDF.MC,ELZ.MC,ENC.MC,ENER.MC,ENG.MC,ENO.MC,ENRS.MC,ETC.MC,EZE.MC,FACE.MC,FAE.MC,FCC.MC,FDR.MC,FER.MC,GCO.MC,GEST.MC,GGR.MC,GIGA.MC,GRE.MC,HBX.MC,HLZ.MC,HOME.MC,IBG.MC,IDR.MC,IFLEX.MC,IMC.MC,INDXA.MC,ITX.MC,IZER.MC,LAB.MC,LDA.MC,LOG.MC,MAP.MC,MCM.MC,MEL.MC,MFEA.MC,MRL.MC,MTS.MC,MVC.MC,NAT.MC,NTH.MC,NXT.MC,NYE.MC,NZI.MC,PHM.MC,PRO.MC,PUIG.MC,RED.MC,REN.MC,REP.MC,RIO.MC,ROVI.MC,RSS.MC,SAB.MC,SAN.MC,SCAML.MC,SCYR.MC,SLR.MC,SPH.MC,SQRL.MC,TEF.MC,TLGO.MC,TRG.MC,TUB.MC,UBS.MC,VID.MC,VIS.MC,XALFA.MC,XBBAR.MC,XBBDC.MC,XBRPP.MC,XCMIG.MC,XCOP.MC,XPBR.MC,XPBRA.MC,XVALO.MC,YARP.MC,YEPSA.MC,YGOP.MC,YKTS.MC,YNUM.MC,YORE.MC,^IBEX
2022-04-29,15.962857246398926,2.641791582107544,19.986316680908203,1.1888015270233154,14.558249473571776,120.79940032958984,0.0830999985337257,101.63809204101562,2.395357131958008,13.486506462097168,5.239497661590576,58.1183967590332,170.1038055419922,33.792903900146484,30.015602111816406,9.5,2.710827112197876,8.15999984741211,,4.142104625701904,4.614514350891113,2.478491306304932,26.98411750793457,0.6166912317276001,20.66995048522949,44.15225601196289,19.00251579284668,1.5199999809265137,2.0919501781463623,,,3.664995670318604,3.7649662494659424,15.146636962890623,,2.9738705158233643,7.75,12.125,0.2820000052452087,2.682607650756836,5.158276081085205,15.207271575927734,7.395134925842285,5.659999847412109,,0.1508000046014785,2.5999999046325684,3.4075701236724854,9.069280624389648,23.222068786621094,22.82101249694824,24.86509704589844,2.776879072189331,,9.0,34.34000015258789,,12.800000190734863,7.679229259490967,14.19933795928955,9.28080940246582,,,,18.954057693481445,8.279999732971191,,1.263529896736145,14.259443283081056,1.3997104167938232,11.138445854187012,7.864826202392578,,8.391562461853027,26.608327865600582,5.147719860076904,0.5400000214576721,1.3556313514709473,0.4269999861717224,0.0309999994933605,,69.80368041992188,16.791101455688477,,16.05363655090332,1.840000033378601,11.958889961242676,2.819205045700073,61.38118743896485,,0.6236252784729004,2.534121036529541,,2.1803581714630127,21.31999969482422,9.18000030517578,3.5899999141693115,3.702646970748901,3.761265754699707,0.3400000035762787,1.945392370223999,0.0138999996706843,57.46784210205078,47.98933029174805,0.5653807520866394,,0.9331747889518738,0.7445106506347656,0.6491634845733643,0.5866923332214355,0.0014742742059752,0.0144781470298767,3.441744327545166,2.7216718196868896,,13.056565284729004,,1.917857050895691,0.8838167190551758,8584.2001953125
2022-05-31,15.865522384643556,2.8212883472442627,21.45745086669922,1.2398903369903564,14.59103775024414,125.9840850830078,0.0834999978542327,107.44597625732422,2.472008466720581,12.962676048278809,5.284665584564209,55.65510177612305,162.84603881835938,34.748046875,32.1837043762207,8.75,3.035362720489502,7.579999923706055,,4.158480644226074,4.848846435546875,2.703224897384644,27.260406494140625,0.6342108845710754,21.37298583984375,45.75843048095703,21.536182403564453,2.200000047683716,1.94599997997284,,,3.803821086883545,4.035650253295898,14.70114517211914,,3.046403646469116,7.039999961853027,15.100000381469728,0.2960000038146972,2.708054304122925,5.668219566345215,15.754349708557127,8.509241104125977,6.619999885559082,,0.1674000024795532,3.069999933242798,3.441903591156006,9.35217571258545,21.906269073486328,22.55357551574707,26.696514129638672,3.2471137046813965,,8.899999618530273,39.119998931884766,,11.399999618530272,8.477126121520996,14.291640281677246,9.637214660644531,,,,21.113496780395508,8.15999984741211,,1.2072293758392334,14.675238609313965,1.4536703824996948,11.085406303405762,7.346103191375732,,8.699761390686035,28.782508850097656,5.18186092376709,0.5699999928474426,1.3556313514709473,0.4099999964237213,0.0289999991655349,,69.15327453613281,16.172481536865234,,16.183679580688477,1.8799999952316284,12.55327606201172,2.762058973312378,58.74518966674805,,0.6982254981994629,2.7122695446014404,,2.2327141761779785,21.68000030517578,9.300000190734863,3.5,4.043900489807129,3.722389698028565,0.3549999892711639,2.2696244716644287,0.0142000000923872,62.51626586914063,46.143699645996094,0.5311147570610046,1.293196439743042,1.0339937210083008,0.6944594979286194,0.6845723390579224,0.5601964592933655,0.0031223411206156,0.0347046144306659,3.5433382987976074,2.7216718196868896,,13.056565284729004,,1.917857050895691,0.9004926085472107,8851.5
2022-06-30,16.0,2.548832654953003,18.799654006958008,1.116097927093506,13.96804904937744,107.46092987060548,0.0778999999165535,89.43183135986328,2.445817470550537,12.407133102416992,5.420170307159424,51.151885986328125,159.2171630859375,35.130104064941406,21.8109188079834,8.300000190734863,3.025817632675171,6.559999942779541,,3.545639038085937,4.938620567321777,2.6622912883758545,25.87896728515625,0.5448606610298157,18.180339813232425,45.09526443481445,21.42759895324707,1.9299999475479128,1.7319399118423462,,,3.845469236373901,3.617320537567138,14.512272834777832,,3.4955697059631348,5.179999828338623,16.350000381469727,0.2709999978542328,2.47441840171814,5.923191070556641,15.57692050933838,7.3657073974609375,6.099999904632568,,0.0610000006854534,2.3499999046325684,3.359980583190918,8.171743392944336,17.194286346435547,22.72265815734864,27.29282760620117,2.9425301551818848,,7.760000228881836,33.880001068115234,,9.899999618530272,9.084805488586426,12.713698387145996,8.672541618347168,,,,20.35910987854004,8.079999923706055,4.75,1.1791508197784424,15.21333122253418,1.414973258972168,11.492047309875488,5.982603073120117,,7.6050615310668945,20.670026779174805,4.983124732971191,0.5699999928474426,1.2988309860229492,0.3729999959468841,0.0270000007003545,,64.37089538574219,16.084108352661133,,15.728438377380373,1.7050000429153442,11.762157440185549,2.857302188873291,54.97947311401367,,0.6375393867492676,2.418504238128662,,1.9866368770599363,20.25,8.9399995803833,3.200000047683716,4.002737045288086,3.114950180053711,0.3774999976158142,2.1944403648376465,0.0110999997705221,58.2251091003418,48.35417556762695,0.5396817922592163,,0.8849567174911499,0.6081213355064392,0.6078530550003052,0.4882794320583343,0.0026448615826666,0.0297140292823314,2.9545094966888428,2.7216718196868896,,13.395696640014648,,1.940000057220459,0.9171684384346008,8098.7001953125
2022-07-29,13.5,2.3213412761688232,20.34791755676269,1.0512542724609375,11.731685638427734,109.0119171142578,0.0763000026345253,101.38641357421876,2.407300472259521,12.129361152648926,5.691178321838379,54.53891754150391,186.2388610839844,40.822750091552734,25.78330039978028,7.75,3.0305216312408447,6.400000095367432,,3.6164612770080566,3.9860780239105225,2.350874423980713,27.228763580322266,0.6279093623161316,18.09165382385254,48.8624153137207,23.506669998168945,1.9800000190734863,1.7319399118423462,,,3.711686134338379,3.858475208282471,14.656492233276367,,3.393305778503418,5.150000095367432,16.75,0.2430000007152557,2.4455933570861816,5.883964538574219,14.963824272155762,7.769308567047119,6.059999942779541,,0.0700000002980232,2.470000028610229,3.6111128330230713,8.839405059814453,16.52143096923828,24.498008728027344,26.810527801513672,3.3837740421295166,,10.25,38.63999938964844,,9.100000381469728,8.446126937866211,12.623529434204102,8.595866203308105,,,,22.33938407897949,7.940000057220459,4.449999809265137,1.0151194334030151,16.41996192932129,1.3249599933624268,11.238036155700684,6.066586971282959,,8.650190353393555,22.93575859069824,5.005207061767578,0.5450000166893005,1.3026176691055298,0.4000000059604645,0.0209999997168779,,58.05426406860352,15.465486526489258,,16.7799129486084,1.7599999904632568,10.398740768432615,3.42768669128418,48.803340911865234,,0.5235434174537659,2.195368528366089,,1.931211948394776,22.46999931335449,8.920000076293945,3.150000095367432,3.5869860649108887,2.818519830703736,0.367000013589859,1.926596403121948,0.0102000003680586,54.69121551513672,52.40671920776367,0.6167787313461304,,0.84693843126297,0.54555743932724,0.6255574822425842,0.4882794320583343,0.0033751239534467,0.0377448610961437,2.743028402328491,2.7815942764282227,,13.23625946044922,,1.940000057220459,0.8754789233207703,8156.2001953125
2022-08-31,12.100000381469728,2.1124203205108643,19.34782218933105,1.079746127128601,12.264305114746094,108.4358367919922,0.0732999965548515,94.95902252197266,2.696176528930664,11.99047565460205,7.226892948150635,50.63228225708008,181.1326141357422,39.58106231689453,22.868558883666992,7.800000190734863,3.0111570358276367,5.820000171661377,,3.6774590015411377,4.234999656677246,2.4110710620880127,27.134546279907227,0.6005321741104126,17.692575454711914,46.05317306518555,22.403932571411133,1.7699999809265137,1.5713950395584106,,,3.6454906463623047,4.424450397491455,14.205801963806152,,2.8447985649108887,5.409999847412109,20.0,0.209999993443489,2.783366203308105,5.746672630310059,14.117840766906738,7.500240325927734,5.880000114440918,,0.0753000006079673,2.3499999046325684,3.4249279499053955,8.181249618530273,14.502849578857422,23.46473503112793,26.94896507263184,3.311586856842041,,10.199999809265137,36.0,,10.800000190734863,8.189209938049316,12.172689437866213,7.572090148925781,,,,20.321388244628903,8.260000228881836,4.480000019073486,1.0038715600967407,16.10454559326172,1.3905770778656006,11.505605697631836,5.982603073120117,,8.118027687072754,22.79655647277832,5.027288436889648,0.6399999856948853,1.287471055984497,0.3840000033378601,0.0219999998807907,,56.04573822021485,15.793572425842283,,15.911684036254885,1.5499999523162842,11.136301040649414,3.525620460510254,46.946903228759766,,0.5758475065231323,2.1746745109558105,,1.924283623695373,21.18000030517578,9.0,3.0299999713897705,3.388577938079834,2.57068419456482,0.335999995470047,2.0863630771636963,0.0153000000864267,53.17669296264648,51.485687255859375,0.5739467144012451,1.5610178709030151,1.0421332120895386,0.588100790977478,0.7140798568725586,0.4996348023414612,0.0383823737502098,0.0382037572562694,3.557750940322876,2.724438190460205,,13.494108200073242,,1.940000057220459,0.8754789233207703,7886.10009765625
2022-09-30,11.100000381469728,2.0396852493286133,20.14926147460937,0.8203712105751038,10.203902244567873,94.74288177490234,0.0599999986588954,86.16973876953125,2.63840126991272,10.647912979125977,7.136557102203369,46.1002082824707,167.67068481445312,36.63922500610352,20.46001625061035,7.150000095367432,3.166071891784668,6.0,,3.783079147338867,4.836552619934082,2.657475471496582,21.81127548217773,0.5607910752296448,16.761384963989258,40.71100616455078,19.5551986694336,1.4700000286102295,1.6249099969863892,,,3.1726644039154053,3.700986385345459,13.620477676391602,,2.528710126876831,4.110000133514404,19.200000762939453,0.2090000063180923,2.41792106628418,4.471813201904297,12.29393196105957,6.79394006729126,5.5,,0.0745000019669532,2.059999942779541,3.212764501571656,7.577939510345459,14.11186408996582,21.9711856842041,23.67263603210449,2.759354829788208,,10.0,31.100000381469727,,9.399999618530272,7.490718841552734,11.271008491516112,7.58657693862915,,,,20.066781997680664,8.140000343322754,3.900000095367432,0.9203929901123048,15.529979705810549,1.3375788927078247,10.417481422424316,4.707038879394531,,7.036513805389404,19.80597496032715,4.578291893005371,0.6000000238418579,1.3355776071548462,0.3540000021457672,0.0228000003844499,,52.492183685302734,15.973044395446776,,13.708393096923828,1.3450000286102295,10.124300956726074,3.349339723587036,42.29623031616211,,0.5770209431648254,2.1571297645568848,,1.938140034675598,16.165000915527344,8.260000228881836,2.950000047683716,2.779358386993408,2.420039176940918,0.2419999986886978,1.842014193534851,0.0121999997645616,50.315914154052734,51.485687255859375,0.5696637630462646,,1.0364233255386353,0.5580702424049377,0.672151505947113,0.4693538546562195,0.0333529636263847,0.0328116305172443,3.7578744888305664,2.724438190460205,,13.408159255981444,,2.0199999809265137,0.8671410083770752,7366.7998046875
2022-10-31,11.600000381469728,2.259438753128052,22.605852127075195,0.724579393863678,9.320873260498049,105.59976196289062,0.0597999989986419,105.87784576416016,2.63840126991272,11.944178581237791,7.136557102203369,50.74775314331055,169.0633087158203,37.97642517089844,22.390209197998047,7.550000190734863,3.4371728897094727,5.820000171661377,,4.374287128448486,5.130134582519531,2.691185712814331,24.873334884643555,0.5413241386413574,15.07637882232666,44.19262313842773,23.65370178222656,1.4700000286102295,1.4546350240707395,,,3.508371114730835,3.8092598915100098,14.405571937561035,,3.0167882442474365,4.199999809265137,18.799999237060547,0.2450000047683715,2.72823429107666,5.197502613067627,12.747968673706056,6.79394006729126,5.300000190734863,,0.0460000000894069,2.180000066757202,3.3036913871765137,7.696772575378418,12.484271049499512,23.21111297607422,25.55649948120117,3.2087204456329346,,10.100000381469728,31.200000762939453,,8.260000228881836,6.479110240936279,12.082521438598633,8.740740776062012,,,,21.78529930114746,8.100000381469727,3.660000085830689,0.9074769020080566,17.43687629699707,1.4595593214035034,9.647257804870604,4.64380407333374,,7.628452777862549,21.75969314575196,5.270188331604004,0.5799999833106995,1.259373426437378,0.3650000095367431,0.0219999998807907,,58.537086486816406,16.601198196411133,,14.266850471496582,1.2000000476837158,11.78809928894043,3.5647943019866943,44.03783798217773,,0.6668766736984253,2.4120264053344727,,2.149446964263916,16.0,7.5,2.880000114440918,2.8690948486328125,2.726188898086548,0.2220000028610229,2.0863630771636963,0.0137999998405575,65.04048156738281,55.49217987060547,0.5353987216949463,,1.0306849479675293,0.6106238961219788,0.7113060355186462,0.4920645654201507,0.0344117879867553,0.0355650559067726,3.657812356948853,2.724438190460205,,13.769387245178224,,2.0199999809265137,0.8671410083770752,7956.5
2022-11-30,10.899999618530272,2.5921642780303955,23.57280731201172,0.8645828366279602,10.52627944946289,109.27780151367188,0.060199998319149,106.14888763427734,2.63840126991272,12.710671424865724,7.226892948150635,49.32365798950195,173.05545043945312,36.161659240722656,25.12518882751465,7.050000190734863,3.8631887435913086,6.679999828338623,,4.712708950042725,5.277764320373535,2.8589329719543457,26.333702087402344,0.5439951419830322,16.894411087036133,47.28610610961914,22.33041763305664,1.950000047683716,1.333009958267212,,,3.4185338020324707,4.271883487701416,13.821316719055176,,3.105107069015503,4.195000171661377,21.57999992370605,0.2529999911785126,2.532409429550171,4.618912220001221,13.372754096984863,7.264807224273682,5.300000190734863,,0.099600002169609,2.289999961853028,3.191115379333496,8.007569313049316,13.412853240966797,24.46235466003418,27.972749710083008,3.2628602981567383,,10.300000190734863,32.65999984741211,,7.199999809265137,7.057172775268555,11.902185440063477,9.460283279418944,,,,23.6086540222168,7.960000038146973,3.1600000858306885,0.9577062726020812,18.81917190551757,1.5801210403442385,9.899235725402832,5.14276647567749,,8.075140953063965,24.82707405090332,5.299630641937256,0.5799999833106995,1.3315668106079102,0.492000013589859,0.0209999997168779,,66.28152465820312,17.229352951049805,,14.655153274536133,1.5,12.692896842956545,3.682314872741699,34.85132598876953,,0.745500385761261,2.622227907180786,,2.3035976886749268,17.079999923706055,6.619999885559082,2.450000047683716,2.9514217376708984,3.0371978282928467,0.2790000140666961,1.9031014442443848,0.0116999996826052,66.97570037841797,54.84745407104492,0.5353987216949463,,0.7934346199035645,0.8709821105003357,0.6786773204803467,0.7866802215576172,0.1703860312700271,0.1268341541290283,4.213710784912109,2.724438190460205,,13.769387245178224,,2.0199999809265137,0.8671410083770752,8363.2001953125
2022-12-30,9.399999618530272,2.608062028884888,23.32017707824707,0.7363691329956055,9.657264709472656,103.96014404296876,0.0535000003874301,107.6202163696289,2.661715507507324,11.430118560791016,6.775212287902832,46.71603012084961,159.59352111816406,34.51881408691406,25.048377990722656,7.5,3.77604913711548,6.199999809265137,,4.731184005737305,5.327963352203369,2.947221279144287,24.9675521850586,0.5324206948280334,15.932561874389648,48.60484313964844,22.1098690032959,2.4100000858306885,1.2794950008392334,,,3.390164375305176,4.0061211585998535,13.383124351501465,,3.0121397972106934,3.950000047683716,28.0,0.2269999980926513,2.2735049724578857,4.481619834899902,12.571260452270508,7.173595428466797,4.099999904632568,,0.0894000008702278,2.5,3.03956937789917,8.06241512298584,13.619205474853516,23.382568359375,27.461620330810547,3.2610559463500977,,10.199999809265137,27.71999931335449,,6.599999904632568,6.567425727844238,12.082521438598633,10.286066055297852,,,,23.599159240722656,8.239999771118164,3.359999895095825,0.993929088115692,19.6518783569336,1.57316792011261,10.73144817352295,4.523262977600098,,7.988654136657715,23.60780143737793,5.451977729797363,0.5799999833106995,1.2673949003219604,0.4239999949932098,0.0186000000685453,,62.09064483642578,18.07877349853516,,14.188318252563477,1.3350000381469729,12.735777854919434,3.995703220367432,34.5068359375,,0.7548714876174927,2.578071594238281,,2.2516372203826904,17.1200008392334,5.960000038146973,2.359999895095825,2.912980318069458,3.20728087425232,0.2460000067949295,1.877726674079895,0.0103000001981854,71.03125762939453,56.714500427246094,0.586796760559082,,0.7210589051246643,0.9831843376159668,0.6591000556945801,0.7132567167282104,0.1578890830278396,0.1141507253050804,4.378431797027588,2.724438190460205,,13.769387245178224,,2.0199999809265137,0.8911198377609253,8229.099609375
2023-01-31,11.0,2.7927181720733643,24.058988571166992,1.267399787902832,10.8626708984375,121.86293029785156,0.1089999973773956,111.20174407958984,2.661715507507324,11.287835121154783,6.594540119171143,55.520389556884766,166.1852264404297,35.83690643310547,30.911489486694336,7.5,3.679227352142334,6.179999828338623,,5.427341461181641,5.62717342376709,3.264256477355957,27.841175079345703,0.6578174829483032,17.025081634521484,48.36935424804688,25.45674514770508,3.150000095367432,1.4254449605941772,,,3.730599164962769,4.291569709777832,14.405571937561035,,3.4118990898132324,5.300000190734863,28.059999465942383,0.2300000041723251,2.443410634994507,5.04059648513794,13.332420349121094,7.714998245239258,5.5,6.934193134307861,0.0894000008702278,3.299999952316284,3.010193586349488,8.153825759887695,15.157461166381836,25.838363647460938,26.43935775756836,3.717164516448975,,10.0,33.13999938964844,,6.800000190734863,7.418460369110107,13.70554542541504,10.81727123260498,,,,27.17939186096192,8.119999885559082,3.0799999237060547,0.9221774339675904,20.71774101257324,1.603588342666626,11.226746559143066,6.027065277099609,,8.161628723144531,27.23681831359864,5.837125778198242,0.5799999833106995,1.471942901611328,0.5080000162124634,0.0182000007480382,,58.44052505493164,18.809226989746094,,14.400108337402344,1.5099999904632568,13.247143745422363,4.387439250946045,37.14795684814453,,1.0262926816940308,2.9464991092681885,,2.495692729949951,18.78499984741211,6.900000095367432,2.539999961853028,3.0007569789886475,3.620339870452881,0.301499992609024,2.2743237018585205,0.0098999999463558,81.80964660644531,55.72529220581055,0.548247754573822,,0.9521749019622804,1.11973774433136,0.685202956199646,0.744723916053772,0.1602934896945953,0.1212534606456756,4.774616241455078,2.724438190460205,,13.958892822265623,,2.0199999809265137,0.8911198377609253,9034.0
