Date,27FGMF.JO,4SI.JO,ABAM1.JO,ABG.JO,ABSP.JO,ACL.JO,ACT.JO,ADETNC.JO,ADETNQ.JO,ADH.JO,ADW.JO,AEG.JO,AEL.JO,AFE.JO,AFH.JO,AFT.JO,ALEGRO.JO,ALETNC.JO,ALETNQ.JO,AMC001.JO,AMC007.JO,AMC009.JO,AMC012.JO,AMC016.JO,AMC018.JO,AME.JO,AMETNC.JO,AMETNQ.JO,AMS.JO,ANCOMP.JO,ANH.JO,APACXJ.JO,APETNC.JO,APETNQ.JO,APF.JO,APH.JO,AQUA.JO,ARI.JO,ARL.JO,ART.JO,ASETNC.JO,ASETNQ.JO,ASIETF.JO,ATT.JO,AVI.JO,BAMGCF.JO,BAT.JO,BBETNC.JO,BBETNQ.JO,BCETNC.JO,BCF.JO,BEL.JO,BHETNC.JO,BHETNQ.JO,BHG.JO,BID.JO,BIK.JO,BKETNC.JO,BLU.JO,BOX.JO,BRETNC.JO,BRN.JO,BRNDZ.JO,BTI.JO,BTN.JO,BVT.JO,BWN.JO,BYI.JO,CAA.JO,CAT.JO,CCMGCZ.JO,CGR.JO,CKS.JO,CLH.JO,CLI.JO,CLS.JO,CML.JO,COETNC.JO,COETNQ.JO,COGCAP.JO,COGES.JO,COGMAN.JO,COH.JO,COOPTI.JO,COUSDI.JO,CPI.JO,CPP.JO,CSGOVI.JO,CSP500.JO,CSPROP.JO,CSYSB.JO,CTA.JO,CTOP50.JO,DCCUS2.JO,DCCUSD.JO,DCP.JO,DNKGLO.JO,DNKOPP.JO,EASYAI.JO,EASYBF.JO,EASYGE.JO,EGETNC.JO,EGETNQ.JO,EMI.JO,ENX.JO,EPE.JO,ETF500.JO,ETF5IT.JO,ETFBND.JO,ETFEMA.JO,ETFGLD.JO,ETFGRE.JO,ETFPLD.JO,ETFRHO.JO,ETFSAB.JO,ETFSAP.JO,ETFSRI.JO,ETFT40.JO,ETFUSD.JO,ETFWLD.JO,EXX.JO,FAETNC.JO,FAETNQ.JO,FBR.JO,FDETNC.JO,FDETNQ.JO,FFB.JO,FNB500.JO,FNBEMG.JO,FNBEQF.JO,FNBGEG.JO,FNBGSE.JO,FNBINF.JO,FNBLSP.JO,FNBMID.JO,FNBT40.JO,FNBWDM.JO,FSR.JO,FTA.JO,FTB.JO,FTH.JO,GFI.JO,GIMLPC.JO,GLD.JO,GLOBAL.JO,GLODIV.JO,GLPROP.JO,GND.JO,GNDP.JO,GRSP.JO,GRT.JO,GSETNC.JO,GSETNQ.JO,HAR.JO,HCI.JO,HIL.JO,IMP.JO,INCOME.JO,INL.JO,INP.JO,INPR.JO,IOC.JO,ISA.JO,ISB.JO,ISGLOB.JO,IVT.JO,J203.L,JBL.JO,JPETNC.JO,JPETNQ.JO,JSE.JO,KAL.JO,KAP.JO,KIO.JO,KP2.JO,KRO.JO,KST.JO,LBR.JO,LHC.JO,LLETNC.JO,LLETNQ.JO,LSK.JO,LTE.JO,LVETNC.JO,LVETNQ.JO,MCETNC.JO,MCETNQ.JO,MDI.JO,MHB.JO,MRF.JO,MRP.JO,MSETNC.JO,MSETNQ.JO,MSP.JO,MTA.JO,MTH.JO,MTM.JO,MTN.JO,MWETNC.JO,MWETNQ.JO,NED.JO,NEWGBP.JO,NEWSLV.JO,NFETNC.JO,NFETNQ.JO,NGPLD.JO,NNETNC.JO,NNETNQ.JO,NPH.JO,NPK.JO,NRP.JO,NTCP.JO,NTU.JO,NVETNC.JO,NVETNQ.JO,NVS.JO,OAO.JO,OCE.JO,OCT.JO,OMU.JO,PAETNC.JO,PAETNQ.JO,PAN.JO,PBG.JO,PCWGE.JO,PIK.JO,PIPETF.JO,PMR.JO,PMV.JO,PMXINC.JO,PPC.JO,PPETNC.JO,PPETNQ.JO,PTETNC.JO,PTETNQ.JO,PWR.JO,QLT.JO,RBX.JO,RCL.JO,RDF.JO,REM.JO,REN.JO,RES.JO,RFG.JO,RHB.JO,RLO.JO,RNG.JO,RNI.JO,RWAGP.JO,RWDVF.JO,RWESG.JO,RWINC.JO,S32.JO,SAC.JO,SAP.JO,SBCOP.JO,SBK.JO,SBOIL.JO,SBPP.JO,SCD.JO,SEA.JO,SHC.JO,SHG.JO,SHP.JO,SLM.JO,SOL.JO,SPG.JO,SPP.JO,SRE.JO,SRETNC.JO,SRETNQ.JO,SRI.JO,SSS.JO,SSW.JO,STX40.JO,STX500.JO,STXACW.JO,STXCAP.JO,STXCTY.JO,STXDIV.JO,STXEME.JO,STXEMG.JO,STXESG.JO,STXFIN.JO,STXGBD.JO,STXGLB.JO,STXGOV.JO,STXGVI.JO,STXHLT.JO,STXID.JO,STXIFR.JO,STXILB.JO,STXIND.JO,STXJGE.JO,STXLVL.JO,STXMAG.JO,STXMAP.JO,STXMMT.JO,STXNAM.JO,STXNDA.JO,STXNDQ.JO,STXPRO.JO,STXQUA.JO,STXRAF.JO,STXSWX.JO,STXTRA.JO,STXVEQ.JO,STXWDM.JO,STXWIS.JO,SUI.JO,SUR.JO,SYFANG.JO,SYG.JO,SYG4IR.JO,SYG500.JO,SYGCN.JO,SYGEMF.JO,SYGESG.JO,SYGEU.JO,SYGH.JO,SYGJP.JO,SYGP.JO,SYGT40.JO,SYGUK.JO,SYGUS.JO,SYGWD.JO,TBS.JO,TEX.JO,TFG.JO,TGA.JO,TKG.JO,TMT.JO,TPC.JO,TRL.JO,TSETNC.JO,TSETNQ.JO,UA8GRO.JO,UABSPA.JO,UBDATA.JO,UBROBO.JO,UBSSXF.JO,UCIGEP.JO,UEFPCA.JO,UEFPCL.JO,UMMIES.JO,UNPWGP.JO,UOMWPA.JO,UPCHPA.JO,UUGSMC.JO,VKE.JO,VOD.JO,VSETNC.JO,VSETNQ.JO,VUN.JO,WBC.JO,WBO.JO,WDETNQ.JO,WEZ.JO,WHL.JO,WNXT40.JO,WWETNC.JO,WWETNQ.JO,XII.JO,YRK.JO,YYLBEE.JO,ZZD.JO
2022-04-29,,22.980653762817383,,17142.7734375,88757.8359375,813.0,489.4881591796875,,,1778.200927734375,25.0,1490.0,865.795654296875,10169.830078125,470.7664184570313,6518.5791015625,,,,,,,,,,3237.295166015625,,,175139.21875,,92419.8203125,,,,103.76439666748048,1724.866455078125,,26106.13671875,15264.9228515625,1367.5523681640625,,,,680.4078369140625,6864.01806640625,,425.0,,,,1095.473388671875,1338.7471923828125,,,47306.3515625,33025.7578125,0.3100000023841858,,563.0,,,698.4109497070312,,66252.1640625,1216.000732421875,21782.607421875,280.6351013183594,9230.662109375,,1027.4490966796875,,362.9387817382813,4022.486083984375,451.6468200683594,1049.9940185546875,31060.765625,4169.1279296875,,,,,,1049.502685546875,,,222178.484375,,,6668.55322265625,1099.1748046875,,174.67543029785156,2955.64599609375,,,3843.270263671875,,,,,,,,1084.427978515625,798.8740844726562,600.0,33920.33984375,1425.2239990234375,10373.2275390625,,29402.0,2178.979736328125,34946.0,277384.0,,3307.4697265625,,6532.130859375,,6192.4130859375,22576.091796875,,,6371.3134765625,,,1243.4449462890625,,,6374.30810546875,,,2264.89990234375,,817.3990478515625,6594.7080078125,,6837.42919921875,1426.1788330078125,340.8037109375,480.7741088867188,21742.2734375,,28227.419921875,1046.5489501953125,1614.8253173828125,4467.17626953125,683.7496948242188,8325.400390625,,1407.7171630859375,,,6577.60400390625,14614.3203125,26.369020462036133,20601.228515625,,8996.1162109375,8738.3779296875,9674.6630859375,337.498291015625,103.70740509033205,114.89639282226562,,3187.70166015625,,298.0,,,11075.0234375,4638.36328125,509.65765380859375,53238.56640625,31.0,49799.1640625,1350.893798828125,561.2677612304688,2141.83837890625,,,7523.0,874.396240234375,,,,,1323.63427734375,533.3768310546875,170.85479736328125,21479.841796875,,,2125.91259765625,2824.0,11353.3525390625,1679.9501953125,16852.740234375,,,22116.591796875,1988.60400390625,345.3089904785156,,,35412.05859375,,,18881.93359375,53175.1875,9578.6806640625,8574.6904296875,,,,216.5817108154297,36.92300033569336,5564.63720703125,787.9064331054688,1266.2642822265625,,,430.5007629394531,748.5421142578125,,5754.9970703125,,,119.76864624023438,,385.5478820800781,,,,,,3047.3876953125,4225.55322265625,1111.287109375,436.577392578125,13952.26171875,4180.0,5388.42529296875,1198.3739013671875,399.586669921875,4396.78662109375,125.0,32100.0,,,,,5395.06494140625,224.31561279296875,5821.529296875,,16764.078125,,9075.3369140625,199396.3125,817.6690673828125,,1344.418212890625,22883.609375,6571.48046875,39228.9375,2686.02392578125,16542.234375,2399.895263671875,,,,1498.180419921875,5574.408203125,6591.328125,6669.9599609375,,3726.869384765625,,337.7456970214844,4366.39990234375,4946.66015625,5408.68994140625,1655.487060546875,3631.55126953125,,842.8236694335938,7764.419921875,,3342.15771484375,5264.67041015625,704.4710083007812,7965.10595703125,,1005.8599243164062,2691.6318359375,4600.16357421875,1268.3475341796875,1635.497802734375,5967.9501953125,11454.900390625,980.5718383789062,824.7045288085938,2136.135986328125,1268.4703369140625,2897.91796875,1236.853271484375,6125.39013671875,,2860.321533203125,2330.149169921875,,1569.923828125,3833.865966796875,6561.20458984375,2928.971923828125,1467.017822265625,3691.2568359375,6407.5341796875,2518.8359375,1432.602783203125,4630.61962890625,6644.92333984375,15020.3857421875,6199.998046875,4450.30712890625,15477.4775390625,344.0360107421875,13878.5078125,27015.6875,4726.0,344.8017578125,2479.400146484375,280.0,,,,,,,,,15379.0,,,,,,,1341.718994140625,15180.5732421875,,,279.4627990722656,,7453.6826171875,,159.0,5934.30712890625,,,,,294.77520751953125,4441.734375,
2022-05-31,,20.982336044311523,,18323.931640625,84021.703125,757.0,454.6824645996094,,,1911.0667724609373,23.0,1450.0,914.7276000976562,10331.62109375,423.8892822265625,6511.5859375,,,,,,,,,,3829.520263671875,,,171019.96875,,87866.3671875,,,,104.75260162353516,1399.8916015625,,25976.544921875,19200.77734375,1351.5809326171875,,,,678.4125366210938,6587.54052734375,,405.0,,,,1004.6000366210938,1338.7471923828125,,,49772.76953125,33485.41796875,0.2899999916553497,,563.0,,,668.47900390625,,68835.5859375,1227.9615478515625,21792.59765625,295.6156005859375,9222.6650390625,,973.5303955078124,,384.9350891113281,4047.470458984375,448.649169921875,1156.6885986328125,30426.19921875,3726.494384765625,,,,,,1028.5125732421875,,,225198.46875,,,6405.8759765625,1098.3260498046875,,174.67543029785156,2951.89013671875,,,3532.410400390625,,,,,,,,1034.5921630859375,801.8292236328125,560.0,32833.08203125,1359.8360595703125,10478.6943359375,,28270.0,2059.383056640625,32017.0,230502.0,,3307.448974609375,,6531.03857421875,,6029.72314453125,22066.62890625,,,6125.6474609375,,,1238.451416015625,,,6294.0009765625,,,2309.013916015625,,807.6012573242188,6594.77783203125,,7228.76611328125,1446.1253662109375,318.88067626953125,497.69580078125,15289.0166015625,,26811.763671875,1035.002685546875,1574.9442138671875,4128.271484375,834.4740600585938,8589.62109375,,1435.63232421875,,,5413.0283203125,16848.064453125,24.550466537475582,21382.482421875,,9633.0205078125,9547.4189453125,9649.728515625,351.6893005371094,109.69050598144533,113.89730072021484,,3046.847412109375,,305.0,,,11215.7060546875,4497.53369140625,468.6851806640625,58787.75,28.0,40499.3203125,1234.1885986328125,537.2990112304688,1832.306640625,,,6828.0,758.6224365234375,,,,,1378.5775146484375,597.1826782226562,161.9147186279297,20721.8359375,,,2084.91455078125,2759.0,11431.205078125,1579.1331787109375,16863.728515625,,,23683.880859375,1973.199951171875,323.5190124511719,,,30728.283203125,,,18786.005859375,53536.921875,9787.974609375,8178.68212890625,,,,209.5951995849609,27.69230079650879,5632.51123046875,811.3052368164062,1273.249267578125,,,390.5470581054688,870.3978881835938,,5499.0869140625,,,124.75900268554688,,374.5607604980469,,,,,,2356.5478515625,3944.915283203125,1008.3531494140624,436.577392578125,14748.7802734375,3600.0,5435.9208984375,1217.34814453125,349.6383361816406,4087.29443359375,127.0,31748.0,,,,,5489.978515625,215.34298706054688,5678.76171875,,17833.787109375,,8925.7431640625,199396.3125,797.7259521484375,,1298.472412109375,21546.685546875,6735.193359375,41459.14453125,2977.809326171875,15326.583984375,2283.900390625,,,,1473.2442626953125,5104.794921875,6590.72021484375,6581.02001953125,,3642.872314453125,,340.7152099609375,4308.89013671875,4880.080078125,5314.33984375,1724.4866943359375,3586.8310546875,,851.4531860351562,7806.40087890625,5565.02001953125,3386.105224609375,5273.5205078125,718.3980102539062,7775.25341796875,,988.8622436523438,2710.629150390625,4651.15380859375,1268.3973388671875,1692.4803466796875,5534.1201171875,11107.0,974.4071655273438,814.0650634765625,2148.205810546875,1283.4647216796875,2912.912353515625,1254.85107421875,6041.27978515625,,3122.6171875,2095.637451171875,,1734.3919677734375,3752.09912109375,6473.52099609375,2904.262451171875,1469.5401611328125,3657.866455078125,6460.45556640625,2497.76318359375,1432.8597412109375,4286.755859375,6645.00341796875,15007.2998046875,6089.52978515625,4386.4755859375,14284.2138671875,373.52484130859375,14153.2412109375,24939.451171875,4648.0,306.9333801269531,2120.21142578125,280.0,,,,,,,,,14981.0,,,,,,,1371.6458740234375,14683.1435546875,,,263.4934997558594,,8159.3681640625,,129.0,5559.79248046875,,,,,234.8990020751953,4192.19873046875,
2022-06-30,,18.984018325805664,,15422.908203125,86165.8828125,590.0,438.6936340332031,,,1730.2496337890625,23.0,1535.0,789.100830078125,9531.6572265625,475.75341796875,5646.6123046875,,,,,,,,,,3389.838134765625,,,142233.0,,87612.3671875,,,,123.52899932861328,1076.916748046875,,21307.3671875,18826.8671875,1372.54345703125,,,,553.7042846679688,6559.59375,,405.0,,,,963.6571044921876,1129.9425048828125,,,45111.6953125,30658.4921875,0.2000000029802322,,622.0,,,598.637939453125,,69885.3203125,1042.030029296875,20937.474609375,269.773681640625,7996.2421875,1244.35400390625,889.6570434570312,,333.9436950683594,4187.3828125,394.69134521484375,1195.5772705078125,27314.025390625,3263.816650390625,,,,,,915.5661010742188,,,198104.328125,,,6188.509765625,984.3731079101562,,174.7116241455078,2733.620361328125,,,3174.75927734375,,,,,,,,898.0419921875,628.3043212890625,575.0,31423.404296875,1287.406982421875,10150.1220703125,,28820.0,1968.7296142578125,30350.0,218777.0,,2973.2626953125,,6006.45654296875,,5737.02490234375,19763.927734375,,,5913.9365234375,,,1067.664794921875,,,6047.28564453125,,,2286.8125,,732.4251708984375,6066.36083984375,,6226.46337890625,1341.03271484375,303.1344299316406,448.1998901367188,15284.0234375,,27855.03125,997.5244750976562,1547.827392578125,4049.172607421875,898.3572998046875,8873.78125,,1231.25390625,,,5195.107421875,15431.2265625,23.232017517089844,18096.6328125,,8770.630859375,8726.671875,9477.916015625,312.8183898925781,110.6876983642578,103.90630340576172,,2880.020263671875,,283.0,,,10030.3798828125,3865.701171875,439.7046508789063,52406.09765625,26.0,35985.39453125,1172.2291259765625,524.3159790039062,1782.693603515625,,,7839.0,678.7674560546875,,,,,1254.0015869140625,519.4192504882812,154.9613494873047,17718.62109375,,,1984.91845703125,2450.0,10679.638671875,1423.416015625,13191.2724609375,,,20677.005859375,1984.4139404296875,316.7470092773437,,,30014.990234375,,,17116.248046875,39790.95703125,8679.71484375,7979.20166015625,,,,248.52001953125,26.76919937133789,4442.197265625,767.4508666992188,1100.6221923828125,,,393.5435791015625,822.3296508789062,,5620.65478515625,,,110.78599548339844,,286.6638488769531,,,,,,2009.0567626953125,3426.052734375,1029.3397216796875,366.0060119628906,12727.607421875,3600.0,5328.19921875,1103.502685546875,459.5246887207031,3994.142333984375,99.0,28580.0,,,,,4397.97705078125,192.41293334960932,5377.251953125,,15483.8212890625,,8586.6640625,199396.3125,758.171630859375,,1217.567626953125,19772.109375,5277.748046875,37121.5703125,2938.838134765625,13809.7353515625,1768.9227294921875,,,,1385.4678955078125,4063.652587890625,6065.2861328125,6345.330078125,,3382.88134765625,,308.9127197265625,4214.5400390625,4764.93017578125,5104.0400390625,1494.28857421875,3649.45166015625,,825.2291259765625,7529.5283203125,5826.4599609375,3001.846923828125,5221.298828125,711.074951171875,7896.55517578125,,943.8684692382812,2567.648681640625,4528.17626953125,1162.458984375,1672.4864501953125,5419.2900390625,10627.5302734375,882.0757446289062,741.5647583007812,1937.345703125,1189.170166015625,2924.90771484375,1168.861328125,5799.97998046875,,2869.297119140625,2050.73095703125,,1834.8631591796875,3556.138916015625,6244.39599609375,3350.986328125,1443.823486328125,3517.81640625,6052.875,2540.496826171875,1387.1878662109375,4207.181640625,6118.541015625,14365.228515625,5867.84326171875,4211.70458984375,14186.4833984375,363.6952819824219,12188.15234375,23012.23828125,3656.0,293.9783935546875,2045.38037109375,275.0,,,,,,,,,14511.0,,,,,,,1267.5015869140625,13102.0810546875,,,289.5792236328125,,8084.40185546875,,114.0,5417.97705078125,,,,,226.6083984375,4791.0849609375,
2022-07-29,,23.97981071472168,,16961.20703125,92748.9921875,654.0,408.714599609375,,,1643.33740234375,22.0,1840.0,819.066650390625,9088.2314453125,481.9495239257813,5147.91162109375,,,,,,,,,,3890.56689453125,,,126875.8359375,,88852.359375,,,,99.8115005493164,938.9273071289062,,23307.01953125,19984.123046875,1301.0782470703125,,,,627.5315551757812,6913.92333984375,,420.0,,,,999.6069946289062,1158.9154052734375,,,45461.4765625,30577.55078125,0.1899999976158142,,709.0,,,623.5811767578125,,65259.82421875,1086.9022216796875,21356.048828125,249.7904510498047,9121.0458984375,1284.333251953125,898.6434936523438,,299.94940185546875,4177.38916015625,411.6780700683594,1151.7027587890625,27963.623046875,3391.496826171875,,,,,,1076.48974609375,,,199093.78125,,,6821.6513671875,1061.7357177734375,,166.7248077392578,2804.468505859375,,,3300.7099609375,,,,,,,,1015.654541015625,613.4625244140625,530.0,34831.25,1474.7659912109375,10143.15625,,28232.0,2171.44384765625,33638.0,226680.0,,3142.597412109375,12181.8515625,6195.20654296875,,6301.89794921875,20133.9140625,,,6361.326171875,,,1201.49755859375,,,6596.25390625,,,2239.4384765625,,754.9739379882812,6250.57080078125,,6543.92529296875,1342.0306396484375,329.06036376953125,449.1958923339844,15384.91796875,,27181.103515625,1085.5665283203125,1637.9613037109375,4420.75048828125,880.3900756835938,9471.0166015625,,1350.8900146484375,,,5289.07275390625,14898.2880859375,22.277278900146484,18437.306640625,,8859.2646484375,8839.267578125,9527.798828125,306.6484069824219,119.72528839111328,93.91531372070312,,2722.183349609375,,280.0,,,10907.4013671875,3895.66796875,431.71002197265625,49106.1015625,23.0,40499.3203125,1188.2186279296875,538.2977294921875,1955.88671875,,,9858.0,739.6569213867188,,,,,1348.9259033203125,539.6642456054688,142.04786682128906,17994.333984375,,,2046.9158935546875,2707.0,11168.7041015625,1461.346923828125,13895.59375,,,21638.72265625,2025.1820068359373,324.63299560546875,,,33645.51953125,,,17628.865234375,44493.5234375,9131.19140625,8477.9013671875,,,,232.5508728027344,12.0,4868.4482421875,818.281982421875,1131.5555419921875,,,404.5308227539063,847.7845458984375,,5511.6611328125,,,110.78599548339844,,284.6661682128906,,,,,,2099.923828125,3670.770751953125,1074.310791015625,406.89495849609375,13387.9423828125,3530.0,5754.09619140625,1155.4322509765625,499.48333740234375,4094.994140625,123.0,28897.0,,,,,4520.86474609375,215.34298706054688,5491.06640625,,15964.7919921875,,9593.9267578125,199397.109375,792.0897216796875,,1198.58984375,22405.994140625,5441.4609375,34921.3203125,2796.9423828125,13423.798828125,1925.915771484375,,,,1396.994140625,4048.6650390625,6248.5908203125,7045.81982421875,,3486.877685546875,5162.56005859375,310.7034606933594,4265.10009765625,4851.22021484375,5611.22021484375,1527.9119873046875,3787.328125,,844.3032836914062,7576.5068359375,6340.02001953125,3068.5771484375,5598.7939453125,701.2904663085938,8332.5087890625,,974.8641967773438,2601.64404296875,4530.17626953125,1193.071533203125,1703.4769287109375,6020.7099609375,12164.8798828125,937.9215698242188,745.3178100585938,2001.19921875,1205.6104736328125,2933.904541015625,1215.855712890625,6364.3701171875,,2768.567626953125,2180.4609375,,1869.765625,3991.968994140625,6888.6376953125,3092.0908203125,1430.43408203125,3799.2587890625,6325.77490234375,2651.775634765625,1479.126708984375,4542.98388671875,6217.646484375,14913.453125,6499.05322265625,4590.79443359375,16424.71875,348.9508361816406,12125.4677734375,28910.1640625,4358.0,280.02685546875,2100.2568359375,265.0,,,,,,,,,15428.0,,,,,,,1417.2064208984375,13781.515625,,,296.5690612792969,,9012.98828125,,120.0,5280.1552734375,,,,,262.5340881347656,4492.69873046875,
2022-08-31,,20.982336044311523,,17759.2890625,93139.9296875,509.0,404.7173767089844,,,1638.342529296875,17.0,1620.0,859.0211181640625,8291.146484375,470.9734802246094,4982.01123046875,,,,,,,,,,3043.620361328125,,,119685.7734375,,83440.3984375,,,,102.77619934082033,869.9326171875,,23553.236328125,20680.673828125,1457.8468017578125,,,,588.62255859375,7346.1064453125,,390.0,,,,900.7447509765624,1351.7349853515625,,,43932.0,32481.154296875,0.1599999964237213,,625.0,,,598.637939453125,,68339.203125,1021.0896606445312,21472.92578125,248.7912750244141,8256.3271484375,799.5849609375,973.5303955078124,,259.9561462402344,3996.502197265625,426.6663818359375,1146.717041015625,29783.490234375,3146.111328125,,,,,,1069.4932861328125,,,204242.953125,,,6782.349609375,1000.2566528320312,,152.74786376953125,2749.947509765625,,,3545.6142578125,,,,,,,,996.7168579101562,634.4561767578125,524.0,34839.30859375,1447.7469482421875,10177.30859375,2619.35107421875,28826.0,2084.0927734375,35794.0,230542.0,,2971.7529296875,12009.609375,6063.73681640625,,6262.73291015625,21772.431640625,,,5692.23876953125,,,1040.698486328125,,,6442.0234375,,,2298.20458984375,,749.6998291015625,6118.70849609375,,6406.15869140625,1420.8560791015625,309.1173095703125,468.1199340820313,13858.5126953125,,27349.6640625,1063.68359375,1610.2021484375,4223.12255859375,1067.0487060546875,9571.7177734375,,1270.1358642578125,,,4314.42822265625,18333.892578125,25.146533966064453,18020.70703125,,8043.529296875,8240.9931640625,9043.9267578125,331.9453125,109.74817657470705,94.91441345214844,,2688.150146484375,,238.0,,,10713.837890625,3820.751708984375,453.69525146484375,37959.34765625,22.0,42449.28515625,1139.250732421875,579.2443237304688,1997.6917724609373,,,9000.0,638.8399047851562,,,,,1498.8065185546875,604.5037841796875,129.13442993164062,18602.703125,,,2031.9166259765625,2655.0,11577.923828125,1661.98291015625,12413.0234375,,,20239.3984375,1989.4300537109373,295.3380126953125,,,34377.83984375,,,16107.9990234375,43046.58203125,9043.4873046875,8477.9013671875,,,,319.3831787109375,12.92300033569336,5480.37353515625,915.9575805664062,1014.8076171875,,,360.5818176269531,895.2063598632812,,6180.6201171875,,,117.8290557861328,,254.70132446289065,,,,,,2057.223388671875,3495.97216796875,1059.320556640625,378.9708251953125,12477.7763671875,3400.0,5387.04736328125,1013.6245727539062,359.6280212402344,4493.40966796875,122.0,28113.0,,,,,4704.697265625,210.3582000732422,4568.5673828125,,15290.23828125,,9375.5205078125,199397.109375,758.171630859375,,1177.614501953125,23253.3125,5322.66943359375,33141.546875,2917.853271484375,15655.4326171875,1601.929931640625,,,,1312.1766357421875,3845.83203125,6115.591796875,6911.16015625,,3433.879638671875,5020.14013671875,312.4678039550781,4354.669921875,4993.740234375,5478.47021484375,1491.6875,3722.629638671875,,825.1884765625,7604.494140625,6165.7099609375,2974.88134765625,5608.65283203125,719.2247924804688,8279.1806640625,,990.8619384765624,2576.6474609375,4201.23583984375,1172.0374755859375,1713.4739990234375,6408.31982421875,11803.2802734375,878.9719848632812,739.93798828125,1966.5592041015625,1186.5897216796875,2948.89892578125,1202.857177734375,6237.81982421875,,3266.2314453125,2294.223876953125,,1714.2010498046875,3967.69091796875,6758.5029296875,3139.968017578125,1465.6845703125,3724.400634765625,6052.7978515625,2553.111083984375,1473.40966796875,4346.7578125,6086.15087890625,14427.748046875,6382.546875,4498.486328125,16651.4375,353.8656921386719,12707.0576171875,32598.603515625,4396.0,308.92645263671875,2592.1455078125,207.0,,,,,,,,,15333.0,,,,,,,1346.3460693359375,12604.49609375,,,296.5690612792969,,8822.0732421875,,108.0,5592.75048828125,,,,,244.11070251464844,4293.0224609375,
2022-09-30,,22.980653762817383,,17626.79296875,96557.515625,444.0,424.7034301757813,,,1778.436767578125,15.0,1475.0,868.0108032226562,8618.7978515625,465.984375,4797.1220703125,,,,,,,,,,3465.59716796875,,,128623.71875,,82458.40625,,,,98.8231964111328,799.9380493164062,,24393.046875,19305.55859375,1298.082763671875,,,,628.9951782226562,7266.2568359375,,395.0,,,,1055.529052734375,1292.7900390625,,,45685.0,27865.2734375,0.1400000005960464,,558.0,,,513.8309326171875,,64731.49609375,1036.046875,19637.150390625,261.7803649902344,8028.40087890625,549.7146606445312,947.5696411132812,,274.9536437988281,3990.506103515625,366.7132568359375,1117.8076171875,28528.271484375,2996.487060546875,,,,,,864.5902709960938,,,155214.84375,,,6597.50732421875,959.9331665039062,,145.75941467285156,2635.51171875,,,3183.755859375,,,,,,,,1026.2633056640625,521.4437255859375,565.0,33909.40234375,1374.68701171875,9961.6064453125,2417.943115234375,28819.0,1931.5069580078125,37676.0,241245.0,,2786.627685546875,11602.5361328125,5796.46630859375,1806.3018798828125,6087.52587890625,20202.564453125,,,5465.5478515625,,,952.8084716796876,,,6155.0703125,,,2245.713623046875,,728.3641967773438,5853.40673828125,,6063.73779296875,1257.21826171875,313.1059265136719,463.1399536132813,14732.71875,,28040.158203125,1014.3690795898438,1537.2706298828125,3905.47705078125,905.4935302734376,9156.1787109375,,1175.423828125,,,4270.4443359375,17187.025390625,25.12790870666504,16960.0859375,,7152.91015625,7228.22314453125,9477.916015625,283.81939697265625,106.75505065917967,108.90180206298828,,2498.28076171875,,231.0,,,10089.24609375,3845.723876953125,390.0,38689.58984375,21.0,43999.26171875,1076.2921142578125,612.2012939453125,1716.9998779296875,,,6300.0,580.9577026367188,,,,,1477.8232421875,623.4568481445312,110.35904693603516,17261.09375,,,1739.9617919921875,2700.0,11459.220703125,1675.95751953125,11976.4443359375,,,19934.009765625,2021.0350341796875,329.8760070800781,,,38505.6875,,,15671.3251953125,33460.578125,8105.4462890625,8378.1611328125,,,,305.41015625,24.0,5316.6611328125,883.0667724609375,976.1256713867188,,,349.59454345703125,861.333740234375,,5547.6591796875,,,119.82615661621094,,227.73294067382807,,,,,,1843.511962890625,3523.940185546875,1105.291015625,354.0385437011719,13005.8486328125,2710.0,4783.658203125,1099.508056640625,464.5195007324219,4323.65966796875,99.0,26693.0,,,,,4373.53857421875,209.3612518310547,4394.85009765625,,14374.0283203125,,9631.8154296875,199397.4375,738.2196655273438,,1198.58984375,21685.111328125,5149.97216796875,28550.837890625,2529.1396484375,14333.6494140625,1385.939453125,,,,1297.2088623046875,4198.9521484375,5851.376953125,6614.27978515625,,3282.885009765625,4828.41015625,311.4762268066406,4034.1298828125,4657.91015625,5232.6298828125,1400.491943359375,3724.9921875,,808.410888671875,7441.56884765625,6096.81005859375,2871.38720703125,5217.13623046875,705.0572509765625,7744.1123046875,,946.8681030273438,2485.66015625,4414.197265625,1116.4495849609375,1696.4791259765625,6327.31005859375,11128.990234375,825.4686279296875,732.0379638671875,1913.5311279296875,1138.244873046875,2959.894775390625,1208.8565673828125,5963.1298828125,,2794.28369140625,2196.206298828125,,1642.4019775390625,3714.553955078125,6470.4228515625,2912.351806640625,1318.55615234375,3546.882080078125,5867.82080078125,2588.400390625,1391.3475341796875,4013.668701171875,5817.89501953125,13839.6953125,6101.4189453125,4301.7314453125,16923.10546875,304.71759033203125,11754.728515625,33170.23828125,4640.0,313.9091186523437,2670.505126953125,212.0,,,,,,,,,14542.0,,,,,,,1236.5625,12197.8359375,,,296.5690612792969,,8582.1806640625,,96.0,6100.5048828125,,,,,239.5048065185547,4592.53564453125,
