Date,ALVO.IC,AMRQ.IC,BRIM.IC,EIK.IC,EIM.IC,HAMP.IC,HEIMAR.IC,ICEAIR.IC,ISB.IC,JBTM.IC,KVIKA.IC,NOVA.IC,OCS.IC,OLGERD.IC,PLAY.IC,SIMINN.IC,SKAGI.IC,SVN.IC,SYN.IC,^XIPI
2022-04-29,,,93.01322174072266,14.46216869354248,497.7747192382813,118.83486938476562,37.94637680053711,1.9700000286102293,105.64337921142578,,17.047290802001953,,,,24.39999961853028,0.2652227282524109,,100.83148193359376,57.75,
2022-05-31,,,90.6282730102539,12.370158195495604,436.9844970703125,109.01380920410156,34.191261291503906,1.5700000524520874,99.19965362548828,,14.64414882659912,,,,18.0,0.2503702640533447,,93.26911926269533,51.5,
2022-06-30,1250.0,,82.51942443847656,12.461113929748535,403.505859375,109.99591064453124,33.795989990234375,1.4500000476837158,101.74322509765624,,14.193559646606444,4.342223167419434,,9.6899995803833,16.200000762939453,0.2503702640533447,,91.33004760742188,58.0,
2022-07-29,1104.0,,84.42738342285156,14.09834098815918,484.5594482421875,117.85276794433594,32.41252899169922,1.96399998664856,108.52610778808594,,15.24493408203125,4.234158992767334,,10.199999809265137,19.100000381469727,0.2418831437826156,,100.34671020507812,65.0,
2022-08-31,1270.0,,90.15127563476562,12.188241958618164,524.2052001953125,105.08538055419922,31.02906608581543,1.870000004768372,110.2218246459961,,15.24493408203125,4.420815467834473,,10.300000190734863,18.200000762939453,0.2227871119976043,,118.7678451538086,65.5,
2022-09-30,1050.0,,79.41898345947266,11.096758842468262,433.4604187011719,94.28221130371094,28.26214408874512,1.7680000066757202,103.26937866210938,,13.705421447753906,3.988558053970337,,11.050000190734863,16.25,0.2397613674402237,,111.98111724853516,59.5,
2022-10-31,918.0,,79.18048095703125,11.915371894836426,484.5594482421875,89.86273193359375,28.855056762695312,1.8899999856948853,109.03483581542967,,14.456403732299805,4.008205890655518,,10.699999809265137,16.549999237060547,0.2418831437826156,,110.04204559326172,60.0,
2022-11-30,880.0,70.5,85.38136291503906,11.460586547851562,471.34417724609375,109.01380920410156,27.86686897277832,1.7599999904632568,104.6259536743164,,15.019639015197754,3.8706696033477774,,10.899999618530272,13.399999618530272,0.2270306348800659,,113.92018127441406,60.0,
2022-12-30,1480.0,78.5,86.3353500366211,10.732930183410645,462.5339660644531,115.8885498046875,27.076318740844727,1.6119999885559082,101.57365417480467,,14.268657684326172,4.224335193634033,,10.449999809265137,13.100000381469728,0.2270306348800659,,117.31354522705078,60.0,
2023-01-31,1725.0,80.0,89.19729614257812,10.096231460571287,493.3695983886719,126.69172668457033,24.90230941772461,1.98199999332428,99.70835876464844,,14.11846160888672,4.106446266174316,,10.75,13.0,0.2249088734388351,,120.2221450805664,59.5,
