Date,ANDR.PR,ATS.PR,COLOS.PR,CPI.PR,CTPNV.PR,CZ0003534596.PR,CZ0003539892.PR,CZ0003543092.PR,CZ0003550378.PR,CZ0003550709.PR,CZ0003550808.PR,CZ0003556177.PR,CZ0003558579.PR,CZ0003561441.PR,CZ0003561748.PR,CZ0003562910.PR,CZ0003565723.PR,CZ0003566770.PR,CZ0003567679.PR,CZ0003569089.PR,CZ0003569667.PR,CZ0003571051.PR,CZ0003706517.PR,CZ0003707275.PR,CZ0003707671.PR,CZ0003709339.PR,CZG.PR,DBK.PR,DSPW.PR,EFORU.PR,ENRGA.PR,EOAN.PR,ERBAG.PR,FPXAA.PR,GEN.PR,GEV.PR,HWIO.PR,JTINA.PR,JTINB.PR,JTINV.PR,KARIN.PR,MMCTE.PR,MONET.PR,NOKIA.PR,OMV.PR,PEN.PR,PINK.PR,PKN.PR,PKO.PR,PRIUA.PR,PVT.PR,RWE.PR,SABFG.PR,SHELL.PR,SKAB.PR,TABAK.PR,TMR.PR,ULVR.PR,VOE.PR,VOW.PR,WIE.PR,WPS.PR
2022-04-29,1098.4256591796875,1107.6640625,,,304.4344177246094,,,,,,,,,,,,,,,,,,,,,,508.7176208496094,231.8246307373047,,99.6339111328125,2341.24609375,245.6850433349609,739.2804565429688,,,,,,,,140.0,,70.74140167236328,119.0635986328125,1195.2259521484375,52.59999847412109,1197.3958740234375,394.9508056640625,196.0170745849609,290.0,2.200000047683716,976.2498168945312,832.0088500976562,603.7022094726562,449.902099609375,12919.275390625,640.0,1184.910400390625,620.5919799804688,3753.826904296875,660.4432983398438,
2022-05-31,984.0062866210938,1107.6640625,,,297.5428771972656,,,,,,,,,,,,,,,,,,,,,,543.501708984375,257.5111389160156,,,2341.24609375,235.10455322265625,719.0178833007812,,,,,,,,140.0,,61.92903900146485,114.67819213867188,1225.0321044921875,57.20000076293945,1187.5,388.1912536621094,157.0181427001953,280.0,1.7999999523162842,1036.8226318359375,832.0088500976562,665.775634765625,382.7440490722656,13509.357421875,580.0,1185.2679443359375,670.9155883789062,3629.494873046875,628.2715454101562,
2022-06-30,984.0062866210938,1107.6640625,,,243.85777282714844,,,,,,,,,,,,,,,,,,,,,,524.4791259765625,204.2432861328125,,99.6339111328125,2411.486083984375,196.3357391357422,593.2445068359375,,,,,,,,141.0,,69.28614807128906,110.63166809082033,1092.4454345703125,51.79999923706055,1177.6041259765625,347.6340026855469,144.11587524414062,252.0,2.0999999046325684,871.1704711914062,832.0088500976562,,344.8016052246094,12891.6962890625,580.0,1185.2679443359375,501.2473754882813,3123.5234375,504.5724792480469,
2022-07-29,984.0062866210938,1189.34619140625,246.0,,277.0697326660156,,,,,,,,,,,,,,,,,,,,,,490.0574035644531,208.48275756835932,,,2374.38623046875,217.0655975341797,608.9661865234375,,,238.0,,,,,140.0,,64.83954620361328,124.84500122070312,1020.2794189453124,68.19999694824219,1039.0625,372.1676330566406,131.89524841308594,310.0,2.0,983.5344848632812,832.0088500976562,610.4546508789062,383.0285949707031,13145.095703125,605.0,1095.6258544921875,502.4436645507813,3436.36865234375,504.5724792480469,
2022-08-31,1182.9964599609375,1089.401123046875,200.0,,311.4954833984375,,,,,,,,,,,,,,,,,,,,,,491.8690490722656,204.5924224853516,,111.13013458251952,2374.38623046875,205.8036956787109,552.2487182617188,,,242.0,,,,,149.0,,62.49497985839844,122.69182586669922,949.0091552734376,74.0,890.625,305.9178771972656,118.25363159179688,310.0,1.600000023841858,955.9923095703124,832.0088500976562,,350.96728515625,13097.5830078125,600.0,1046.230712890625,527.7652587890625,3573.8232421875,563.6288452148438,
2022-09-30,1182.9964599609375,927.4901123046876,140.0,,239.75428771972656,,,,,,,,,,,,,,,,,,,,,,494.5865783691406,187.53472900390625,,119.61219024658205,2448.585693359375,192.0003967285156,554.2388305664062,,,220.0,,,,,134.0,,57.07820129394531,109.653076171875,894.8597412109375,57.0,757.03125,263.0504150390625,109.56721496582033,300.0,1.659999966621399,953.7969360351562,860.1504516601562,600.8336181640625,295.0971069335937,13002.55859375,590.0,1046.230712890625,416.31048583984375,3112.192138671875,581.1860961914062,
2022-10-31,1182.9964599609375,742.591796875,228.0,,,,,,,,,,,,,,,,,,,,,,,,498.2099304199219,235.3161773681641,,116.40113067626952,2411.486083984375,203.81044006347656,614.7373657226562,,,220.0,17.0,,,,141.0,,58.45261001586914,108.67660522460938,1048.648193359375,61.400001525878906,722.3958129882812,280.5871276855469,127.4829330444336,266.0,2.0,948.1088256835938,860.1504516601562,649.70849609375,358.0814819335937,13129.2587890625,610.0,1076.123046875,529.9584350585938,3123.5234375,568.8162231445312,
2022-11-30,1182.9964599609375,843.5362548828125,228.0,,238.8285980224609,,,,,,,,,,,,,,,,,,,,,,506.3623962402344,252.972396850586,,,2392.93603515625,222.1483917236328,708.470458984375,,544.7803344726562,222.0,16.899999618530273,,,,137.0,,58.21006393432617,111.169189453125,1194.4735107421875,66.0,692.7083129882812,330.2743835449219,149.0509033203125,362.0,1.950000047683716,1022.8518676757812,860.1504516601562,651.2029418945312,373.6378479003906,13461.8447265625,520.0,1076.5487060546875,641.4132080078125,3331.429931640625,601.1375732421875,
2022-12-30,1182.9964599609375,772.5752563476562,220.0,,242.9942169189453,,,,,,,,,,,,,,,,,,,,,,500.0215759277344,257.2617492675781,,,2392.93603515625,225.7362518310547,713.4456787109375,,478.927734375,242.0,16.200000762939453,,,,127.0,,61.44396209716797,107.67958068847656,1132.26123046875,67.19999694824219,643.2291870117188,323.45458984375,149.0509033203125,410.0,2.0999999046325684,1008.0828857421876,860.1504516601562,,352.4850158691406,13240.1201171875,565.0,1076.5487060546875,641.4132080078125,2800.272705078125,545.4730224609375,
2023-01-31,1294.430908203125,748.5885009765625,190.0,,,,,,,,,,,,,,,,,,,,,,,,529.00830078125,288.08526611328125,,,2300.186767578125,239.988037109375,815.5369873046875,,497.8853149414063,234.0,16.100000381469727,,,,126.0,,65.24378204345703,103.77083587646484,1081.49609375,66.4000015258789,742.1875,321.50604248046875,158.72439575195312,402.0,1.5,1002.893798828125,860.1504516601562,631.6988525390625,376.7681579589844,13303.470703125,560.0,1056.6124267578125,723.359375,2944.4736328125,637.2496948242188,
