Date,ABC-A.CR,ARC-B.CR,BNC.CR,BVCC.CR,BVL.CR,C2444A.CR,C2445A.CR,C2446A.CR,C2447A.CR,C2448A.CR,C2449A.CR,C2450A.CR,C2451A.CR,C2452A.CR,CCR.CR,CRM-A.CR,DOM.CR,DT434P.CR,EFE.CR,ENV.CR,FNC.CR,FST42P.CR,GMC-B.CR,GZL.CR,IBC.CR,IVC-A.CR,IVC-B.CR,MVZ-A.CR,MVZ-B.CR,PI413.CR,PIV-B.CR,PTN.CR,RST-B.CR,RST.CR,SD251P.CR,SVS.CR,TDV-D.CR
2022-04-29,,,,,,,,,,,,,,,41.9900016784668,,,,0.1800000071525573,,0.949999988079071,,,3.3499999046325684,,,,,,,,0.5600000023841858,,,,0.6399999856948853,
2022-05-31,,,,,,,,,,,,,,,55.0,,,,0.2199999988079071,,0.949999988079071,,,3.900000095367432,,,,,,,,0.5699999928474426,,,,0.6370000243186951,
2022-06-30,,,,,,,,,,,,,,,89.0,,,,0.2150000035762787,,1.0,,,9.0,,,,,,,,0.699999988079071,,,,0.6549999713897705,
2022-07-29,,,,,,,,,,,,,,,100.0,,,,0.1959999948740005,,0.800000011920929,,,7.809999942779541,,,,,,,,0.6890000104904175,,,,0.6650000214576721,
2022-08-31,,,,,,,,,,,,,,,93.98999786376952,,,,0.1700000017881393,,0.8999999761581421,,,8.5,,,,,,,,1.0499999523162842,,,,0.800000011920929,
2022-09-30,,,,,,,,,,,,,,,70.0,,,,0.1599999964237213,,0.8999999761581421,,,9.0,,,,,,,,0.675000011920929,,,,0.699999988079071,
2022-10-28,,,,,,,,,,,,,,,32.0,,,,0.1899999976158142,,1.0399999618530271,,,9.199999809265137,,,,,,,,0.800000011920929,,,,0.699999988079071,
2022-11-30,,,,,,,,,,,,,,,37.5,,,,0.2599999904632568,,1.6200000047683716,,,10.300000190734863,,,,,,,,0.9980000257492064,,,,0.8379999995231628,
2022-12-30,,,,,,,,,,,,,,,53.900001525878906,,,,0.5839999914169312,,4.5,,,12.300000190734863,,,,,,,,2.220000028610229,,,,0.9179999828338624,
2023-01-31,,,,,,,,,,,,,,,53.0,,,,0.6499999761581421,,6.0,,,14.75,,,,,,,,2.130000114440918,,,,1.1399999856948853,
