Date,ADID.BD,AKKO.BD,ANY.BD,APPEN.BD,ASTRA.BD,AUTOW.BD,BASF.BD,BAYER.BD,BET.BD,BIF.BD,BMW.BD,CIG.BD,CIVTA.BD,COMMB.BD,DBANK.BD,DELTA.BD,DHS.BD,DTEL.BD,ENEFI.BD,EPDUF.BD,EPROI.BD,ESENT.BD,FUTUR.BD,GLSTR.BD,GSP.BD,HENK.BD,INFIN.BD,KERMN.BD,LUFTH.BD,MAST.BD,MBH.BD,MBHJ.BD,MERC.BD,MGKR.BD,MOL.BD,MTEL.BD,NAP.BD,NATUR.BD,NAVIG.BD,NORD.BD,OPUS.BD,ORM.BD,OTP.BD,OXOTH.BD,PERGY.BD,PLYDR.BD,PNSUM.BD,RICHT.BD,SPPC.BD,THYSS.BD,UBM.BD,VERTI.BD,VWPR.BD,WABS.BD,WIZZ.BD,ZWACK.BD,^BUX.BD
2022-04-29,,300.5,1381.0428466796875,,,,,,,184.61355590820312,29084.107421875,,,,,41.0,,,257.0,,,,,,,,,,,,,,,,2367.551513671875,,,,,,196.1438751220703,,9764.8779296875,,,,,,,,1350.791748046875,,,,,13380.5126953125,
2022-05-31,,282.0,1360.35400390625,,,,,,,212.23292541503903,31733.560546875,,,,,38.5,,,224.0,,,,,,,,,,,,,,,,2057.865234375,,1170.4918212890625,,,,172.29510498046875,,8320.8857421875,,,,,,,,1350.791748046875,,,,,14055.494140625,
2022-06-30,,270.0,1339.03173828125,,,,,,,187.2643280029297,28859.59765625,,,,,39.0,,,213.0,,,,,,,,,,,,,,,,2259.161376953125,,1207.557373046875,,,,161.392822265625,,7947.2099609375,,,,,,,,1350.791748046875,,,,,14730.4755859375,
2022-07-29,,293.5,1321.97412109375,,,,,,,182.5827178955078,31883.505859375,,,,,38.59999847412109,,,199.0,,,,,,,,,,,,,,,,2498.41455078125,,1145.1312255859375,,,,147.180908203125,,7662.2353515625,,,,,,,,1350.791748046875,,,,,15260.2509765625,
2022-08-31,,315.0,1304.9163818359375,,,,,,,187.2643280029297,29639.314453125,,,,,37.79999923706055,,,195.0,,,,,,,,,,,,,,,,2364.294677734375,,1258.2786865234375,,,,149.90647888183594,,8013.263671875,,,,,,,,1379.1300048828125,,,,,14872.2783203125,
2022-09-30,,311.5,1185.51220703125,,,,,,,176.340576171875,30084.154296875,,,,,36.75,,,148.0,,,,,,,,,,,,,,,,2068.542724609375,,1164.639404296875,,,,125.96037292480467,,7462.1865234375,,,,,,,,1379.1300048828125,,,,,14398.08984375,
2022-10-28,,281.0,1185.51220703125,,,,,,,174.78004455566406,32308.353515625,,,,,35.0,,,156.0,,,,,,,,,,,,,,,,2135.602783203125,,1215.3607177734375,,,,115.83683013916016,,8520.93359375,,,,,,,,1379.1300048828125,,,,,14354.982421875,
2022-11-30,,259.5,1279.3297119140625,,,,,,,170.0984344482422,34987.390625,,,,,39.0,,,160.0,,,,,,,,,,,,,,,,2424.4765625,,1158.786865234375,,,,120.70391845703124,,10143.96875,,,,,,,,1450.0,,,,,14613.6298828125,
2022-12-30,,268.0,1279.3297119140625,,,,,,,159.1746826171875,33687.859375,,,,,36.29999923706055,,,154.0,,,,,,,,,,,,,380.0,,,2237.052490234375,,1121.7213134765625,,,,114.86341094970705,,9540.048828125,,,,,,,,1350.0,,,,,14527.4140625,
2023-01-31,,288.5,1245.2142333984375,,,,20527.673828125,21837.40234375,,159.1746826171875,35737.1171875,,,,,35.0,,,164.5,,,,,,,,,,,,,,,,2305.83203125,,1190.0,,,,124.40291595458984,,10214.7412109375,,,,,,,,1400.0,,,,,14484.3056640625,
2023-02-28,,269.5,1258.0076904296875,,,,18183.509765625,21567.435546875,,160.73521423339844,38406.15625,,,,,35.04999923706055,,,151.0,,,,,,,,,,,,,,,,2340.2216796875,,1102.213134765625,,,,124.79227447509766,,10252.486328125,,,,,,,,1400.0,,,,,14829.1708984375,
2023-03-31,,248.0,1347.5606689453125,,,,18365.443359375,22372.33984375,,154.49307250976562,38486.12890625,,,,,35.400001525878906,,,125.0,,,,,,,,,,,,,386.0,,,2204.38232421875,,1145.1312255859375,,,,113.8899917602539,,9419.2646484375,,,,,,,,1470.0,,,,,16036.1962890625,
2023-04-28,,246.0,1377.4117431640625,,,,17175.087890625,22082.373046875,,204.43023681640625,37451.5,,,,,34.5,,,122.0,,,,,,,,,,,,,406.0,,,2357.41650390625,,1029.057373046875,,,,115.83683013916016,,9719.337890625,,,,,,,,1470.0,,,,,15906.87109375,
2023-05-31,,230.0,1428.5849609375,,,,16557.193359375,19419.80078125,,263.0,37994.31640625,,,,,33.5,,,142.0,,,,,,,,,,,,,416.0,,,2424.4765625,,994.9180908203124,,,,102.40364837646484,,10471.654296875,,,,,,,,1470.0,,,,,16294.84375,
2023-06-30,,209.0,1484.0225830078125,,,,15725.333984375,18995.8046875,3213.45849609375,272.0,41373.80859375,,,,,42.0,,,130.0,,,,,,,,,,,,,446.0,,,2568.913330078125,,975.4098510742188,,,,155.94168090820312,,11766.666015625,,,,,,,,1440.0,,,,,16725.923828125,
2023-07-31,,215.0,1488.794189453125,,,,18914.79296875,20679.787109375,2912.5,288.0,40993.8671875,,,,,44.70000076293945,,,157.0,,,,,,,,,,,,,474.0,,,2688.6728515625,,926.6393432617188,,,,213.1786956787109,,12426.2978515625,,,,,,,,1420.0,,,,,17503.845703125,
2023-08-31,,238.0,1601.510498046875,,,,17239.078125,19249.802734375,2524.166748046875,360.0,36944.47265625,,,,,39.5,,,150.0,,,,,,,,,,,,,482.0,,,2574.54931640625,,916.88525390625,,,,255.5224151611328,,13934.720703125,,,,,,,,1300.0,,,,,17172.69140625,
2023-09-29,,225.0,1653.172119140625,,,,16523.19921875,17851.81640625,2684.354248046875,446.0,38124.296875,,,,,37.70000076293945,,,140.0,,,,,,,,,,,,,458.0,,,2702.212890625,,961.754150390625,,,,357.7313842773437,,12901.62109375,,,,,,,,1370.0,,,,,16888.845703125,
2023-10-31,,222.0,1737.7093505859375,,,,16563.19140625,15547.8408203125,2480.479248046875,464.0,34494.83984375,,,,,37.5,,,140.0,,,,,,,,,,,,,440.0,,,2781.51904296875,,942.2459106445312,,,,370.8725280761719,,13047.1279296875,,,,,,,,1460.0,,,,,17030.76953125,
2023-11-30,,237.0,1991.3209228515625,,,,16197.25390625,11925.8779296875,2592.125,476.0,36469.54296875,,,,,36.59999847412109,,,200.0,,,,,,,,,,,,,1140.0,,,2688.6728515625,,955.9016723632812,,,,375.2528991699219,,14080.2275390625,,,,,,,,1450.0,,,,,16983.4609375,
2023-12-29,,240.0,2338.86279296875,,,,18656.8359375,12949.8671875,3242.58349609375,505.0,38764.19921875,,,,,35.099998474121094,,,159.0,,,,,,,,,,,,,1040.0,,,2733.16162109375,,942.2459106445312,,,,371.845947265625,,15326.73828125,,,,,,,,1470.0,,,,,17267.306640625,
2024-01-31,,264.0,2423.39990234375,,,,17535.02734375,11137.8857421875,3131.908447265625,490.0,35314.71484375,,,,,38.29999923706055,,,187.0,,,,,,,,,,,,,955.0,,,2814.402099609375,,1146.1065673828125,,,,409.3225708007813,,15957.2685546875,,,,,,,,1480.0,,,,,18213.4609375,
2024-02-29,,250.0,2639.439453125,,,,18446.873046875,11105.8857421875,3575.579345703125,468.0,42168.69140625,,,,,35.29999923706055,,,191.0,,,,,,,,,,,,,895.0,,,2795.05908203125,,999.7951049804688,,,,411.756103515625,,16893.36328125,,,,,,,,1480.0,,,,,19301.537109375,
2024-03-28,,255.0,3193.6279296875,,,,20826.46875,11263.884765625,3395.97509765625,710.0,41878.734375,,,,,38.20000076293945,,,197.0,,,,,,,,,,,,,895.0,,,2862.759521484375,,999.7951049804688,,,,392.2877502441406,,16296.7841796875,,,,,,,,1450.0,,,,,20058.4609375,
2024-04-30,,245.0,3437.846435546875,,,,19180.0,10790.0,3689.166748046875,584.0,41493.79296875,,,,,37.400001525878906,,,189.0,,,,,,,,,,,,,,,,2911.116943359375,,1024.1802978515625,,,,367.9522705078125,,17654.849609375,,,,,,,,1430.0,,,,,22707.69140625,
2024-05-31,,275.0,3992.034912109375,,,,18922.0,10908.0,3669.75,490.0,35700.0,,,,,72.19999694824219,,,216.0,,,,,,,,,,,,,,,,2790.0,,1297.295166015625,,,,370.3858337402344,,17310.0,,,,,,,,1480.0,,,,,22234.615234375,
2024-06-28,,280.0,4057.7861328125,,,,18000.0,10440.0,3890.0,510.0,35500.0,,,,,80.19999694824219,,,242.0,,,,,,,,,,,,,,,,2878.0,,1316.8033447265625,,,,433.5,,18325.0,,,,,,,,1500.0,,,,,23370.0,
2024-07-31,,277.0,4280.0,,,,17000.0,11038.0,5700.0,540.0,34100.0,,,,,78.80000305175781,,,228.0,,,,,,,,,,,,,,,,2838.0,,1394.8360595703125,,,,437.0,,18645.0,,,,,,,,1460.0,,,,,24900.0,
2024-08-30,,268.0,4280.0,,,,16750.0,10856.0,,518.0,33000.0,,,,,72.5999984741211,,,220.0,,,,,,,,,,,,,,,,2694.0,,1248.524658203125,,,,450.0,,18290.0,,,,,,,,1500.0,,,,,24100.0,
2024-09-30,,308.0,4240.0,,,,18768.0,12130.0,,453.0,31670.0,,,,,70.0,,,210.0,,,,,,,,,,,,,,,,2668.0,,1121.7213134765625,,,,508.0,,18660.0,,,,,,,,1430.0,,,,,24000.0,
2024-10-31,,323.0,4230.0,,,,18500.0,10200.0,5540.0,522.0,29600.0,,,,,72.0,,,216.0,,,,,,,,,,,,,,,,2604.0,,1121.7213134765625,,,,524.0,,18680.0,,,,,,,,1480.0,,,,,24300.0,
2024-11-29,,340.0,4330.0,,,,17396.0,7915.0,6540.0,506.0,28600.0,,,,,68.5999984741211,,,234.0,,,,,,,,,,,,,,,,2678.0,,1180.2459716796875,,,,502.0,,21170.0,,,,,,,,1470.0,,,,,24500.0,
2024-12-30,,341.0,4160.0,,,,17506.0,7936.0,6760.0,500.0,32400.0,,,,,62.59999847412109,,,222.0,,,,,,,,,,,,,,,,2730.0,,1150.983642578125,,,,505.0,,21690.0,,,,,,,,1260.0,,,,,25100.0,
2025-01-31,,340.0,4600.0,,,,19500.0,8902.0,,540.0,33000.0,,,,,70.0,,,252.0,,,,,,,,,,,,,,,,2878.0,,1150.983642578125,,,,542.0,,24350.0,,,,,,,,1400.0,,,,,26800.0,
2025-02-28,,337.0,4870.0,,,,19970.0,9195.0,9200.0,566.0,33630.0,,,,,69.0,,,274.0,,,,,,,,,,,,,,,,2880.0,,1200.0,,,,590.0,,23790.0,,,,,,,,1380.0,,,,,27900.0,
2025-03-31,,337.0,6180.0,,,,18300.0,8844.0,8220.0,500.0,30000.0,,,,,58.400001525878906,,,244.0,,,,,,,,,,,,,,,,2930.0,,1100.0,,,,549.0,,25000.0,,,,,,,,1280.0,,,,,30800.0,
