Date,APG1L.VS,GRG1L.VS,IGN1L.VS,INC1L.VS,INL1L.VS,LGD1L.VS,NTU1L.VS,PZV1L.VS,TEL1L.VS,UTR1L.VS,^OMXV
2022-04-29,1.6732230186462402,0.7565047740936279,15.172287940979004,2.700000047683716,7.044478893280029,0.7150210738182068,3.940000057220459,1.215000033378601,1.7906328439712524,0.6949999928474426,
2022-05-31,1.6410881280899048,0.7260416150093079,15.008260726928713,2.619999885559082,7.69821834564209,0.711240291595459,3.816999912261963,1.165499925613403,1.8232309818267824,0.7099999785423279,
2022-06-30,1.533067226409912,0.697708249092102,14.745821952819824,2.5,7.890673160552978,0.6837438941001892,3.5899999141693115,1.0619999170303345,1.7773056030273438,0.6100000143051147,
2022-07-29,1.6203149557113647,0.6817708015441895,14.84423828125,2.5,7.69821834564209,0.6965755224227905,3.3010001182556152,1.147499918937683,1.786490797996521,0.5400000214576721,
2022-08-31,1.5372217893600464,0.6463541388511658,15.500336647033691,2.4600000381469727,7.024624347686768,0.676411509513855,3.140000104904175,1.0980000495910645,1.8002684116363523,0.6499999761581421,
2022-09-30,1.4873658418655396,0.5949999690055847,15.565946578979492,2.200000047683716,6.928395748138428,0.6599137187004089,2.609999895095825,1.066499948501587,1.7681206464767456,0.6200000047683716,
2022-10-31,1.5372217893600464,0.6552083492279053,15.517902374267578,2.200000047683716,7.313307285308838,0.6599137187004089,2.650000095367432,1.0394999980926514,1.7727131843566897,0.6100000143051147,
2022-11-30,1.6452428102493286,0.6534374952316284,16.48459243774414,2.259999990463257,7.409534931182861,0.6544143557548523,3.0299999713897705,1.0439999103546145,1.7956758737564087,0.675000011920929,
2022-12-30,1.7948102951049805,0.6233333349227905,16.12844467163086,2.1600000858306885,7.794445991516113,0.641582727432251,2.900000095367432,1.0080000162124634,1.8232309818267824,0.6299999952316284,
2023-01-31,1.8612847328186035,0.7313541173934937,16.48459243774414,2.200000047683716,7.794445991516113,0.6507481932640076,3.119999885559082,1.0619999170303345,1.8232309818267824,0.625,
2023-02-28,2.077326774597168,0.7437499761581421,17.044252395629883,2.200000047683716,7.601990699768066,0.6434158682823181,3.2330000400543213,1.0619999170303345,1.8278234004974363,0.6399999856948853,
2023-03-31,2.1105639934539795,0.7614583373069763,17.213848114013672,2.0,7.265193939208984,0.6342503428459167,3.0999999046325684,1.025999903678894,1.8553786277771,0.6800000071525574,
