Date,ATS.PR,COLOS.PR,CPI.PR,CTPNV.PR,CZ0003534596.PR,CZ0003539892.PR,CZ0003543092.PR,CZ0003550378.PR,CZ0003550709.PR,CZ0003550808.PR,CZ0003556177.PR,CZ0003558579.PR,CZ0003561441.PR,CZ0003561748.PR,CZ0003562910.PR,CZ0003565723.PR,CZ0003566770.PR,CZ0003567679.PR,CZ0003569089.PR,CZ0003569667.PR,CZ0003571051.PR,CZ0003706517.PR,CZ0003707275.PR,CZ0003707671.PR,CZ0003709339.PR,CZG.PR,DSPW.PR,DTE.PR,EMAN.PR,ENRGA.PR,EOAN.PR,ERBAG.PR,FPXAA.PR,GEN.PR,HWIO.PR,JTINA.PR,JTINB.PR,JTINV.PR,KARIN.PR,KOFOL.PR,MMCTE.PR,MONET.PR,NOKIA.PR,OMV.PR,PEN.PR,PINK.PR,PKN.PR,PVT.PR,RWE.PR,SABFG.PR,SHELL.PR,SKAB.PR,TABAK.PR,ULVR.PR,VOE.PR,VOW.PR,WIE.PR
2024-04-30,526.5,130.0,,386.116943359375,,,,,,,,,,,,,,,,,,,,,,620.36767578125,,537.186279296875,65.0,3085.0,313.9495544433594,1107.3984375,,489.6096496582031,11.0,,,,145.0,252.16017150878903,320.0,92.85354614257812,84.47428131103516,1142.326904296875,44.900001525878906,180.0,390.0099182128906,1.100000023841858,822.9144897460938,1034.0103759765625,,403.52728271484375,14762.9912109375,1188.421142578125,637.900390625,3014.45947265625,849.1304931640625
2024-05-31,533.5,130.0,,402.7225036621094,,,,,,,,,,,,,,,,,,,,,,639.4852905273438,,531.193115234375,69.0,3085.0,302.70001220703125,1116.5,,564.6759033203125,11.5,,,,164.0,277.3761901855469,340.0,97.24724578857422,86.10281372070312,1136.83740234375,45.150001525878906,178.0,367.5711364746094,1.100000023841858,860.0,1024.255615234375,,389.38909912109375,14960.0,1198.873291015625,662.4735107421875,2864.0,887.4000244140625
2024-06-28,549.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,647.1323852539062,,577.3404541015625,79.0,3000.0,308.54998779296875,1104.0,,569.673095703125,9.5,,,,171.0,283.9136657714844,330.0,99.78582763671876,88.37077331542969,1013.5,43.0,128.5,387.5386657714844,1.7699999809265137,814.4000244140625,1014.5007934570312,830.5999755859375,416.0945434570313,15280.0,1098.967041015625,639.2988891601562,2664.5,801.7999877929688
2024-07-31,485.0,121.0,,404.8834533691406,,,,,,,,,,,,,,,,,,,,,,666.0,,613.29931640625,76.0,3000.0,332.0,1218.0,,609.6500854492188,9.0,,,,168.0,298.1306457519531,334.0,105.05826568603516,89.95005798339844,980.0,43.34999847412109,150.0,378.8893737792969,1.1100000143051147,875.0,1034.0103759765625,,417.2727355957031,15360.0,1368.713623046875,610.0,2645.0,799.4000244140625
2024-08-30,447.0,121.0,,429.24322509765625,,,,,,,,,,,,,,,,,,,,,,648.0,,647.85986328125,82.0,2860.0,322.5,1238.0,,592.7877197265625,9.5,,,,159.0,292.2657775878906,320.0,106.42520141601562,96.96615600585938,978.0,40.0,168.0,371.6733703613281,1.7000000476837158,817.0999755859375,1050.0,807.7999877929688,445.1563720703125,15180.0,1389.140380859375,546.2000122070312,2448.5,745.0
2024-09-30,519.0,110.0,,420.7999877929688,,,,,,,,,,,,,,,,,,,,,,645.0,,664.7406005859375,78.0,2860.0,339.6499938964844,1234.0,,609.7815551757812,9.0,,,,159.0,324.52252197265625,,108.57322692871094,97.94561767578124,955.5999755859376,37.900001525878906,182.0,332.0,1.7000000476837158,822.7999877929688,1050.0,750.0,445.3527526855469,15300.0,1489.0787353515625,536.7999877929688,2417.0,763.7999877929688
2024-10-31,428.6000061035156,95.0,,390.0,,,,,,,,,,,,,,,,,,,,,,615.0,,706.5927734375,70.0,3200.0,315.0,1291.0,,676.757568359375,8.399999618530273,,,,146.0,332.0,328.0,113.25984191894533,109.1715087890625,968.0,32.29999923706055,145.0,303.0,1.399999976158142,754.2999877929688,1050.0,,484.6254577636719,16240.0,1489.0787353515625,500.0,2310.0,710.0
2024-11-29,325.3999938964844,85.0,,,,,,,,,,,,,,,,,,,,,,,,618.0,,761.8296508789062,63.0,3000.0,308.20001220703125,1293.5,,737.8621215820312,10.0,,,,144.0,380.0,,123.0,101.6134796142578,957.0,26.89999961853028,129.0,304.04998779296875,1.6699999570846558,798.2999877929688,1050.0,,481.0909118652344,16200.0,1489.51806640625,462.1000061035156,2000.0,695.5999755859375
2024-12-30,297.79998779296875,89.0,,,,,,,,,,,,,,,,,,,,,,,,669.0,,731.2645263671875,63.0,3000.0,310.0,1486.5,,639.8804321289062,9.300000190734863,,,,152.0,392.0,318.0,123.8000030517578,103.7329330444336,922.7999877929688,23.700000762939453,107.5,280.0,1.399999976158142,725.5,1060.0,738.5999755859375,499.94183349609375,16780.0,1479.5213623046875,463.8999938964844,2268.5,655.7999877929688
2025-01-31,321.0,86.0,,398.2000122070313,,,,,,,,,,,,,,,,,,,,,,712.0,,802.0836791992188,65.0,3200.0,290.75,1503.0,,654.8776245117188,9.899999618530272,,,,161.0,410.0,310.0,137.1999969482422,114.97000122070312,993.5999755859376,26.0,129.0,321.0,1.350000023841858,757.7999877929688,1050.0,,495.4254760742188,17160.0,1352.5623779296875,510.2000122070313,2508.0,714.2000122070312
