Date,ABC-A.CR,ARC-B.CR,BNC.CR,BPV.CR,BVCC.CR,BVL.CR,C2444A.CR,C2445A.CR,C2446A.CR,C2447A.CR,C2448A.CR,C2449A.CR,C2450A.CR,C2451A.CR,C2452A.CR,CCR.CR,CGQ.CR,CRM-A.CR,DOM.CR,DT434P.CR,ENV.CR,FST42P.CR,GMC-B.CR,IBC.CR,IVC-A.CR,IVC-B.CR,MVZ-A.CR,MVZ-B.CR,PI413.CR,PIV-B.CR,PTN.CR,RST-B.CR,RST.CR,SD251P.CR,SVS.CR,TDV-D.CR,TPG.CR
2024-04-30,,,,6.829999923706055,,,,,,,,,,,,740.0,11.25,,,,,,,,,,,,,,4.550000190734863,,,,5.590000152587891,,0.3350000083446502
2024-05-31,,,,3.900000095367432,,,,,,,,,,,,767.989990234375,15.0,,,,,,,,,,,,,,4.590000152587891,,,,5.690000057220459,,0.2899999916553497
2024-06-28,,,,3.900000095367432,,,,,,,,,,,,715.0,21.0,,,,,,,,,,,,,,5.550000190734863,,,,5.199999809265137,,0.3075000047683716
2024-07-31,,,,4.949999809265137,,,,,,,,,,,,800.0,45.0,,,,,,,,,,,,,,11.5,,,,10.0,,0.4799999892711639
2024-08-30,,,,5.349999904632568,,,,,,,,,,,,600.0,45.0,,,,,,,,,,,,,,11.579999923706056,,,,9.0,,0.75
2024-09-30,,,,5.900000095367432,,,,,,,,,,,,550.0,45.0,,,,,,,,,,,,,,9.149999618530272,,,,8.800000190734863,,0.949999988079071
2024-10-31,,,,6.449999809265137,,,,,,,,,,,,550.0,20.01000022888184,,,,,,,,,,,,,,8.300000190734863,,,,8.550000190734863,,1.2000000476837158
2024-11-29,,,,6.480000019073486,,,,,,,,,,,,493.0,19.89999961853028,,,,,,,,,,,,,,8.0,,,,9.1899995803833,,2.549999952316284
2024-12-30,,,,7.889999866485596,,,,,,,,,,,,700.0,16.0,,,,,,,,,,,,,,8.5,,,,9.920000076293944,,2.049999952316284
2025-01-31,,,,5.550000190734863,,,,,,,,,,,,780.0,16.399999618530273,,,,,,,,,,,,,,8.899999618530273,,,,10.75,,1.7899999618530271
2025-02-28,,,,5.190000057220459,,,,,,,,,,,,555.0,24.850000381469727,,,,,,,,,,,,,,9.899999618530272,,,,9.989999771118164,,1.3200000524520874
2025-03-31,,,,6.489999771118164,,,,,,,,,,,,470.0,30.0,,,,,,,,,,,,,,10.149999618530272,,,,12.399999618530272,,1.7999999523162842
