Date,ADID.BD,AKKO.BD,AMIXA.BD,APPEN.BD,ASTRA.BD,AUTOW.BD,BASF.BD,BAYER.BD,BET.BD,BIF.BD,CIG.BD,CIVTA.BD,COMMB.BD,DBANK.BD,DHS.BD,DMKER.BD,DTEL.BD,ENEFI.BD,EPDUF.BD,EPROI.BD,ESENT.BD,FUTUR.BD,GLSTR.BD,GSP.BD,HENK.BD,INFIN.BD,KERMN.BD,LUFTH.BD,MAST.BD,MBH.BD,MBHJ.BD,MERC.BD,MGKR.BD,MOL.BD,MTEL.BD,NAP.BD,NATUR.BD,NAVIG.BD,NORD.BD,NUTEX.BD,OPUS.BD,ORM.BD,OTP.BD,OXOTH.BD,PERGY.BD,PLYDR.BD,PNSUM.BD,RICHT.BD,SAP.BD,SPPC.BD,STRT.BD,THYSS.BD,VERTI.BD,VVT.BD,VWPR.BD,WABS.BD,WIZZ.BD,^BUX.BD
2024-04-30,,245.0,470.0,,,,19180.0,10790.0,3689.166748046875,584.0,,,,,,30.200000762939453,,189.0,,,,,,,,,,,,,,,,2911.116943359375,,1024.1802978515625,,,,14.149999618530272,367.9522705078125,,17654.849609375,,,,,,65997.8046875,,1070.0,,,180.0,,,,
2024-05-31,,275.0,440.0,,,,18922.0,10908.0,3669.75,490.0,,,,,,31.799999237060547,,216.0,,,,,,,,,,,,,,,,2790.0,,1297.295166015625,,,,14.350000381469728,370.3858337402344,,17310.0,,,,,,64810.0,,976.0,,,175.0,,,,
2024-06-28,,280.0,466.0,,,,18000.0,10440.0,3890.0,510.0,,,,,,34.599998474121094,,242.0,,,,,,,,,,,,,,,,2878.0,,1316.8033447265625,,,,14.300000190734863,433.5,,18325.0,,,,,,64810.0,,1100.0,,,160.0,,,,
2024-07-31,,277.0,470.0,,,,17000.0,11038.0,5700.0,540.0,,,,,,36.59999847412109,,228.0,,,,,,,,,,,,,,,,2838.0,,1394.8360595703125,,,,14.449999809265137,437.0,,18645.0,,,,,,75740.0,,940.0,,,210.0,,,,
2024-08-30,,268.0,420.0,,,,16750.0,10856.0,,518.0,,,,,,33.79999923706055,,220.0,,,,,,,,,,,,,,,,2694.0,,1248.524658203125,,,,19.0,450.0,,18290.0,,,,,,77820.0,,928.0,,,216.0,,,,
2024-09-30,,308.0,410.0,,,,18768.0,12130.0,,453.0,,,,,,35.0,,210.0,,,,,,,,,,,,,,,,2668.0,,1121.7213134765625,,,,18.89999961853028,508.0,,18660.0,,,,,,76220.0,,840.0,,,230.0,,,,
2024-10-31,,323.0,386.0,,,,18500.0,10200.0,5540.0,522.0,,,,,,32.0,,216.0,,,,,,,,,,,,,,,,2604.0,,1121.7213134765625,,,,18.64999961853028,524.0,,18680.0,,,,,,84850.0,,790.0,,,230.0,,,,
2024-11-29,,340.0,438.0,,,,17396.0,7915.0,6540.0,506.0,,,,,,32.79999923706055,,234.0,,,,,,,,,,,,,,,,2678.0,,1180.2459716796875,,,,17.850000381469727,502.0,,21170.0,,,,,,90500.0,,828.0,,,230.0,,,,
2024-12-30,,341.0,402.0,,,,17506.0,7936.0,6760.0,500.0,,,,,,34.0,,222.0,,,,,,,,,,,,,,,,2730.0,,1150.983642578125,,,,21.799999237060547,505.0,,21690.0,,,,,,98000.0,,866.0,,,250.0,,,,
2025-01-31,,340.0,418.0,,,,19500.0,8902.0,,540.0,,,,,,34.0,,252.0,,,,,,,,,,,,,,,,2878.0,,1150.983642578125,,,,21.799999237060547,542.0,,24350.0,,,,,,109850.0,,900.0,,,298.0,,,,
2025-02-28,,337.0,386.0,,,,19970.0,9195.0,9200.0,566.0,,,,,,32.79999923706055,,274.0,,,,,,,,,,,,,,,,2880.0,,1200.0,,,,21.5,590.0,,23790.0,,,,,,126000.0,,920.0,,,298.0,,,,
2025-03-31,,337.0,390.0,,,,18300.0,8844.0,8220.0,500.0,,,,,,31.200000762939453,,244.0,,,,,,,,,,,,,,,,2930.0,,1100.0,,,,20.799999237060547,549.0,,25000.0,,,,,,99120.0,,1010.0,,,294.0,,,,
