Date,APH.MX,ARMN.MX,ASML1N.MX,ASMLN.MX,ASTS.MX,ASURB.MX,ATER.MX,ATOS.MX,AUTLANB.MX,AXP.MX,AZNN.MX,AZO.MX,BA.MX,BABAN.MX,BAC.MX,BAFARB.MX,BBAJIOO.MX,BBDN.MX,BCSN.MX,BE.MX,BGN.MX,BHPN.MX,BIDUN.MX,BIMBOA.MX,BK.MX,BKNG.MX,BKR.MX,BLD.MX,BLK.MX,BLUE.MX,BLXN.MX,BMY.MX,BNPN.MX,BPN.MX,BRKB.MX,BRO.MX,BSX.MX,BTBTN.MX,BX.MX,BYND.MX,C.MX,CAH.MX,CANN.MX,CARR.MX,CAT.MX,CAT2CK15.MX,CATCK12.MX,CBRE.MX,CCL1N.MX,CEG.MX,CHWY.MX,CIEN.MX,CLF.MX,CLSK.MX,CMCSA.MX,CMG.MX,CMOCTEZ.MX,CMRB.MX,CMS1.MX,COF.MX,COIN.MX,CONVERA.MX,COOP.MX,COST.MX,CPAN.MX,CPRT.MX,CRDON.MX,CRM.MX,CRNC.MX,CROX.MX,CRSPN.MX,CRSR.MX,CRWD.MX,CSCO.MX,CTALPEKA.MX,CTAS.MX,CUERVO.MX,CULTIBAB.MX,CVNA.MX,CVX.MX,CYDSASAA.MX,DAL.MX,DANHOS13.MX,DASH.MX,DDOG.MX,DELLC.MX,DHR.MX,DIABLOSO.MX,DINEA.MX,DIS.MX,DKNG1.MX,DLTR.MX,DOW1.MX,DPZ.MX,DVN.MX,EA.MX,EBAY.MX,ECN.MX,EDUCA18.MX,EFX.MX,EL.MX,ELEKTRA.MX,EN.MX,ENPH.MX,ENRN.MX,EOANN.MX,EOG.MX,EQNRN.MX,ESGMEXISHRS.MX,ETN1N.MX,EW.MX,FANG.MX,FCFE18.MX,FCX.MX,FEMSAUBD.MX,FEXI21.MX,FFIV.MX,FGEN.MX,FI.MX,FIBRAHD15.MX,FIBRAMQ12.MX,FIBRAPL14.MX,FIBRATC14.MX,FIHO12.MX,FINN13.MX,FIS.MX,FMTY14.MX,FND.MX,FNOVA17.MX,FOUR.MX,FPLUS16.MX,FRAGUAB.MX,FRES.MX,FSHOP13.MX,FSLR.MX,FSLY.MX,FTNT.MX,FTSN.MX,FUNO11.MX,FVRRN.MX,GAPB.MX,GBMO.MX,GCC.MX,GE.MX,GEHC.MX,GENIUS21.MX,GENTERA.MX,GEV.MX,GFINBURO.MX,GFNORTEO.MX,GIGANTE.MX,GIS.MX,GISSAA.MX,GLW.MX,GM.MX,GNP.MX,GOLDN.MX,GPN.MX,GRUMAB.MX,GS.MX,HAL.MX,HAS.MX,HCA.MX,HD.MX,HEIN.MX,HERDEZ.MX,HERN.MX,HIMS.MX,HLN1N.MX,HMCN.MX,HOOD.MX,HOTEL.MX,HPE.MX,HPQ.MX,HTZ1.MX,HUM.MX,HUT1.MX,HWM.MX,IBEN.MX,IBM.MX,ICE.MX,ICHB.MX,IDXX.MX,INTC.MX,IONQ.MX,ISRG.MX,ITUBN.MX,IVVPESOISHRS.MX,JCI1N.MX,JDN.MX,JNJ.MX,JPM.MX,KGCN.MX,KGXN.MX,KHC.MX,KIMBERA.MX,KO.MX,KR.MX,KSS.MX,KUOA.MX,KUOB.MX,L.MX,LABB.MX,LACOMERUBC.MX,LAZR.MX,LCID.MX,LIVEPOL1.MX,LIVEPOLC-1.MX,LMND.MX,LMT.MX,LOGC.MX,LOW.MX,LRN.MX,LULU.MX,LUMN.MX,LUV.MX,LVS.MX,MA.MX,MCD.MX,MCN.MX,MDLZ.MX,MELIN.MX,META.MX,MEXTRAC09.MX,MFRISCOA-1.MX,MGM.MX,MMM.MX,MRK.MX,MRNA.MX,MRP2CK16.MX,MRPCK12.MX,MRVL1.MX,MS.MX,MSCI.MX,MSFT.MX,MSTR.MX,MTB.MX,MTD.MX,NBISN.MX,NCLHN.MX,NDAQ.MX,NEE.MX,NEM.MX,NEMAKA.MX,NET.MX,NEXX6CK13.MX,NFLX.MX,NGGN.MX,NOC.MX,NOKN.MX,NOWW.MX,NUN.MX,NVAX.MX,NVON.MX,NXPIN.MX,O.MX,OCGN.MX,OMAB.MX,ONONN.MX,OPEN1.MX,ORBIA.MX,ORCL.MX,OTIS.MX,OXY1.MX,PANW.MX,PARA.MX,PBF.MX,PBFF1CK12.MX,PBRAN.MX,PBRN.MX,PCG.MX,PDDN.MX,PEP.MX,PG.MX,PGR.MX,PHM.MX,PINFRA.MX,PINFRAL.MX,PINS.MX,PKG.MX,PLA2CK17.MX,PLD.MX,PLTR.MX,PM.MX,POCHTECB.MX,POOL.MX,POSADASA.MX,PRYN.MX,PTON.MX,PYPL.MX,Q.MX,QS.MX,QUBT.MX,QVGMEX18.MX,RA.MX,RACEN.MX,RBLX.MX,RCL.MX,RDDT.MX,RELN.MX,RGTI.MX,RIVN.MX,RKT.MX,ROK.MX,ROKU.MX,RUN.MX,RYAAYN.MX,SAPN.MX,SBUX.MX,SCCO.MX,SCHW.MX,SEN.MX,SHAK.MX,SHELN.MX,SHOPN.MX,SHW.MX,SIMECB.MX,SLBN.MX,SMCI.MX,SNOW.MX,SO.MX,SOFI.MX,SOMA21.MX,SONYN.MX,SORIANAB.MX,SPGI.MX,SPORTS.MX,SPOTN.MX,SSEPN.MX,SSNC.MX,STLAN.MX,STNEN.MX,STORAGE18.MX,STZ.MX,SUN.MX,SVTN.MX,SYK.MX,SYM.MX,T.MX,TALN.MX,TBBBN.MX,TCEHYN.MX,TEAKCPO.MX,TEM.MX,TENB.MX,TER.MX,TERRA13.MX,TEVAN.MX,TIGRN.MX,TJX.MX,TKR.MX,TLEVISACPO.MX,TMMA.MX,TMO.MX,TMUS.MX,TOP802E-DC014.MX,TPL.MX,TRAXIONA.MX,TRGP.MX,TSCO1.MX,TSLA.MX,TSMN.MX,TTD.MX,TTN.MX,TTWO.MX,TWLO.MX,TXN.MX,TXRH.MX,U.MX,UAA.MX,UAL.MX,UBER.MX,UCGN.MX,UNH.MX,UPS.MX,UPST.MX,UPWK.MX,V.MX,VALN.MX,VASCONI.MX,VICI.MX,VIEN.MX,VISTAA.MX,VITROA.MX,VIVENN.MX,VOLARA.MX,VRSN.MX,VRT.MX,VSCO.MX,VST.MX,VZ.MX,WALMEX.MX,WBD.MX,WBN.MX,WCNN.MX,WFC.MX,WHR.MX,WMI.MX,WMT.MX,WYNN.MX,X.MX,XEL.MX,XOM.MX,XPEVN.MX,XYZ.MX,Z.MX,ZS.MX,1211N.MX,1810N.MX,4519N.MX,AA1.MX,AAL.MX,AAP.MX,AAPL.MX,ABBV.MX,ABEVN.MX,ABNB.MX,ABT.MX,ACNN.MX,ACTINVRB.MX,ADBE.MX,ADSK.MX,AEMN.MX,AGNC.MX,AGUA.MX,AGUILASCPO.MX,AI1.MX,AIG.MX,ALB.MX,ALFAA.MX,ALLY1.MX,ALSEA.MX,ALTERNAB.MX,AMC.MX,AMD.MX,AMGN.MX,AMP.MX,AMXB.MX,AMZN.MX,ANET.MX,APD.MX
2024-04-30,1033.9420166015625,,,,,568.5299682617188,41.06999969482422,26.25,10.0,4028.677490234375,1300.0,50700.0,2900.0,1249.4234619140625,635.6978149414062,120.0,57.49920272827149,,167.23394775390625,163.0,,985.4024658203124,1788.9000244140625,70.69268798828125,943.6302490234376,60724.1796875,548.8773803710938,4270.0,13137.5146484375,324.79998779296875,,756.9013671875,,667.7583618164062,6802.5,1431.3699951171875,1233.0,38.220001220703125,2020.0169677734373,116.3499984741211,1035.1732177734375,1924.039794921875,15.68000030517578,1038.408203125,5897.451171875,,,1485.969970703125,256.25,3177.3212890625,276.0,880.0,300.0,280.9700012207031,628.9474487304688,1063.030029296875,72.9937744140625,1.649999976158142,1007.0267333984376,2465.5205078125,3495.050048828125,2.2699999809265137,,12397.5546875,1713.706298828125,933.0,,4599.6083984375,267.3099975585937,2311.0,,184.7400054931641,5057.43994140625,805.38525390625,,2454.731689453125,34.3433837890625,9.95473861694336,1374.5,2753.92724609375,18.337871551513672,864.5067749023438,19.03056526184082,2170.0,2168.219970703125,2190.43115234375,4261.80126953125,,31.93000030517578,1897.1123046875,,2020.0999755859373,953.1627807617188,8064.2958984375,882.8379516601562,2199.383056640625,884.9345092773438,199.0343780517578,51.9472885131836,3881.70263671875,2497.2099609375,1105.0,534.52587890625,1887.0,,,2329.161376953125,,49.040000915527344,,1538.5699462890625,3453.8046875,40.84980773925781,863.3131103515625,200.3700408935547,20.01692771911621,3168.919921875,21.770000457763672,2639.800048828125,1.995728611946106,28.643733978271484,65.18051147460938,20.77143669128418,8.683798789978027,5.397106170654297,1225.815673828125,9.426701545715332,1852.0,26.687997817993164,1039.0,7.079999923706055,747.1605224609375,123.74838256835938,5.994479179382324,3073.0,214.0,1092.530029296875,,22.51219367980957,,300.06280517578125,13.43000030517578,191.4327087402344,2814.11572265625,1328.46533203125,68.11000061035156,27.479999542236328,2706.393798828125,47.209999084472656,155.53536987304688,32.0,1137.8056640625,22.27197265625,549.6072998046875,764.6154174804688,135.6849365234375,280.39337158203125,2128.974365234375,331.1900634765625,7313.251953125,616.6212768554688,928.831298828125,5176.18603515625,5700.671875,1677.4136962890625,48.33000183105469,,,,,297.5,3.539999961853028,294.040771484375,484.1754760742188,85.0,5170.798828125,121.33000183105467,1142.319580078125,,2884.97119140625,2308.342529296875,185.02999877929688,8605.0302734375,524.8858642578125,,6464.4599609375,95.1153335571289,95.43000030517578,,494.0,2480.895751953125,3276.139892578125,,637.8900146484375,659.958740234375,35.21067428588867,1056.40576171875,953.9110717773438,466.0653381347656,45.0,44.59999847412109,1269.7919921875,16.01963233947754,36.38204193115234,352.5,44.5,147.0888214111328,134.15110778808594,300.0,7766.2216796875,100.0,3951.232421875,785.0,6192.5,20.989999771118164,449.474853515625,779.219482421875,7749.66943359375,4644.22216796875,14216.595703125,1237.5323486328125,24498.0,7418.4482421875,52.84000015258789,3.4600000381469727,680.0,1660.011474609375,2216.87890625,1906.0,,,1162.8046875,1552.1456298828125,8011.91357421875,6709.42431640625,1830.0,,21280.0,,324.5,1029.2767333984375,1152.3570556640625,701.1705932617188,2.970000028610229,1515.0,,9481.9697265625,,8257.6806640625,62.05875396728516,12250.0,186.009994506836,77.0,2154.130615234375,4184.3798828125,942.5501098632812,23.01000022888184,178.2938232421875,,37.900001525878906,27.95319366455078,1950.59619140625,1586.6470947265625,1156.717529296875,2508.5,198.8125,975.9185180664062,,,289.07440185546875,285.5458984375,2140.0,2985.001953125,2761.58642578125,3641.345458984375,1927.27734375,171.58999633789062,117.48052978515624,577.0,,,1794.4378662109375,377.6499938964844,1669.2425537109375,7.21999979019165,6340.5908203125,28.90999984741211,,54.0,1164.6400146484375,215.3775787353516,90.20999908447266,,29.65999984741211,145.40643310546875,7000.55517578125,620.0,2406.0224609375,,717.7362060546875,,153.77999877929688,215.02523803710932,4642.1923828125,1039.989990234375,176.5,,3065.73388671875,1517.965576171875,2034.676513671875,1269.056884765625,1078.3800048828125,1780.0,,1223.0,5147.74267578125,182.0,819.790283203125,1470.0,2639.0,1151.839111328125,116.0,,,33.95000076293945,7152.5771484375,4.5,4897.0,,1009.2883911132812,,262.0,16.670564651489258,4470.7900390625,,,5742.791015625,734.0999755859375,288.24755859375,,,739.816162109375,1.25,,797.780029296875,1974.560791015625,41.19343948364258,,,1621.8306884765625,1498.6834716796875,9.745758056640623,2.5899999141693115,9758.5693359375,2671.320068359375,,,28.76000022888184,1971.02978515625,933.4244384765624,3149.080078125,2365.748046875,1431.7099609375,,2452.010009765625,1045.0,3045.513671875,,420.4500122070313,114.9000015258789,897.0,1134.0699462890625,,8303.3525390625,2533.343505859375,379.5,244.0,4619.6923828125,,1.7100000381469729,488.6286926269531,,750.0,8.800000190734863,,14.029999732971191,3142.719970703125,,295.0,1215.1885986328125,687.4618530273438,61.38022232055664,127.0199966430664,147.5403594970703,,1004.1432495117188,1617.0576171875,3592.328857421875,1015.3915405273438,1572.02392578125,625.8369140625,883.2384643554688,2031.4818115234373,138.75999450683594,1250.0,696.2000122070312,2965.5,,41.0,,637.6318969726562,231.25,1233.5257568359375,2927.2958984375,2737.9501953125,39.84999847412109,2720.800048828125,1843.376708984375,,14.63925075531006,7984.0,3698.0,,162.6808319091797,28.670000076293945,,386.0,1270.582275390625,2049.128662109375,12.52515697479248,663.71875,70.52330017089844,1.5,50.47999954223633,2730.510009765625,4643.79345703125,6991.80517578125,15.844371795654297,3067.929931640625,1130.0,3782.969482421875
2024-05-31,1106.9935302734375,,,15996.8408203125,,562.7848510742188,41.5099983215332,22.5,10.0,4008.46923828125,1324.3399658203125,47164.69921875,2995.0,1303.73681640625,672.9713745117188,120.0,56.54092025756836,,187.95098876953125,163.0,,962.2987060546876,1649.1099853515625,63.79999923706055,985.4395751953124,63326.90625,545.0021362304688,4270.0,12855.04296875,352.0,,693.306640625,,613.6172485351562,6993.8798828125,1473.541015625,1263.969970703125,42.59999847412109,1942.1033935546875,120.38999938964844,1043.685791015625,1639.3199462890625,17.549999237060547,1100.740478515625,5718.28857421875,,,1485.969970703125,252.009994506836,3842.247314453125,371.1499938964844,880.0,288.5,271.9800109863281,640.2684326171875,1049.699951171875,73.01324462890625,1.5099999904632568,1007.5410766601562,2298.437255859375,3773.0400390625,2.2699999809265137,,13547.3291015625,1715.3121337890625,891.6599731445312,,3932.27001953125,267.3099975585937,2599.0,922.0,196.0,5300.0,779.8837280273438,,2855.452392578125,30.80150413513184,10.573933601379396,1738.550048828125,2745.553466796875,18.28974151611328,856.6089477539062,19.8498592376709,1978.5699462890625,2056.919921875,2372.878173828125,4279.796875,,31.93000030517578,1749.5621337890625,595.0,1960.0,947.8790283203124,8473.986328125,804.6630859375,2223.79736328125,904.905517578125,199.0343780517578,51.6016845703125,3882.092529296875,2081.28271484375,1096.18994140625,535.0250244140625,2170.0,,,2065.814697265625,,47.880001068115234,5561.3818359375,1490.97998046875,3455.772216796875,40.84980773925781,886.3564453125,193.29920959472656,19.57961654663086,3168.919921875,22.350000381469727,2525.0,2.17543888092041,29.634349822998047,66.72089385986328,20.38533401489257,8.91137409210205,5.365293979644775,1295.7481689453125,9.500636100769045,1915.0,26.59352684020996,1140.5999755859375,8.579999923706055,851.2571411132812,129.78854370117188,5.8519792556762695,4662.39013671875,129.0,998.0,,22.38814353942871,,306.22784423828125,13.43000030517578,185.5500030517578,2759.044677734375,1337.8846435546875,75.05999755859375,26.209999084472656,2966.383544921875,45.400001525878906,147.52610778808594,31.0,1137.8056640625,21.549999237060547,601.4236450195312,749.3931274414062,140.0,284.9604187011719,1699.1812744140625,325.5816650390625,7630.09521484375,604.2859497070312,1018.411865234375,5197.8671875,5604.08740234375,,51.22999954223633,,,,,385.0,3.5,308.8700866699219,614.5833740234375,78.0,5996.287109375,145.8000030517578,1304.593994140625,224.52999877929688,2801.73828125,2244.20166015625,184.77999877929688,8456.599609375,519.1729125976562,,6775.0,83.14215087890625,98.2699966430664,,504.2300109863281,2487.092041015625,3423.884765625,,638.5900268554688,602.0020141601562,35.13190460205078,1058.642333984375,879.269287109375,466.0653381347656,44.95000076293945,42.0,1269.8544921875,17.070255279541016,37.14640808105469,403.5,47.720001220703125,151.99000549316406,129.0,280.0,7824.4619140625,85.0,3716.416015625,785.0,5296.68017578125,20.209999084472656,455.2378845214844,755.9337158203125,7526.63671875,4349.29296875,13571.0224609375,1188.33154296875,,7898.568359375,,3.7300000190734863,673.5,1663.697021484375,2079.6943359375,2402.0,,,1172.8028564453125,1642.8372802734375,8281.455078125,6911.2421875,2601.69091796875,,24355.0,,281.989990234375,1031.664794921875,1339.679931640625,695.9766845703125,3.2799999713897705,1242.0,,10806.0,,7890.06787109375,64.07708740234375,11040.0,200.1199951171875,257.4599914550781,2288.244384765625,,928.5863037109376,28.0,174.02000427246094,,42.0,27.72390365600586,1972.3736572265625,1608.0455322265625,1055.4124755859375,2479.31494140625,199.96142578125,787.4174194335938,,,259.8744506835937,285.5458984375,2546.610107421875,2975.01904296875,2756.58251953125,3446.541015625,2001.279541015625,186.3300018310547,126.14713287353516,695.0,,,1808.313232421875,366.989990234375,1676.226806640625,7.0,6083.919921875,28.90999984741211,,60.310001373291016,1055.3599853515625,217.7400054931641,98.3000030517578,,28.690000534057617,142.12115478515625,6867.3017578125,544.9500122070312,2483.101318359375,,722.0532836914062,,184.0800018310547,234.3347625732422,4555.4111328125,978.0,243.9900054931641,,3061.139892578125,1356.0653076171875,2016.9107666015625,1229.1571044921875,1133.3199462890625,1590.0,,995.0,5034.34228515625,185.0,775.459228515625,1312.0,2295.5,1307.36474609375,117.1999969482422,,,32.31999969482422,7140.07861328125,4.800000190734863,,,1009.2883911132812,,282.0,15.265419006347656,4194.54833984375,4173.52001953125,,5619.408203125,822.5,306.2406005859375,195.0,,788.0700073242188,1.3200000524520874,,766.5999755859375,2409.6103515625,37.74692153930664,,,1720.189453125,1499.023193359375,11.199999809265137,2.609999895095825,9598.5927734375,2894.919189453125,,,29.89999961853028,1971.02978515625,938.6618041992188,2998.669921875,2556.576416015625,1586.5,,2705.0,962.7000122070312,3352.4921875,,311.1000061035156,121.0,892.5499877929688,1088.9599609375,,8421.7578125,2295.4765625,419.0,244.0,4578.50537109375,,1.6799999475479126,473.6706848144531,,817.1500244140625,9.109999656677246,,13.529999732971191,2912.080078125,,295.0,1674.2955322265625,647.890625,61.28409194946289,140.99000549316406,165.17347717285156,,1005.0670776367188,1461.2911376953125,3562.65087890625,1097.444091796875,1574.3128662109375,650.450927734375,936.6519165039062,1980.5196533203125,141.80999755859375,1071.699951171875,747.5,2800.0,,,,755.6741943359375,195.0,1228.4620361328125,3245.19775390625,2687.78271484375,38.47999954223633,2438.0,1734.237548828125,,15.863155364990234,7467.08984375,3337.409912109375,,161.0222625732422,29.0,,490.0,1326.2801513671875,2113.070068359375,11.786032676696776,646.7387084960938,67.25,1.5499999523162842,73.62000274658203,2808.3701171875,5179.2548828125,7315.87109375,15.281274795532228,2979.0400390625,1252.4625244140625,3782.969482421875
2024-06-28,1245.4840087890625,,18730.0,18125.849609375,,551.5499877929688,46.0,23.0,8.649999618530273,4220.6767578125,1440.0,54300.0,3340.989990234375,1318.8599853515625,729.3683471679688,,53.70184326171875,,192.6934356689453,163.0,,1087.65380859375,1588.0,64.61000061035156,985.4395751953124,73241.328125,598.027587890625,4270.0,14424.9599609375,320.0,,764.5327758789062,,638.56103515625,7456.9599609375,1637.186767578125,1409.0,,2268.772705078125,125.6999969482422,1154.4453125,1639.3199462890625,18.700000762939453,1100.9305419921875,6111.9638671875,,,1614.469970703125,340.70001220703125,3648.881103515625,494.0,880.0,280.010009765625,291.989990234375,706.9668579101562,1148.530029296875,70.58920288085938,1.399999976158142,1007.5410766601562,2536.50732421875,4059.89990234375,1.940000057220459,,15602.703125,1715.3121337890625,997.1099853515624,,4726.87939453125,267.3099975585937,2741.260009765625,,195.0,7055.0400390625,871.086181640625,,3226.8828125,32.55764389038086,11.431279182434082,2417.989990234375,2876.352294921875,17.558151245117188,867.6039428710938,18.51778030395508,1978.5699462890625,2145.0,2512.7529296875,4579.16064453125,,31.93000030517578,1809.503662109375,699.0,1950.0,1014.7294311523438,9428.2724609375,843.5892944335938,2578.898193359375,980.35595703125,199.0343780517578,49.84086990356445,3882.092529296875,1928.40869140625,1055.81005859375,535.0250244140625,1810.0,,,2255.494140625,,46.15999984741211,5766.8037109375,1623.5,3471.383056640625,41.5,889.3541870117188,195.3080902099609,19.57961654663086,3168.919921875,22.0,2726.0,2.1281466484069824,29.533262252807617,57.77891159057617,19.33399772644043,9.342569351196287,4.763845920562744,1296.1077880859375,9.087121963500977,1827.469970703125,26.59352684020996,1315.0,8.369999885559082,904.7647094726562,129.78854370117188,5.832979679107666,4150.0,132.00999450683594,1113.199951171875,,21.063512802124023,,275.6711730957031,13.199999809265137,172.4600067138672,2901.885009765625,1442.8756103515625,86.63999938964844,22.670000076293945,3220.263671875,43.38999938964844,138.78155517578125,29.89999961853028,1137.8056640625,22.26000022888184,699.329833984375,853.1951904296875,140.0,307.7505187988281,1733.9442138671875,330.3029479980469,8253.1728515625,618.4421997070312,1130.2354736328125,6145.455078125,6293.00341796875,,53.18999862670898,,,,,412.5,3.690000057220459,390.6047973632813,657.157470703125,76.0199966430664,6596.80078125,145.8000030517578,1516.8187255859375,,3146.337158203125,2489.7568359375,186.8000030517578,8913.2001953125,568.1071166992188,,8125.02978515625,98.53884887695312,103.75,,473.0,2678.568359375,3695.622802734375,,638.5900268554688,583.9393920898438,31.06534576416016,1159.7452392578125,892.2584838867188,411.2288818359375,41.0,43.0,1407.4886474609375,16.75128173828125,35.349647521972656,384.0,47.459999084472656,131.0,131.47999572753906,300.989990234375,8491.873046875,101.0,4003.32275390625,785.0,5482.0,20.0,518.97705078125,811.8917846679688,8043.09130859375,4634.0546875,,1205.63232421875,30130.0,9330.9404296875,48.77000045776367,3.400000095367432,809.0,1865.1591796875,2287.327880859375,2168.050048828125,,,1274.785888671875,1764.412109375,8807.9521484375,8273.46484375,2583.9599609375,2710.54736328125,25606.51953125,,345.0,1089.4752197265625,1318.8465576171875,768.3670654296875,2.890000104904175,1506.030029296875,,12370.0,,7839.99951171875,67.94389343261719,13510.0,236.3300018310547,229.0,2623.938232421875,,954.9378051757812,27.0,155.25,,35.0,25.461305618286133,2594.718505859375,1774.0238037109375,1155.0,3105.93505859375,187.87257385253903,831.167724609375,,,259.2507629394531,320.0592956542969,2431.300048828125,2999.31005859375,3017.86865234375,3808.177978515625,1986.455078125,169.3000030517578,113.6287078857422,808.1300048828125,3363.51708984375,,2022.1605224609373,461.9800109863281,1843.1519775390625,6.489999771118164,5636.146484375,27.950000762939453,,61.9900016784668,1062.010009765625,185.97999572753903,89.8499984741211,,27.1299991607666,132.43240356445312,7571.01611328125,680.0,2929.8095703125,,838.4979858398438,,244.0,269.0181884765625,4555.4111328125,1099.8599853515625,217.0,,3682.0,1431.3284912109375,1882.5997314453125,1368.8519287109375,1310.0,1640.0,,1200.02001953125,5483.33642578125,185.9900054931641,868.6536254882812,1502.208984375,2465.0,1423.2197265625,119.98999786376952,,,30.989999771118164,8024.33984375,4.900000095367432,5787.0,,1009.5283203125,,237.8000030517578,14.682331085205078,4663.7119140625,,,6194.740234375,680.0,348.49029541015625,195.6000061035156,,857.4099731445312,1.2000000476837158,,721.8499755859375,2676.367431640625,38.54730987548828,,,2024.0111083984373,1499.023193359375,10.039999961853027,3.799999952316284,10018.3193359375,3244.074951171875,,,27.200000762939453,2066.19873046875,993.4071655273438,3601.919921875,3199.97998046875,1779.5,6017.85986328125,2900.0,1028.0,3622.899658203125,,297.0,121.0,885.0,1330.4000244140625,,9229.0712890625,2445.181640625,428.0,244.0,4807.1015625,,1.6299999952316284,517.4619750976562,,842.5900268554688,9.0,,11.59000015258789,3165.0,,295.0,1614.535400390625,743.9877319335938,60.07283020019531,136.9199981689453,150.4293975830078,3212.031005859375,1051.0244140625,1765.5189208984375,3870.69189453125,1239.507568359375,1640.4339599609375,683.8748779296875,937.1986083984376,2099.390625,132.0,1171.0,747.5,3533.0,,,,709.6939697265625,205.3999938964844,1148.56201171875,3888.67822265625,3088.6337890625,37.5,2800.0,1908.0611572265625,5521.0869140625,,10188.08984375,4537.080078125,,178.03900146484375,27.350000381469727,41.40999984741211,,1326.6798095703125,1728.7650146484375,10.647381782531738,712.1616821289062,63.59999847412109,1.5700000524520874,88.2300033569336,2962.669921875,5674.55615234375,7986.11474609375,15.13564682006836,3537.739990234375,1605.635009765625,5156.2421875
