Date,ALTR.LS,BCP.LS,BFCPY.LS,BFNI1.LS,BGNVA.LS,BMENY.LS,BMENZ.LS,BOTEZ.LS,BSLBN.LS,BSLSM.LS,BTGNV.LS,CDU.LS,COR.LS,EDP.LS,EDPR.LS,EGL.LS,GALP.LS,IBS.LS,IPR.LS,JMT.LS,MAR.LS,MCP.LS,NVG.LS,OTEP.LS,OTEV.LS,OTEW.LS,OTEY.LS,OTRVG.LS,PHR.LS,PSI20.LS,PTFCPCOM0018.LS,PTFCPZOM0011.LS,PTGNVKOM0008.LS,PTMENWOM0015.LS,PTOTE3OE0025.LS,PTSCPAOM0007.LS,PTSINCOM0001.LS,PTSLBOOM0006.LS,PTVAACOM0009.LS,PTVAIAOM0003.LS,RAM.LS,SCP.LS,SEM.LS,VAF.LS
2024-04-30,4.940625190734863,0.3118597865104675,,,,,,,,,,26.69629669189453,9.381861686706545,3.338651418685913,12.329389572143556,3.945910215377808,20.432531356811523,6.543746948242188,0.1424999982118606,18.728103637695312,1.5950000286102295,1.2019000053405762,3.7782392501831055,,,,,,0.0483999997377395,6615.56005859375,,,,,,,,,,,6.535890579223633,1.0199999809265137,15.24517059326172,0.9700000286102296
2024-05-31,5.034999847412109,0.3527641296386719,,,,,,,,,,28.0,9.579999923706056,3.7309999465942383,14.556336402893066,4.007999897003174,19.53734588623047,6.8979668617248535,0.1299999952316284,20.57999992370605,1.7549999952316284,1.1446666717529297,3.6526618003845215,,,,,,0.0472000017762184,6870.81005859375,,,,,,,,,,,6.539999961853027,0.9449999928474426,14.919174194335938,1.0399999618530271
2024-06-28,5.385000228881836,0.3366000056266784,,,,,,,,,,28.0,9.010000228881836,3.499000072479248,12.90490436553955,3.441999912261963,19.94700813293457,6.820000171661377,0.12950000166893,18.25,1.5800000429153442,1.2400555610656738,3.7359695434570312,,,,,,0.0441999994218349,6480.06005859375,,,,,,,,,,,6.460000038146973,0.8999999761581421,14.380000114440918,1.1399999856948853
2024-07-31,5.025000095367432,0.3898000121116638,,,,,,,,,,28.0,9.100000381469728,3.799999952316284,14.180561065673828,3.625999927520752,19.67895698547364,6.980000019073486,0.1344999969005584,16.149999618530273,1.590000033378601,1.1446666717529297,3.605220317840576,,,,,,0.0476000010967254,6708.39013671875,,,,,,,,,,,6.699999809265137,0.8999999761581421,14.960000038146973,1.1100000143051147
2024-08-30,4.915999889373779,0.4158999919891357,,,,,,,,,,28.0,8.979999542236328,3.796000003814697,14.30911636352539,3.068000078201294,19.25880241394043,7.199999809265137,0.1309999972581863,16.739999771118164,1.6200000047683716,1.2400555610656738,3.547536849975586,,,,,,0.0456000007688999,6760.14990234375,,,,,,,,,,,6.840000152587891,0.8999999761581421,14.4399995803833,1.0700000524520874
2024-09-30,5.019999980926514,0.4054000079631805,,,,,,,,,,28.0,8.850000381469727,4.102000236511231,15.53532886505127,2.565999984741211,17.246688842773438,7.239999771118164,0.1209999993443489,17.639999389648438,1.7799999713897705,1.7170000076293943,3.545614004135132,,,,,,0.0441999994218349,6792.8701171875,,,,,,,,,,,6.880000114440918,1.0,14.4399995803833,1.0700000524520874
2024-10-31,4.973999977111816,0.4634000062942505,,,,,,,,,,20.799999237060547,8.380000114440918,3.611999988555908,12.242353439331056,2.559999942779541,16.08664321899414,7.360000133514404,0.123999997973442,17.8700008392334,1.7599999904632568,1.7999999523162842,3.399482488632202,,,,,,0.0408000014722347,6532.77001953125,,,,,,,,,,,6.980000019073486,1.0199999809265137,14.760000228881836,1.059999942779541
2024-11-29,4.980000019073486,0.4478000104427337,,,,,,,,,,20.799999237060547,8.319999694824219,3.421999931335449,10.956807136535645,2.609999895095825,15.53499984741211,7.5,0.1199999973177909,18.440000534057617,1.6799999475479126,1.7999999523162842,3.297574996948242,,,,,,0.0416000001132488,6418.33984375,,,,,,,,,,,7.239999771118164,0.9850000143051147,13.779999732971191,1.0299999713897705
2024-12-31,5.329999923706055,0.4647000133991241,,,,,,,,,,21.0,8.050000190734863,3.0910000801086426,9.928370475769045,2.9140000343322754,15.949999809265137,7.480000019073486,0.1099999994039535,18.450000762939453,1.7450000047683716,1.75,3.451397657394409,,,,,,0.046399999409914,6377.259765625,,,,,,,,,,,6.920000076293945,0.9100000262260436,14.18000030517578,1.0199999809265137
2025-01-31,5.760000228881836,0.5054000020027161,,,,,,,,,,24.600000381469727,8.449999809265137,3.0360000133514404,8.934544563293457,2.885999917984009,16.209999084472656,8.5,0.1070000007748603,19.049999237060547,1.75,2.0,3.5299999713897705,,,,,,0.0498000010848045,6524.2900390625,,,,,,,,,,,7.039999961853027,0.9700000286102296,15.020000457763672,1.0299999713897705
2025-02-28,6.054999828338623,0.5365999937057495,,,,,,,,,,24.600000381469727,8.199999809265137,3.109999895095825,8.489547729492188,2.990000009536743,15.895000457763672,8.539999961853027,0.1059999987483024,20.76000022888184,1.7899999618530271,2.0,3.257999897003174,,,,,,0.0522000007331371,6800.10009765625,,,,,,,,,,,7.139999866485596,0.9700000286102296,15.039999961853027,1.0099999904632568
2025-03-31,5.96999979019165,0.557200014591217,,,,,,,,,,22.600000381469727,8.0,3.111999988555908,7.624276638031006,3.400000095367432,16.229999542236328,8.739999771118164,0.1019999980926513,19.600000381469727,1.8799999952316284,1.950000047683716,3.2739999294281006,,,,,,0.0529999993741512,6865.6201171875,,,,,,,,,,,7.380000114440918,0.959999978542328,15.279999732971191,1.0099999904632568
