Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
89,Al Mohafaza Company for Educati,9598.SR,11.74,0.317,,
90,Walaa Cooperative Insurance Company,8060.SR,14.09,0.377,1.114,Yes
91,Theeb Rent A Car Company,4261.SR,8.63,0.242,0.461,Yes
92,Saudi Arabian Mining Company (Ma'aden),1211.SR,14.84,0.42,1.722,Yes
93,Marble Design Factory Company,9575.SR,13.08,0.376,,
94,Group Five Pipe Saudi Company,9523.SR,14.93,0.455,1.282,Yes
95,Osool and Bakheet Investment Co,9586.SR,14.32,0.452,,
96,Fitaihi Holding Group,4180.SR,9.81,0.316,1.321,Yes
97,Maharah for Human Resources Company,1831.SR,8.47,0.29,1.044,Yes
98,Thob Al Aseel Company,4012.SR,8.82,0.314,1.138,Yes
99,Mobile Telecommunications Company Saudi Arabia,7030.SR,8.12,0.294,1.077,Yes
100,Al Hammadi Holding Company,4007.SR,7.92,0.29,1.13,Yes
101,Balsm Alofoq Medical Co.,9620.SR,6.55,0.248,,
102,Canadian General Medical Center Complex Company,9518.SR,7.3,0.302,0.677,Yes
103,Al-Etihad Cooperative Insurance Company,8170.SR,7.64,0.333,0.382,Yes
104,Arab National Bank,1080.SR,5.57,0.255,0.871,Yes
105,Twareat Medical Care Company,9627.SR,19.95,0.872,,
106,Al Rajhi Banking and Investment Corporation,1120.SR,5.01,0.239,1.336,Yes
107,Alinma Bank,1150.SR,3.32,0.216,1.075,Yes
108,Al Yamamah Steel Industries Company,1304.SR,5.29,0.371,1.513,Yes
109,Batic Investments and Logistics Company,4110.SR,5.18,0.384,1.086,Yes
110,Almoosa Health Company,4018.SR,4.62,0.376,,
111,Gulf Insurance Group,8250.SR,3.4,0.292,0.963,Yes
112,Power and Water Utility Company for Jubail and Yanbu,2083.SR,3.01,0.304,,
113,Jabal Omar Development Company,4250.SR,3.33,0.349,1.653,Yes
114,Arabian Shield Cooperative Insurance Company,8070.SR,1.44,0.216,0.662,Yes
115,Abdullah Al-Othaim Markets Company,4001.SR,1.39,0.213,0.664,Yes
116,City Cement Company,3003.SR,1.7,0.275,1.093,Yes
117,Kingdom Holding Company,4280.SR,1.95,0.332,0.937,Yes
118,Alistithmar AREIC Diversified REIT,4350.SR,4.76,0.882,,
119,The Saudi Investment Bank,1030.SR,0.97,0.196,0.918,Yes
120,Bank Albilad,1140.SR,1.15,0.304,1.629,Yes
121,Al Masane Al Kobra Mining Company,1322.SR,0.95,0.26,0.95,Yes
122,Mutakamela Insurance Company,8040.SR,0.9,0.25,0.628,Yes
123,SHL Finance Company,1183.SR,0.55,0.154,0.066,Yes
124,Aljazira Takaful Taawuni Company,8012.SR,0.83,0.246,0.937,Yes
125,Riyad Bank,1010.SR,0.85,0.273,1.259,Yes
126,Knowledge Net Computer Company,9561.SR,0.83,0.403,,
127,Saudi Pharmaceutical Industries and Medical Appliances Corporation,2070.SR,0.39,0.442,1.468,Yes
128,Advance International Company for Communication and Information Technology,9524.SR,-0.12,0.507,0.899,Yes
129,Saudi Awwal Bank,1060.SR,-0.28,0.201,0.845,Yes
130,Saudi Tadawul Group Holding Company,1111.SR,-0.57,0.372,1.604,Yes
131,Saudi Advanced Industries Company,2120.SR,-0.77,0.335,1.319,Yes
132,Jadwa Investment - Jadwa Reit Saudi Fund,4342.SR,-0.44,0.172,0.51,Yes
133,Buruj Cooperative Insurance Company,8270.SR,-1.22,0.289,0.839,Yes
134,Saudi Public Transport Company,4040.SR,-1.24,0.259,1.142,Yes
135,Filling and Packing Materials Manufacturing Company,2180.SR,-1.7,0.322,1.055,Yes
136,Sumou Real Estate Company,4323.SR,-2.24,0.391,1.238,Yes
137,Salama Cooperative Insurance Company,8050.SR,-3.49,0.486,0.678,Yes
138,Saudi Cement Company,3030.SR,-1.2,0.154,0.481,Yes
139,Fad International Company,9589.SR,-3.52,0.408,,
140,Almujtama Alraida Medical Co.,9592.SR,-1.85,0.175,,
141,Saudi Research and Media Group,4210.SR,-4.49,0.394,1.644,Yes
142,Fawaz Abdulaziz Al Hokair & Company,4240.SR,-5.9,0.519,0.903,Yes
143,Tadawul All Shares Index,^TASI.SR,-2.27,0.155,1.0,Yes
144,Jarir Marketing Company,4190.SR,-2.18,0.148,0.305,Yes
145,Al Gassim Investment Holding Company,6020.SR,-5.39,0.337,1.16,Yes
146,Mouwasat Medical Services Company,4002.SR,-6.03,0.377,1.412,Yes
147,L'azurde Company for Jewelry,4011.SR,-3.89,0.226,1.127,Yes
148,Saudi Ceramic Company,2040.SR,-6.03,0.348,1.129,Yes
149,Saudi Printing and Packaging Co.,4270.SR,-6.03,0.304,0.88,Yes
150,Scientific and Medical Equipment House Company,4014.SR,-5.02,0.25,1.299,Yes
151,Saudi Top for Trading Company,9552.SR,-5.06,0.247,,
152,Amwaj International Company,9537.SR,-11.99,0.567,,
153,Wafrah for Industry and Development Company,2100.SR,-8.22,0.372,1.316,Yes
154,Al Sagr Cooperative Insurance Company,8180.SR,-11.69,0.525,0.513,Yes
155,Arabian Drilling Company,2381.SR,-6.45,0.269,,
156,Arabian Cement Company,3010.SR,-5.74,0.215,0.834,Yes
157,National Metal Manufacturing and Casting Co.,2220.SR,-8.58,0.323,1.549,Yes
158,Leen Alkhair Trading Company,9555.SR,-6.75,0.251,,
159,Naqi Water Company,2282.SR,-8.54,0.306,,
160,Halwani Bros. Co. Ltd.,6001.SR,-9.83,0.345,1.476,Yes
161,Eastern Province Cement Company,3080.SR,-4.89,0.165,0.444,Yes
162,Middle East Company for Manufacturing and Producing Paper,1202.SR,-9.8,0.339,1.272,Yes
163,Americana Restaurants International PLC,6015.SR,-8.78,0.289,,
164,Riyal Investment and Developmen,9584.SR,-4.76,0.152,,
165,Jadwa REIT Al Haramain Fund,4332.SR,-4.88,0.154,0.609,Yes
166,Natural Gas Distribution Company,9516.SR,-9.62,0.303,0.182,Yes
167,Aljazira Mawten REIT Fund,4331.SR,-7.85,0.231,0.63,Yes
168,Tabuk Cement Company,3090.SR,-5.99,0.174,0.592,Yes
169,Saudi Fisheries Company,6050.SR,-14.16,0.41,0.991,Yes
170,Jazan Development and Investment Company,6090.SR,-9.49,0.268,1.357,Yes
171,Zahrat Al Waha For Trading Company,3007.SR,-9.54,0.269,1.257,Yes
172,Nahdi Medical Company,4164.SR,-6.51,0.179,0.445,Yes
173,Al Jouf Cement Company,3091.SR,-8.52,0.22,0.53,Yes
174,Emaar The Economic City,4220.SR,-11.38,0.277,1.095,Yes
175,MBC Group Co.,4072.SR,-17.08,0.42,,
176,Abdulaziz and Mansour Ibrahim Albabtin Co.,9549.SR,-10.05,0.237,,
177,Horizon Food Company Limited,9564.SR,-11.94,0.268,,
178,Yanbu Cement Company,3060.SR,-10.9,0.241,0.718,Yes
179,SEDCO Capital REIT Fund,4344.SR,-6.96,0.144,0.495,Yes
180,Basma Adeem Medical Co.,9626.SR,-24.94,0.552,,
181,Saudi Arabian Refineries Company,2030.SR,-13.16,0.272,1.374,Yes
182,The First Milling Company,2283.SR,-12.11,0.241,,
183,Jahez International Company for Information Systems Technology,6017.SR,-22.69,0.476,,
184,Alahli Capital - Al-Ahli Reit Fund,4338.SR,-8.26,0.16,0.608,Yes
185,Mohammed Hasan AlNaqool Sons Co.,9514.SR,-19.66,0.396,,
186,Alamar Foods Company,6014.SR,-14.61,0.275,,
187,Al-Omran Industrial Trading Company,4141.SR,-11.69,0.216,1.032,Yes
188,Watani Iron Steel Company,9513.SR,-16.28,0.3,0.62,Yes
189,Al-Razi Medical Company,9572.SR,-20.23,0.369,,
190,Qassim Cement Company,3040.SR,-8.32,0.141,0.276,Yes
191,Alhasoob Co.,9522.SR,-23.62,0.429,0.584,Yes
192,Ghida Al-Sultan Company,9567.SR,-20.08,0.35,,
193,Saudi Industrial Investment Group,2250.SR,-15.39,0.244,0.668,Yes
194,WSM for Information Technology ,9595.SR,-22.33,0.366,,
195,Saudi Arabian Oil Company,2222.SR,-9.43,0.141,0.525,Yes
196,Shatirah House Restaurant Co.,6016.SR,-20.19,0.317,,
197,Northern Region Cement Company,3004.SR,-9.47,0.14,0.619,Yes
198,Riyad REIT Fund,4330.SR,-12.92,0.175,0.737,Yes
199,Herfy Food Services Company,6002.SR,-18.46,0.25,1.096,Yes
200,Saudi Electricity Company,5110.SR,-12.21,0.158,0.684,Yes
201,Al Obeikan Glass Company,9531.SR,-18.62,0.249,0.035,Yes
202,Saudi Manpower Solutions Company,1834.SR,-25.09,0.346,,
203,Takween Advanced Industries,1201.SR,-28.9,0.331,0.805,Yes
204,Najran Cement Company,3002.SR,-17.89,0.19,0.712,Yes
205,Munawla Cargo Co. Ltd.,9571.SR,-22.83,0.245,,
206,Mulkia Gulf Real Estate REIT,4336.SR,-13.56,0.122,0.432,Yes
207,Muscat Capital - Al Masha'ar REIT Fund,4337.SR,-17.2,0.151,,
208,Al Majed Oud Co.,4165.SR,-31.33,0.294,,
209,Southern Province Cement Company,3050.SR,-16.75,0.136,0.437,Yes
210,Saudi Kayan Petrochemical Company,2350.SR,-29.18,0.251,0.661,Yes
211,Musharaka REIT Fund,4335.SR,-19.63,0.142,0.308,Yes
212,Modern Mills for Food Products ,2284.SR,-30.57,0.22,,
213,United International Holding Company,4083.SR,-16.59,0.106,,
214,Derayah Financial - Derayah Reit Fund,4339.SR,-17.7,0.114,0.399,Yes
215,Banan Real Estate Co.,4324.SR,-57.85,0.227,,
216,Lamasat Co.,9628.SR,-31.87,0.053,,
217,Shalfa Facilities Management Company,9613.SR,-44.68,0.048,,
218,Umm Al Qura for Development and,4325.SR,69.88,,,
219,Hedab Alkhaleej Trading Co.,9631.SR,14.18,,,
