Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
124,Arctic Fish Holding AS,AFISH.OL,-6.11,0.377,0.147,Yes
125,Elliptic Laboratories ASA,ELABS.OL,-9.35,0.56,0.238,Yes
126,SoftOx Solutions AS,SOFTX.OL,-31.74,2.021,0.978,Yes
127,Sea1 Offshore Inc.,SEA1.OL,-6.84,0.364,,
128,Argeo ASA,ARGEO.OL,-18.15,1.01,3.015,Yes
129,Andfjord Salmon Group AS,ANDF.OL,-5.45,0.273,0.033,Yes
130,Cyviz AS,CYVIZ.OL,-5.26,0.258,0.386,Yes
131,Medistim ASA,MEDI.OL,-8.5,0.372,0.046,Yes
132,ReFuels N.V.,REFL.OL,-11.82,0.519,,
133,Golden Energy Offshore Services ASA,GEOS.OL,-12.85,0.566,1.061,Yes
134,Awilco LNG ASA,ALNG.OL,-8.59,0.367,0.265,Yes
135,Navamedic ASA,NAVA.OL,-6.36,0.256,0.032,Yes
136,Interoil Exploration and Production ASA,IOX.OL,-26.09,1.152,2.383,Yes
137,Vow Green Metals AS,VGM.OL,-22.23,0.856,2.294,Yes
138,poLight ASA,PLT.OL,-21.75,0.831,0.424,No
139,Aquila Holdings ASA,AQUIL.OL,-8.63,0.304,0.606,Yes
140,ContextVision AB (publ),CONTX.OL,-9.19,0.311,0.308,Yes
141,Golden Ocean Group Limited,GOGL.OL,-10.98,0.371,0.763,Yes
142,KMC Properties ASA,KMCP.OL,-24.68,0.861,0.366,No
143,AutoStore Holdings Ltd.,AUTO.OL,-22.14,0.759,2.194,Yes
144,Salmon Evolution ASA,SALME.OL,-8.56,0.273,1.044,Yes
145,Elkem ASA,ELK.OL,-12.14,0.388,1.526,Yes
146,Photocure ASA,PHO.OL,-13.6,0.427,0.321,Yes
147,Kongsberg Automotive ASA,KOA.OL,-14.33,0.434,1.389,Yes
148,Equinor ASA,EQNR.OL,-8.06,0.232,1.147,Yes
149,Icelandic Salmon AS,ISLAX.OL,-7.84,0.222,0.235,Yes
150,"Shelf Drilling, Ltd.",SHLF.OL,-22.25,0.674,2.054,Yes
151,Avance Gas Holding Ltd,AGAS.OL,-25.98,0.799,1.77,Yes
152,Alternus Energy Group Plc,ALT.OL,-41.26,1.281,2.112,Yes
153,Black Sea Property AS,BSP.OL,-26.12,0.724,0.911,No
154,Zelluna ASA,ZLNA.OL,-32.31,0.894,0.733,Yes
155,5th Planet Games A/S,5PG.OL,-17.25,0.434,0.058,No
156,Pyrum Innovations AG,PYRUM.OL,-16.51,0.409,0.123,Yes
157,Akobo Minerals AB (publ),AKOBO.OL,-28.41,0.69,0.913,Yes
158,Norcod AS,NCOD.OL,-29.4,0.69,0.045,No
159,REC Silicon ASA,RECSI.OL,-32.97,0.791,0.16,Yes
160,Aqua Bio Technology ASA,ABTEC.OL,-35.95,0.853,0.656,No
161,NorAm Drilling AS,NORAM.OL,-10.09,0.202,,
162,Western Bulk Chartering AS,WEST.OL,-19.71,0.392,1.015,Yes
163,Huddlestock Fintech AS,HUDL.OL,-27.33,0.557,1.32,Yes
164,Aker Carbon Capture ASA,ACC.OL,-31.46,0.647,0.861,Yes
165,Seacrest Petroleo Bermuda Limited,SEAPT.OL,-61.81,1.597,,
166,Northern Ocean Ltd.,NOL.OL,-21.21,0.404,1.598,Yes
167,HydrogenPro ASA,HYPRO.OL,-30.15,0.57,0.475,Yes
168,Havila Kystruten AS,HKY.OL,-36.2,0.702,0.997,Yes
169,StrongPoint ASA,STRO.OL,-20.02,0.351,0.582,Yes
170,Norske Skog ASA,NSKOG.OL,-25.71,0.445,1.214,Yes
171,Hexagon Purus ASA,HPUR.OL,-43.98,0.857,0.754,Yes
172,Byggma ASA,BMA.OL,-14.47,0.234,0.294,Yes
173,NRC Group ASA,NRC.OL,-27.21,0.47,0.626,Yes
174,OKEA ASA,OKEA.OL,-24.1,0.387,1.4,Yes
175,Arendals Fossekompani ASA,AFK.OL,-21.76,0.339,1.031,Yes
176,Havila Shipping ASA,HAVI.OL,-45.31,0.807,2.481,Yes
177,Otovo ASA,OTOVO.OL,-47.57,0.822,0.071,Yes
178,Nel ASA,NEL.OL,-37.66,0.602,1.947,Yes
179,EXACT Therapeutics AS,EXTX.OL,-36.31,0.565,0.124,No
180,Ocean GeoLoop AS,OCEAN.OL,-34.83,0.535,1.343,Yes
181,Elektroimportøren AS,ELIMP.OL,-36.36,0.483,1.296,Yes
182,Nykode Therapeutics AS,NYKD.OL,-47.66,0.626,1.365,Yes
183,Vow ASA,VOW.OL,-52.42,0.685,1.55,Yes
184,Circio Holding ASA,CRNAO.OL,-62.74,0.808,0.613,Yes
185,Circio Holding ASA,CRNA.OL,-62.74,0.808,0.613,Yes
186,Prosafe SE,PRS.OL,-55.64,0.645,0.925,Yes
187,Dolphin Drilling AS,DDRIL.OL,-61.67,0.731,,
188,Hermana Holding ASA,HERMA.OL,-38.17,0.365,,
189,IDEX Biometrics ASA,IDEX.OL,-72.33,0.92,1.652,Yes
190,Energeia AS,ENERG.OL,-67.54,0.745,,
191,River Tech p.l.c.,RIVER.OL,-33.32,0.271,0.183,Yes
192,Aker Horizons ASA,AKH.OL,-57.01,0.451,0.512,Yes
193,Ocean Sun AS,OSUN.OL,-52.16,0.335,0.732,Yes
194,PARATUS ENERGY SERVICES LTD.,PLSV.OL,-42.26,0.185,,
195,Constellation Oil Services Holding S.A.,COSH.OL,-54.27,,,
