Date,AKO1L.VS,AMG1L.VS,APG1L.VS,AUG1L.VS,GRG1L.VS,IGN1L.VS,INC1L.VS,INL1L.VS,INR1L.VS,IVL1L.VS,KNE1L.VS,KNR1L.VS,LGD1L.VS,NTU1L.VS,PTR1L.VS,PZV1L.VS,RSU1L.VS,SAB1L.VS,TEL1L.VS,UTR1L.VS,VBL1L.VS,VLP1L.VS,ZMP1L.VS,^OMXV
2022-05-31,1.0518256425857544,1.083837628364563,1.6410881280899048,0.4876999855041504,0.7260416746139526,15.00826358795166,2.619999885559082,7.542960166931152,1.9822980165481567,12.002419471740723,,0.8853538632392883,0.711240291595459,3.816999912261963,0.5839999914169312,1.1654999256134033,2.7074480056762695,0.5108361840248108,1.8232309818267822,0.7099999785423279,7.680531024932861,3.740922451019287,1.7385631799697876,
2022-06-30,1.061133861541748,1.0452821254730225,1.533067226409912,0.46000000834465027,0.6977083086967468,14.74582290649414,2.5,7.731533527374268,1.9822980165481567,10.81209659576416,,0.8760343790054321,0.6837438941001892,3.5899999141693115,0.5460000038146973,1.0619999170303345,2.7074480056762695,0.4631022810935974,1.7773057222366333,0.6100000143051147,7.308141708374023,3.740922451019287,1.7677011489868164,
2022-07-29,1.126291275024414,1.0624178647994995,1.6203149557113647,0.4438000023365021,0.6817707419395447,14.844239234924316,2.5,7.542960166931152,2.019007444381714,10.712903022766113,,0.8760343790054321,0.6965755224227905,3.3010001182556152,0.5540000200271606,1.147499918937683,2.7254977226257324,0.47817614674568176,1.786490797996521,0.5400000214576721,7.5408854484558105,4.276615142822266,1.7774138450622559,
2022-08-31,1.1774861812591553,1.0709857940673828,1.5372217893600464,0.4404999911785126,0.6463541984558105,15.500335693359375,2.4600000381469727,6.882951259613037,1.9822980165481567,12.002419471740723,,0.8667148947715759,0.676411509513855,3.140000104904175,0.5400000214576721,1.0980000495910645,2.779646396636963,0.4790136218070984,1.800268292427063,0.6499999761581421,7.5408854484558105,4.356969356536865,1.7677011489868164,
2022-09-30,1.2100647687911987,1.0624178647994995,1.487365961074829,0.3986999988555908,0.5949999690055847,15.565946578979492,2.200000047683716,6.788663864135742,1.9272340536117554,10.911290168762207,,0.8294367790222168,0.6599137187004089,2.609999895095825,0.5040000081062317,1.066499948501587,2.7074480056762695,0.44635358452796936,1.7681206464767456,0.6200000047683716,7.261593341827393,4.017697334289551,1.7482757568359375,
2022-10-31,1.2100647687911987,1.0538500547409058,1.5372217893600464,0.399399995803833,0.6552083492279053,15.517904281616211,2.200000047683716,7.165811538696289,1.9088795185089111,11.308064460754395,,0.8107977509498596,0.6599137187004089,2.6500000953674316,0.5040000081062317,1.0394999980926514,2.7435474395751953,0.4790136218070984,1.7727130651474,0.6100000143051147,7.0753984451293945,3.9105587005615234,1.7385631799697876,
2022-11-30,1.230854868888855,1.0709857940673828,1.6452428102493286,0.4009000062942505,0.6534374356269836,16.48459243774414,2.259999990463257,7.260098934173584,1.9822980165481567,11.903225898742676,,0.8247770071029663,0.6544143557548523,3.0299999713897705,0.550000011920929,1.0439999103546143,2.7074480056762695,0.5443336367607117,1.7956758737564087,0.675000011920929,7.7736287117004395,4.339113235473633,1.7871264219284058,
2022-12-30,1.2785625457763672,1.0752696990966797,1.79481041431427,0.3889999985694885,0.6233332753181458,16.128442764282227,2.1600000858306885,7.637247562408447,1.963943362236023,11.308064460754395,,0.8294367790222168,0.641582727432251,2.9000000953674316,0.5180000066757202,1.0080000162124634,2.671348810195923,0.5744813680648804,1.8232309818267822,0.6299999952316284,7.3546905517578125,4.276615142822266,1.7482757568359375,
2023-01-31,1.4359973669052124,1.0881215333938599,1.8612847328186035,0.41999998688697815,0.7313541173934937,16.48459243774414,2.200000047683716,7.637247562408447,2.0557165145874023,11.208870887756348,,0.8480758666992188,0.6507481932640076,3.119999885559082,0.5600000023841858,1.0619999170303345,2.6893982887268066,0.6255649328231812,1.8232309818267822,0.625,7.401238918304443,4.57124662399292,1.7677011489868164,
2023-02-28,1.636369228363037,1.0452821254730225,2.077326774597168,0.48500001430511475,0.7437499165534973,17.044254302978516,2.200000047683716,7.448672771453857,2.0373618602752686,11.208870887756348,,0.9039929509162903,0.6434158682823181,3.2330000400543213,0.5680000185966492,1.0619999170303345,2.6893982887268066,0.6255649328231812,1.8278234004974365,0.6399999856948853,6.8892035484313965,4.481964588165283,1.7774138450622559,
