Date,ANDR.PR,ATOMT.PR,ATS.PR,CEZ.PR,COLOS.PR,CPI.PR,CTPNV.PR,CZ0000001367.PR,CZ0003533069.PR,CZ0003534596.PR,CZ0003539892.PR,CZ0003546871.PR,CZ0003550378.PR,CZ0003550709.PR,CZ0003550808.PR,CZ0003556177.PR,CZ0003556441.PR,CZ0003558579.PR,CZ0003561441.PR,CZ0003561748.PR,CZ0003562555.PR,CZ0003565723.PR,CZ0003566234.PR,CZ0003566770.PR,CZ0003567679.PR,CZ0003569089.PR,CZ0003571051.PR,CZ0003704413.PR,CZ0003706517.PR,CZ0003707671.PR,CZG.PR,DBK.PR,DSPW.PR,DTE.PR,EFORU.PR,EMAN.PR,ENRGA.PR,EOAN.PR,ERBAG.PR,FACC.PR,FILL.PR,FIXED.PR,FPXAA.PR,FTSHP.PR,GEN.PR,GEV.PR,HWIO.PR,JTINA.PR,JTINB.PR,JTINV.PR,KARIN.PR,KGH.PR,KOFOL.PR,KOMB.PR,MMCTE.PR,MOL.PR,MONET.PR,NOKIA.PR,OMV.PR,PEN.PR,PINK.PR,PKN.PR,PKO.PR,PRIUA.PR,PVT.PR,RBI.PR,RWE.PR,SABFG.PR,SHELL.PR,SKAB.PR,TABAK.PR,TMR.PR,TOMA.PR,UQA.PR,VIG.PR,VOE.PR,VOW.PR,WIE.PR,WPS.PR
2022-05-31,984.0062866210938,40.0,1108.27880859375,865.9762573242188,,,302.7007141113281,,,,,,,,,,,,,,,,,,,,,,,,543.5017700195312,257.5111389160156,,467.0440368652344,,146.0,2341.24609375,235.1045684814453,719.0178833007812,198.60000610351562,850.0,,,,,,,,,,140.0,671.4125366210938,244.62802124023438,503.4716491699219,,21.79775619506836,57.67567443847656,114.63724517822266,1225.0321044921875,57.20000076293945,1187.5,388.1912536621094,157.0181427001953,280.0,1.7999999523162842,306.4039306640625,1035.4810791015625,783.4088745117188,665.775634765625,382.7440185546875,13509.3564453125,580.0,1250.8250732421875,179.43637084960938,551.8086547851562,670.9155883789062,3629.494873046875,628.2716064453125,
2022-06-30,984.0062866210938,40.0,1108.27880859375,821.1710815429688,,,248.08502197265625,,,,,,,,,,,,,,,,,,,,,,,,524.4791259765625,204.2432861328125,,463.20440673828125,99.6339111328125,135.0,2411.486083984375,196.3357391357422,593.2445068359375,170.0,600.0,,,,,,,,,,141.0,651.6068725585938,238.92005920410156,465.85186767578125,,24.07830238342285,64.52747344970703,110.5921401977539,1092.4454345703125,51.79999923706055,1177.6041259765625,347.63397216796875,144.11587524414062,252.0,2.0999999046325684,254.34310913085938,870.0432739257812,783.4088745117188,,344.8016357421875,12891.6962890625,580.0,1297.2318115234375,165.06753540039062,533.8798217773438,501.24737548828125,3123.5234375,504.572509765625,
2022-07-29,984.0062866210938,40.0,1189.34619140625,884.27587890625,246.0,,281.8727111816406,,,,,,,,,,,,,,,,,,,,,,,,490.0574035644531,208.48275756835938,,444.8038635253906,,100.0,2374.38623046875,217.0655975341797,608.9661865234375,182.39999389648438,550.0,218.0,,,,238.0,,,,,140.0,557.0990600585938,234.8428955078125,427.52899169921875,,-38.62311935424805,60.38627243041992,124.8004150390625,1020.2794189453125,68.19999694824219,1039.0625,372.1676330566406,131.89523315429688,310.0,2.0,284.14892578125,982.261962890625,783.4088745117188,610.45458984375,383.02862548828125,13145.095703125,605.0,1316.7391357421875,160.09561157226562,547.824462890625,502.44366455078125,3436.36865234375,504.572509765625,
2022-08-31,1182.9964599609375,40.0,1089.401123046875,798.51806640625,200.0,,316.8951721191406,,,,,,,,,,,,,,,,,,,,,,,,491.8690490722656,204.59242248535156,,462.8054504394531,111.13013458251953,95.0,2374.38623046875,205.80369567871094,552.2487182617188,177.1999969482422,550.0,204.0,,,,242.0,,,,,149.0,503.3787536621094,229.95034790039062,403.97271728515625,,-36.85477828979492,58.20273971557617,122.64800262451172,949.0091552734375,74.0,890.625,305.91790771484375,118.25363159179688,310.0,1.600000023841858,307.1988220214844,954.75537109375,783.4088745117188,,350.96728515625,13097.5830078125,600.0,1287.478271484375,158.90235900878906,570.7335205078125,527.7652587890625,3573.8232421875,563.6288452148438,
2022-09-30,1182.9964599609375,40.0,927.4901123046875,695.7705688476562,140.0,,243.910400390625,,,,,,,,,,,,,,,,,,,,,,,,494.5865783691406,187.53472900390625,,436.32666015625,119.61219024658203,90.0,2448.585693359375,192.00039672851562,554.2388305664062,149.60000610351562,550.0,215.0,,,,220.0,,,,,134.0,434.7362060546875,216.7318572998047,442.2956237792969,,-30.98906707763672,53.157997131347656,109.61392211914062,894.8597412109375,57.0,757.03125,263.0503845214844,109.56721496582031,300.0,1.659999966621399,297.0648193359375,952.5628662109375,809.9066162109375,600.8336791992188,295.09710693359375,13002.55859375,590.0,1287.478271484375,147.16864013671875,516.9470825195312,416.31048583984375,3112.192138671875,581.18603515625,
2022-10-31,1182.9964599609375,40.0,742.591796875,655.3187866210938,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,498.2099304199219,235.31617736816406,,467.8419189453125,116.40113067626953,90.0,2411.486083984375,203.81044006347656,614.7373657226562,160.0,199.0,228.0,,,,220.0,17.0,,,,141.0,434.7362060546875,207.84939575195312,499.6041564941406,,-32.77897262573242,54.43800735473633,108.63778686523438,1048.648193359375,61.400001525878906,722.3958129882812,280.58709716796875,127.4829330444336,266.0,2.0,342.7670593261719,946.8821411132812,809.9066162109375,649.7084350585938,358.08148193359375,13129.2587890625,610.0,1267.970947265625,153.83099365234375,548.8204956054688,529.9584350585938,3123.5234375,568.8162231445312,
2022-11-30,1182.9964599609375,40.0,843.5362548828125,650.4645385742188,228.0,,242.96865844726562,,,,,,,,,,,,,,,,,,,,,,,,506.3623962402344,252.97239685058594,,472.2301330566406,,82.0,2392.93603515625,222.1483917236328,708.470458984375,151.0,199.0,182.0,,,544.7803344726562,222.0,16.899999618530273,,,,137.0,606.8399658203125,212.29063415527344,524.876708984375,,-30.838111877441406,54.21212387084961,111.12948608398438,1194.4735107421875,66.0,692.7083129882812,330.2744140625,149.0509033203125,362.0,1.9500000476837158,364.32666015625,1021.5285034179688,809.9066162109375,651.202880859375,373.6378479003906,13461.8447265625,520.0,1277.724609375,173.51979064941406,543.8402709960938,641.4132080078125,3331.429931640625,601.1375732421875,
2022-12-30,1182.9964599609375,40.0,772.5752563476562,622.9573364257812,220.0,,247.20648193359375,,,,,,,,,,,,,,,,,,,,,,,,500.0215759277344,257.2617492675781,,458.1180725097656,,81.0,2392.93603515625,225.73626708984375,713.4456176757812,138.0,199.0,188.0,,,478.9277648925781,242.0,16.200000762939453,,,,127.0,606.8399658203125,216.7318572998047,498.25250244140625,,-30.191158294677734,57.22390365600586,107.64110565185547,1132.26123046875,67.19999694824219,643.2291870117188,323.4545593261719,149.0509033203125,410.0,2.0999999046325684,371.1819763183594,1006.7786254882812,809.9066162109375,,352.4849853515625,13240.1201171875,565.0,1355.7535400390625,171.82933044433594,540.8521728515625,641.4132080078125,2800.2724609375,545.4730224609375,
2023-01-31,1294.430908203125,31.0,748.5885009765625,718.423583984375,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,529.00830078125,288.08526611328125,,485.69390869140625,,79.0,2300.186767578125,239.988037109375,815.5369873046875,161.1999969482422,199.0,200.0,,,497.88531494140625,234.0,16.100000381469727,,,,126.0,716.2702026367188,224.72605895996094,559.4881591796875,,-35.58243942260742,60.762752532958984,103.7337875366211,1081.49609375,66.4000015258789,742.1875,321.5060729980469,158.72439575195312,402.0,1.5,389.9596252441406,1001.59619140625,809.9066162109375,631.6988525390625,376.76812744140625,13303.4697265625,560.0,1316.7391357421875,184.85574340820312,584.6781005859375,723.359375,2944.473388671875,637.2496948242188,
2023-02-28,1294.430908203125,31.0,697.6165161132812,838.9698486328125,150.0,,288.1721496582031,,,,,,,,,,,,,,,,,,,,,,,,533.5374755859375,274.8182067871094,,503.6456604003906,102.75409698486328,78.5,2281.63671875,246.86477661132812,857.3287963867188,174.39999389648438,199.0,190.0,,,457.0959777832031,236.0,16.5,,,,163.0,672.4981079101562,222.06130981445312,570.1378173828125,,-35.366783142089844,63.84983825683594,103.67398071289062,1121.8095703125,65.5999984741211,663.0208129882812,318.583251953125,152.1602325439453,390.0,1.7000000476837158,373.3677062988281,948.476806640625,809.9066162109375,659.8389892578125,396.1187744140625,13636.0576171875,535.0,1258.2174072265625,187.93833923339844,611.5712890625,804.9068603515625,3002.947021484375,694.1113891601562,
