Date,ALTR.LS,BCP.LS,BFCPY.LS,BGNVA.LS,BMENY.LS,BMENZ.LS,BSLBN.LS,BSLSM.LS,BTGNV.LS,BTRVB.LS,CDU.LS,COR.LS,CTT.LS,DIEDT.LS,EDP.LS,EDPR.LS,EGL.LS,ESON.LS,FCP.LS,GALP.LS,GLINT.LS,IBS.LS,IPR.LS,JMT.LS,MAR.LS,MLFMV.LS,MLRZE.LS,MRL.LS,NBA.LS,NOS.LS,NVG.LS,OTEY.LS,OTRVG.LS,PHR.LS,PSI20.LS,PTFCPCOM0018.LS,PTFCPZOM0011.LS,PTGNVKOM0008.LS,PTMENWOM0015.LS,PTOTE3OE0025.LS,PTSCPAOM0007.LS,PTSINCOM0001.LS,PTSLBOOM0006.LS,PTVAACOM0009.LS,PTVAIAOM0003.LS,RAM.LS,RENE.LS,SCP.LS,SCT.LS,SEM.LS,SLBEN.LS,SNC.LS,SNG.LS,SON.LS,TDSA.LS,VAF.LS
2022-05-31,4.618081569671631,0.18117479979991913,,,,,,,,,28.611549377441406,9.886590003967285,3.5877304077148438,,4.016598224639893,21.297950744628906,1.2366808652877808,5.3463664054870605,0.9399999976158142,11.829224586486816,0.22766703367233276,5.745344161987305,0.23800000548362732,18.01764678955078,1.2999999523162842,2.0999999046325684,1.0499999523162842,8.67771053314209,3.8273823261260986,3.0244030952453613,3.1729681491851807,,,0.08269999921321869,6257.5,,,,,,,,,,,4.890023708343506,2.4773099422454834,0.8460000157356262,3.333678722381592,12.435930252075195,3.5799999237060547,1.8617321252822876,0.552544116973877,0.9868637919425964,0.09459999948740005,0.8399999737739563
2022-06-30,4.854320526123047,0.15659424662590027,,,,,,,,,28.611553192138672,9.943084716796875,2.9889769554138184,,3.8274600505828857,20.999555587768555,1.1133755445480347,5.735193252563477,0.8199999928474426,10.791996955871582,0.22591575980186462,5.821146011352539,0.22200000286102295,19.595489501953125,1.340000033378601,2.299999952316284,1.090000033378601,7.677707672119141,3.5487608909606934,2.929699659347534,3.028284788131714,,,0.07980000227689743,6044.64013671875,,,,,,,,,,,4.81682014465332,2.4687232971191406,0.8299999833106995,3.344597339630127,10.91656494140625,3.450000047683716,1.7945561408996582,0.552544116973877,1.0448620319366455,0.0860000029206276,0.8199999928474426
2022-07-29,4.389464378356934,0.13713860511779785,,,,,,,,,25.57986068725586,9.79242992401123,3.1949479579925537,,4.246142387390137,23.59186553955078,1.1133755445480347,5.68658971786499,0.9200000166893005,9.91879653930664,0.20314905047416687,5.401439666748047,0.21799999475479126,21.371746063232422,1.2899999618530273,2.299999952316284,1.0,8.586801528930664,3.866626262664795,2.821248769760132,3.179856777191162,,,0.07500000298023224,6123.22998046875,,,,,,,,,,,5.138917446136475,2.374268054962158,0.8479999899864197,3.344597339630127,11.598851203918457,3.5899999141693115,1.8377405405044556,0.505183219909668,0.9904329180717468,0.08619999885559082,0.8149999976158142
2022-08-31,4.290396213531494,0.13780292868614197,,,,,,,,,24.72719955444336,9.472294807434082,3.1135177612304688,,4.093972682952881,22.538156509399414,1.087989091873169,6.3184332847595215,0.8450000286102295,10.415699005126953,0.20139777660369873,5.291950702667236,0.20600000023841858,20.880441665649414,1.25,2.240000009536743,1.0,8.212071418762207,3.690141201019287,2.8029191493988037,3.124596357345581,,,0.0754999965429306,5995.240234375,,,,,,,,,,,5.124276638031006,2.2669320106506348,0.8479999899864197,3.4349918365478516,11.37142276763916,3.740000009536743,1.7273802757263184,0.5209701657295227,0.8949587345123291,0.08500000089406967,0.8450000286102295
2022-09-30,3.9436590671539307,0.1155950203537941,,,,,,,,,25.57986068725586,8.568377494812012,2.596194267272949,,3.817143678665161,19.619478225708008,0.9610570073127747,5.394969940185547,0.8149999976158142,9.722103118896484,0.18388491868972778,4.781003475189209,0.17350000143051147,17.998748779296875,0.8999999761581421,2.240000009536743,0.949999988079071,6.947307109832764,3.417391538619995,2.553940534591675,2.751981496810913,,,0.06310000270605087,5302.759765625,,,,,,,,,,,5.138917446136475,2.073727607727051,0.8199999928474426,3.2722816467285156,9.925626754760742,3.700000047683716,1.7417751550674438,0.5209701657295227,0.7356864809989929,0.07500000298023224,0.8100000023841858
2022-10-31,4.2942070960998535,0.13704368472099304,,,,,,,,,24.72719955444336,9.208650588989258,2.9937667846679688,,3.804248094558716,19.87125015258789,1.118890643119812,6.172623157501221,0.8149999976158142,10.168425559997559,0.19089005887508392,5.401439666748047,0.17000000178813934,19.82224464416504,0.8420000076293945,2.240000009536743,0.875,7.570782661437988,3.361237049102783,3.0274579524993896,3.045652389526367,,,0.06379999965429306,5718.27978515625,,,,,,,,,,,5.094995021820068,2.249758243560791,0.828000009059906,3.3626763820648193,10.461709022521973,3.7899999618530273,1.8233457803726196,0.505183219909668,0.8686364889144897,0.07580000162124634,0.8299999833106995
2022-11-30,4.244672775268555,0.14492085576057434,,,,,,,,,24.72719955444336,8.389476776123047,2.952017307281494,,3.885061264038086,20.561288833618164,1.135480523109436,6.124020099639893,0.8700000047683716,11.662763595581055,0.210154190659523,5.127717971801758,0.1720000058412552,20.030105590820312,1.1950000524520874,2.240000009536743,0.949999988079071,8.062692642211914,3.176730155944824,2.93580961227417,3.0519678592681885,,,0.05550000071525574,5862.68994140625,,,,,,,,,,,4.963228225708008,2.1724765300750732,0.8080000281333923,3.7604119777679443,11.64758586883545,3.75,1.8473371267318726,0.5367571711540222,0.8592674732208252,0.07739999890327454,0.824999988079071
2022-12-30,3.8141093254089355,0.13894180953502655,,,,,,,,,20.463890075683594,8.296401977539062,2.8591864109039307,,4.002842903137207,19.190536499023438,1.0783376693725586,5.832399845123291,0.8799999952316284,12.479207038879395,0.19614391028881073,5.036477565765381,0.15299999713897705,19.06639289855957,1.1950000524520874,2.240000009536743,0.8050000071525574,8.108243942260742,3.2409064769744873,2.8899850845336914,2.884490966796875,,,0.052299998700618744,5726.10986328125,,,,,,,,,,,4.787539005279541,2.218391180038452,0.7900000214576721,3.398833990097046,11.049081802368164,3.930000066757202,2.408735752105713,0.6472659707069397,0.8342835903167725,0.06620000302791595,0.8500000238418579
2023-01-31,3.5268118381500244,0.18535064160823822,,,,,,,,,20.463890075683594,8.64842700958252,3.3001327514648438,,3.918590545654297,18.59840965270996,1.5668154954910278,6.221226692199707,1.0399999618530273,12.444570541381836,0.20840291678905487,5.620416641235352,0.164000004529953,18.839637756347656,1.159999966621399,2.240000009536743,0.8500000238418579,8.199349403381348,3.3050830364227295,3.0091280937194824,2.68406343460083,,,0.0658000037074089,5886.33984375,,,,,,,,,,,4.714334487915039,2.222792863845825,0.800000011920929,3.398833990097046,10.8345365524292,4.0,2.5238945484161377,0.6472659707069397,0.8351758122444153,0.07500000298023224,0.8199999928474426
2023-02-28,3.534433364868164,0.21657459437847137,,,,,,,,,22.339744567871094,9.295394897460938,3.4811525344848633,,4.106008529663086,18.099529266357422,1.714280605316162,7.290499687194824,1.0099999904632568,11.440096855163574,0.20139777660369873,5.821146011352539,0.18299999833106995,18.34833335876465,1.1549999713897705,1.5199999809265137,0.8500000238418579,7.926037311553955,3.754317283630371,3.193953037261963,2.779266595840454,,,0.059300001710653305,6057.2001953125,,,,,,,,,,,4.963228225708008,2.2403993606567383,0.7760000228881836,3.8869645595550537,12.81908130645752,3.9000000953674316,2.5238945484161377,0.5367571711540222,0.9252963066101074,0.08839999884366989,0.8100000023841858
