Date,ALVO.IC,AMRQ.IC,ARION.IC,BRIM.IC,EIK.IC,EIM.IC,FESTI.IC,HAGA.IC,HAMP.IC,HEIMAR.IC,ICEAIR.IC,ICESEA.IC,ISB.IC,ISF.IC,JBTM.IC,KALD.IC,KVIKA.IC,NOVA.IC,OCS.IC,OLGERD.IC,PLAY.IC,REITIR.IC,SIMINN.IC,SJOVA.IC,SKAGI.IC,SKEL.IC,SVN.IC,SYN.IC,^XIPI
2022-05-31,,,133.35134887695312,90.62826538085938,12.370158195495605,436.9844970703125,211.11094665527344,67.41051483154297,109.01380920410156,34.191261291503906,1.5700000524520874,9.5,99.19964599609375,,,17.399999618530273,14.644148826599121,,,,18.0,90.74858856201172,0.2503702640533447,29.49521827697754,,13.851816177368164,93.26911926269531,51.5,
2022-06-30,1250.0,,129.64715576171875,82.51942443847656,12.461113929748535,403.505859375,201.42697143554688,63.045806884765625,109.99591827392578,33.795989990234375,1.4500000476837158,9.550000190734863,101.74322509765625,,,17.0,14.193559646606445,4.342223167419434,,9.6899995803833,16.200000762939453,85.49472045898438,0.2503702640533447,29.316457748413086,,14.553174018859863,91.33004760742188,58.0,
2022-07-29,1104.0,,145.28713989257812,84.42738342285156,14.09834098815918,484.5594482421875,218.858154296875,70.80529022216797,117.85276794433594,32.41252899169922,1.9639999866485596,9.850000381469727,108.52610778808594,,,18.100000381469727,15.24493408203125,4.234158992767334,,10.199999809265137,19.100000381469727,87.40522003173828,0.24188314378261566,31.461565017700195,,15.342202186584473,100.34671020507812,65.0,
2022-08-31,1270.0,,143.6408233642578,90.15127563476562,12.188241958618164,524.2052001953125,203.36376953125,65.47064208984375,105.08538055419922,31.02906608581543,1.8700000047683716,8.949999809265137,110.2218246459961,,,18.600000381469727,15.24493408203125,4.420815467834473,,10.300000190734863,18.200000762939453,91.22621154785156,0.22278709709644318,31.997840881347656,,15.079192161560059,118.7678451538086,65.5,
2022-09-30,1050.0,,131.29347229003906,79.41898345947266,11.096758842468262,433.46044921875,184.23789978027344,68.38044738769531,94.28221130371094,28.262144088745117,1.7680000066757202,7.75,103.26937103271484,,,16.200000762939453,13.705421447753906,3.988558053970337,,11.050000190734863,16.25,84.06185150146484,0.2397613674402237,28.42266273498535,,14.202495574951172,111.98111724853516,59.5,
2022-10-31,918.0,,133.762939453125,79.18048858642578,11.915371894836426,484.5594482421875,184.96420288085938,70.32032012939453,89.86273956298828,28.855056762695312,1.8899999856948853,7.300000190734863,109.03482818603516,,,17.049999237060547,14.456403732299805,4.008205890655518,,10.699999809265137,16.549999237060547,88.36046600341797,0.24188314378261566,30.389013290405273,,15.605208396911621,110.04204559326172,60.0,
2022-11-30,880.0,70.5,132.93978881835938,85.38136291503906,11.460586547851562,471.34417724609375,177.2169952392578,71.77522277832031,109.01380920410156,27.86686897277832,1.7599999904632568,6.699999809265137,104.6259536743164,,,16.899999618530273,15.019639015197754,3.8706696033477783,,10.899999618530273,13.399999618530273,87.40522003173828,0.2270306646823883,30.21025276184082,,14.553174018859863,113.92018127441406,60.0,
2022-12-30,1480.0,78.5,123.47347259521484,86.3353500366211,10.732930183410645,462.53399658203125,176.24859619140625,70.80529022216797,115.88855743408203,27.076318740844727,1.6119999885559082,6.050000190734863,101.57365417480469,,,16.200000762939453,14.268657684326172,4.224335193634033,,10.449999809265137,13.100000381469727,85.49472045898438,0.2270306646823883,29.67397689819336,,13.76414680480957,117.31354522705078,60.0,
2023-01-31,1725.0,80.0,123.47347259521484,89.19729614257812,10.096231460571289,493.3695373535156,170.43820190429688,63.045806884765625,126.69172668457031,24.90230941772461,1.9819999933242798,6.650000095367432,99.70835876464844,,,15.100000381469727,14.118461608886719,4.106446266174316,,10.75,13.0,81.6737289428711,0.22490887343883514,30.4783878326416,,14.903853416442871,120.2221450805664,59.5,
2023-02-28,2020.0,78.0,124.296630859375,83.47340393066406,9.414053916931152,497.774658203125,176.24859619140625,66.92554473876953,134.54856872558594,23.914121627807617,1.9800000190734863,5.949999809265137,105.1346664428711,,,15.399999618530273,14.944540977478027,3.8510215282440186,,10.0,10.0,77.85273742675781,0.22915245592594147,31.282806396484375,,13.58880615234375,113.92018127441406,59.5,
2023-03-31,1800.0,77.5,122.63478088378906,82.51942443847656,11.132258415222168,516.8002319335938,178.28500366210938,64.01573944091797,125.7096176147461,25.099945068359375,1.9600000381469727,6.300000190734863,106.57177734375,,,15.600000381469727,14.351163864135742,4.126094341278076,,10.800000190734863,11.449999809265137,81.19610595703125,11.025310516357422,32.17660140991211,,13.329375267028809,115.37448120117188,57.0,
2023-04-28,1450.0,77.0,124.8246841430664,81.27923583984375,11.420160293579102,523.203125,193.55250549316406,64.98567962646484,141.42330932617188,24.90230941772461,1.9700000286102295,7.349999904632568,110.67755889892578,,,15.300000190734863,13.967442512512207,4.70571231842041,,12.899999618530273,12.199999809265137,80.47967529296875,11.218737602233887,31.72970199584961,,12.792622566223145,113.3212661743164,57.5,
2023-05-31,1170.0,76.4000015258789,111.68524932861328,79.18048858642578,10.556451797485352,482.9566955566406,168.43499755859375,64.01573944091797,125.7096176147461,23.123571395874023,1.8600000143051147,6.0,104.42962646484375,,,14.699999809265137,13.430233001708984,4.460111618041992,,12.800000190734863,9.800000190734863,73.55412292480469,9.864751815795898,30.835908889770508,,11.629656791687012,110.85775756835938,48.599998474121094,
