Date,AIR.RG,BAL1R.RG,BERCM.RG,BORA100034A.RG,CBLB080034A.RG,CTS1L.RG,DGR1R.RG,DGRB100028A.RG,DGRBFLOT26FB.RG,EGG.RG,ELEV130028A.RG,ELEVR.RG,EWA1L.RG,GRB2G.RG,GREG100027B.RG,IDX1R.RG,K2LT.RG,KALVE.RG,LINDA.RG,LJM1R.RG,MAGIC.RG,MDARA.RG,MODE.RG,MODE110027FA.RG,MOLNR.RG,NEOFI.RG,PNKTD.RG,RKB1R.RG,ROBUS.RG,SAF1R.RG,SAUNA.RG,SCM1R.RG,STOH100028A.RG,STOH110025A.RG,VIRSI.RG,^OMXR
2022-05-31,,8.301836967468262,,,,,1.161644697189331,,,,,,,,,,,,,12.973437309265137,,22.471668243408203,,,,,,0.0544000007212162,,11.386466979980469,,5.564999580383301,,,4.199278831481934,
2022-06-30,,8.550891876220703,,,,,1.1727759838104248,,,,,,,,,,,,,13.953125,,21.56464958190918,,,,,,0.05000000074505806,,11.101804733276367,,5.167499542236328,,,4.218678951263428,
2022-07-29,,8.384856224060059,,,,,1.2140874862670898,,,,,,,,,16.399999618530273,,,,13.161458015441895,,20.8145751953125,,,,,,0.05000000074505806,,11.813458442687988,,5.167499542236328,,,4.209047317504883,
2022-08-31,,8.799946784973145,,,,,1.2662882804870605,,,,,,,,,15.800000190734863,,,,13.161458015441895,,17.81427574157715,,,,,,0.05079999938607216,,11.101804733276367,,5.515312671661377,,,4.372786045074463,
2022-09-30,,8.965984344482422,,,,,1.228732705116272,,,,,,,,,14.399999618530273,,,,12.46875,,17.298599243164062,,,,,,0.05079999938607216,,10.437594413757324,,5.366250038146973,,,4.218678951263428,
2022-10-31,,9.219828605651855,,,,,1.2236344814300537,,,,,,,,,14.050000190734863,,,,11.083333015441895,,17.720516204833984,,,,,,0.046799998730421066,,10.72225570678711,,5.068124771118164,,,4.189784049987793,
2022-11-30,,8.78078842163086,,,,,1.2457276582717896,,,,,,,,,14.350000381469727,,,,11.875,,15.001495361328125,,,,,,0.04899999871850014,,12.667444229125977,,6.459374904632568,,,4.2234954833984375,
2022-12-30,,8.78078842163086,,,,,1.2750481367111206,,,,,,,,,14.5,,,,11.578125,,15.282772064208984,,,,,,0.049800001084804535,,12.649999618530273,,6.956249713897705,,,4.2475738525390625,
2023-01-31,,8.60517406463623,,,,,1.281930923461914,,,,,,,,,15.199999809265137,,,,11.677083015441895,,17.06420135498047,,,,,,0.055399999022483826,,14.300000190734863,,6.956249713897705,,,4.228310585021973,
2023-02-28,,8.78078842163086,,,,,1.307741641998291,,,,,,,,,14.649999618530273,,,,10.786458015441895,,14.907735824584961,,,,,,0.06560000032186508,,13.800000190734863,,6.509062767028809,,,4.314996242523193,
2023-03-31,,8.692980766296387,,,,,1.2905346155166626,,,,,,,,,14.25,,,,11.578125,,15.985968589782715,,,,,,0.05920000001788139,,13.149999618530273,,7.800937175750732,,,4.2764692306518555,
2023-04-28,,8.736885070800781,,,,,1.3020803928375244,,,,,,,,,14.25,,,,10.588541030883789,,16.45476531982422,,,,,,0.057500001043081284,,13.100000381469727,,7.353749752044678,,,4.314996242523193,
2023-05-31,,8.692980766296387,,,,,1.2019203901290894,,,,,,,,,14.600000381469727,,,,9.895833015441895,,16.45476531982422,,,,,,0.05350000038743019,,12.199999809265137,,6.956249713897705,,,4.334259510040283,
2023-06-30,,8.60517406463623,,,,,1.2044167518615723,,,,,,,,,14.050000190734863,,,,9.846353530883789,,15.939088821411133,,,,,,0.051500000059604645,,11.350000381469727,,6.509062767028809,,,4.383400917053223,
2023-07-31,,8.78078842163086,,,,,1.195593237876892,,,,,,,,,13.850000381469727,,,,9.895833015441895,,15.705693244934082,,,,,,0.05350000038743019,,10.399999618530273,,6.310312271118164,,,4.373528480529785,
2023-08-31,,8.596721649169922,,,,,1.1867694854736328,,,,,,,,,13.899999618530273,,,,9.846353530883789,,15.609926223754883,,,,,,0.052000001072883606,,10.800000190734863,,6.459374904632568,,,4.383400917053223,
2023-09-29,,8.690164566040039,,,,,1.1819102764129639,,,,,,,,,13.699999809265137,,,,9.895833015441895,,14.843795776367188,,,,,,0.052000001072883606,,10.899999618530273,,7.651874542236328,,,4.343911170959473,
2023-10-31,,8.503279685974121,,,,,1.1192331314086914,,,,,,,,,13.449999809265137,,,,9.450520515441895,,14.221314430236816,,,,,,0.05299999937415123,,10.350000381469727,,7.552499771118164,,,4.3044209480285645,
2023-11-30,,8.22295093536377,,,,,1.1595253944396973,,,4.849999904632568,,,,,,12.899999618530273,,,,9.550000190734863,,15.03532886505127,,,,,,0.054999999701976776,,7.0,,6.956249713897705,,,4.2846760749816895,
