Date,AIR.RG,BERCM.RG,BORA100034A.RG,CBLB080034A.RG,CTS1L.RG,DGR1R.RG,DGRB100028A.RG,DGRBFLOT26FB.RG,EGG.RG,ELEV130028A.RG,EWA1L.RG,GRB2G.RG,GREG100027B.RG,IDX1R.RG,K2LT.RG,LINDA.RG,LJM1R.RG,MAGIC.RG,MODE.RG,MODE110027FA.RG,MOLNR.RG,NEOFI.RG,PNKTD.RG,RKB1R.RG,ROBUS.RG,SAF1R.RG,SAUNA.RG,SCM1R.RG,STOH100028A.RG,STOH110025A.RG,VIRSI.RG,^OMXR
2022-05-31,,,,,,1.161644697189331,,,,,,,,,,,12.973437309265137,,,,,,,0.0544000007212162,,11.386466979980469,,5.564999580383301,,,4.199278831481934,
2022-06-30,,,,,,1.1727759838104248,,,,,,,,,,,13.953125,,,,,,,0.050000000745058,,11.101804733276367,,5.167499542236328,,,4.218678951263428,
2022-07-29,,,,,,1.2140874862670898,,,,,,,,16.399999618530273,,,13.161458015441896,,,,,,,0.050000000745058,,11.813458442687988,,5.167499542236328,,,4.209047317504883,
2022-08-31,,,,,,1.2662882804870603,,,,,,,,15.800000190734863,,,13.161458015441896,,,,,,,0.0507999993860721,,11.101804733276367,,5.515312671661377,,,4.372786045074463,
2022-09-30,,,,,,1.228732705116272,,,,,,,,14.399999618530272,,,12.46875,,,,,,,0.0507999993860721,,10.437594413757324,,5.366250038146973,,,4.218678951263428,
2022-10-31,,,,,,1.2236344814300537,,,,,,,,14.050000190734863,,,11.083333015441896,,,,,,,0.046799998730421,,10.72225570678711,,5.068124771118164,,,4.189784049987793,
2022-11-30,,,,,,1.2457276582717896,,,,,,,,14.350000381469728,,,11.875,,,,,,,0.0489999987185001,,12.667444229125977,,6.459374904632568,,,4.2234954833984375,
2022-12-30,,,,,,1.2750481367111206,,,,,,,,14.5,,,11.578125,,,,,,,0.0498000010848045,,12.649999618530272,,6.956249713897705,,,4.247573852539063,
2023-01-31,,,,,,1.281930923461914,,,,,,,,15.199999809265137,,,11.677083015441896,,,,,,,0.0553999990224838,,14.300000190734863,,6.956249713897705,,,4.228310585021973,
2023-02-28,,,,,,1.307741641998291,,,,,,,,14.649999618530272,,,10.786458015441896,,,,,,,0.065600000321865,,13.800000190734863,,6.509062767028809,,,4.314996242523193,
2023-03-31,,,,,,1.2905346155166626,,,,,,,,14.25,,,11.578125,,,,,,,0.0592000000178813,,13.149999618530272,,7.800937175750732,,,4.276469230651856,
2023-04-28,,,,,,1.3020803928375244,,,,,,,,14.25,,,10.588541030883787,,,,,,,0.0575000010430812,,13.100000381469728,,7.353749752044678,,,4.314996242523193,
2023-05-31,,,,,,1.2019203901290894,,,,,,,,14.600000381469728,,,9.895833015441896,,,,,,,0.0535000003874301,,12.199999809265137,,6.956249713897705,,,4.334259510040283,
2023-06-30,,,,,,1.2044167518615725,,,,,,,,14.050000190734863,,,9.846353530883787,,,,,,,0.0515000000596046,,11.350000381469728,,6.509062767028809,,,4.383400917053223,
2023-07-31,,,,,,1.195593237876892,,,,,,,,13.850000381469728,,,9.895833015441896,,,,,,,0.0535000003874301,,10.399999618530272,,6.310312271118164,,,4.373528480529785,
2023-08-31,,,,,,1.1867694854736328,,,,,,,,13.899999618530272,,,9.846353530883787,,,,,,,0.0520000010728836,,10.800000190734863,,6.459374904632568,,,4.383400917053223,
2023-09-29,,,,,,1.181910276412964,,,,,,,,13.699999809265137,,,9.895833015441896,,,,,,,0.0520000010728836,,10.899999618530272,,7.651874542236328,,,4.343911170959473,
2023-10-31,,,,,,1.1192331314086914,,,,,,,,13.449999809265137,,,9.450520515441896,,,,,,,0.0529999993741512,,10.350000381469728,,7.552499771118164,,,4.3044209480285645,
2023-11-30,,,,,,1.1595253944396973,,,4.849999904632568,,,,,12.899999618530272,,,9.550000190734863,,,,,,,0.0549999997019767,,7.0,,6.956249713897705,,,4.2846760749816895,
2023-12-29,,,,,,1.187661051750183,,,5.119999885559082,,,,,12.550000190734863,,,9.949999809265137,,,,,,,0.0544999986886978,,7.0,,7.949999809265137,,,4.343911170959473,
2024-01-31,,,,,,1.1649088859558103,,,4.900000095367432,,,,,12.100000381469728,,,10.100000381469728,,,,,,,0.0595000013709068,,6.71999979019165,,7.552499771118164,,,4.343911170959473,
2024-02-29,,,,,,1.1558082103729248,,,4.599999904632568,,,,,11.899999618530272,,,8.100000381469727,,,,,,,0.0745000019669532,,6.699999809265137,,7.453125,,,4.245185852050781,
2024-03-28,,,,,,1.123955249786377,,,4.400000095367432,,,,,11.800000190734863,,,10.0,,,,,,,0.0850000008940696,,6.599999904632568,,7.453125,,,4.116842746734619,
2024-04-30,,,,,,1.1305387020111084,,,4.010000228881836,,,,,12.0,,,8.0,,,,,,,0.1000000014901161,,6.199999809265137,,7.552499771118164,,,4.106970310211182,
2024-05-31,,,,,,1.0108561515808103,,,4.010000228881836,,,,,13.100000381469728,,,7.599999904632568,,,,,,,0.1199999973177909,,5.420000076293945,,8.5,,,4.176077842712402,
2024-06-28,,,,,,1.0159844160079956,,,4.480000019073486,,,,,13.5,,,7.599999904632568,,,,,,,0.1199999973177909,,4.880000114440918,,8.0,,,4.110000133514404,
2024-07-31,,,,,,1.01292085647583,,,4.0,,,,,13.5,,,10.0,,,,,,,0.1199999973177909,,5.039999961853027,,6.650000095367432,,,4.050000190734863,
2024-08-30,,,,,,0.9883993864059448,,,3.799999952316284,,,,,13.350000381469728,,,6.75,,,,,,,0.1330000013113021,,4.789999961853027,,7.5,,,4.039999961853027,
