Date,ADID.BD,AKKO.BD,ANY.BD,APPEN.BD,ASTRA.BD,AUTOW.BD,BASF.BD,BAYER.BD,BET.BD,BIF.BD,BMW.BD,CIG.BD,CIVTA.BD,COMMB.BD,DBANK.BD,DELTA.BD,DHS.BD,DTEL.BD,ENEFI.BD,EPDUF.BD,EPROI.BD,ESENT.BD,FUTUR.BD,GLIA.BD,GLSTR.BD,GSP.BD,HENK.BD,INFIN.BD,KERMN.BD,LUFTH.BD,MAST.BD,MBH.BD,MBHJ.BD,MERC.BD,MGKR.BD,MOL.BD,MTEL.BD,MULTI.BD,NAP.BD,NATUR.BD,NAVIG.BD,NORD.BD,NUTEX.BD,OPUS.BD,ORM.BD,OTP.BD,OXOTH.BD,PERGY.BD,PLYDR.BD,PNSUM.BD,RICHT.BD,SIEME.BD,SPPC.BD,SUND.BD,THYSS.BD,VERTI.BD,VWPR.BD,WABS.BD,WIZZ.BD,ZWACK.BD,^BUX.BD
2022-05-31,,282.0,1360.35400390625,,,,,,,212.2328948974609,31733.560546875,,,,,38.5,,,224.0,,,,,,,,,,,,,,,,,2022.9149169921875,,,1170.4918212890625,,,,10.75,172.29510498046875,,8320.8857421875,,,,,,,,,,,,,,14055.494140625,
2022-06-30,,270.0,1339.03173828125,,,,,,,187.26434326171875,28859.59765625,,,,,39.0,,,213.0,,,,,,,,,,,,,,,,,2220.79248046875,,,1207.557373046875,,,,9.9399995803833,161.392822265625,,7947.2099609375,,,,,,,,,,,,,,14730.4765625,
2022-07-29,,293.5,1321.9739990234375,,,,,,,182.5827178955078,31883.5078125,,,,,38.59999847412109,,,199.0,,,,,,,,,,,,,,,,,2455.982177734375,,,1145.1312255859375,,,,9.0,147.180908203125,,7662.23486328125,,,,,,,,,,,,,,15260.25,
2022-08-31,,315.0,1304.9163818359375,,,,,,,187.26434326171875,29639.31640625,,,,,37.79999923706055,,,195.0,,,,,,,,,,,,,,,,,2324.14013671875,,,1258.2786865234375,,,,10.75,149.90647888183594,,8013.26416015625,,,,,,,,,,,,,,14872.2783203125,
2022-09-30,,311.5,1185.51220703125,,,,,,,176.340576171875,30084.15625,,,,,36.75,,,148.0,,,,,,,,,,,,,,,,,2033.4114990234373,,,1164.639404296875,,,,9.039999961853027,125.96037292480467,,7462.1865234375,,,,,,,,,,,,,,14398.08984375,
2022-10-28,,281.0,1185.51220703125,,,,,,,174.78004455566406,32308.353515625,,,,,35.0,,,156.0,,,,,,,,,,,,,,,,,2099.332275390625,,,1215.3607177734375,,,,8.199999809265137,115.83683013916016,,8520.93359375,,,,,,,,,,,,,,14354.9814453125,
2022-11-30,,259.5,1279.3297119140625,,,,,,,170.0984344482422,34987.390625,,,,,39.0,,,160.0,,,,,,,,,,,,,,,,,2383.300048828125,,,1158.786865234375,,,,15.199999809265137,120.70391845703124,,10143.96875,,,,,,,,,,,,,,14613.630859375,
2022-12-30,,268.0,1279.3297119140625,,,,,,,159.1746826171875,33687.85546875,,,,,36.29999923706055,,,154.0,,,,,,,,,,,,,,380.0,,,2199.05908203125,,,1121.7213134765625,,,,14.399999618530272,114.86341094970705,,9540.048828125,,,,,,,,,,,,,,14527.4130859375,
2023-01-31,,288.5,1245.2142333984375,,,,20525.09375,21837.146484375,,159.1746826171875,35737.1171875,,,,,35.0,,,164.5,,,,,,,,,,,,,,,,,2266.67041015625,,,1190.0,,,,14.649999618530272,124.40291595458984,,10214.740234375,,,,,,,,,,,,,,14484.3056640625,
2023-02-28,,269.5,1258.007568359375,,,,18181.224609375,21567.181640625,,160.7352294921875,38406.15625,,,,,35.04999923706055,,,151.0,,,,,,,,,,,,,,,,,2300.47607421875,,,1102.213134765625,,,,12.699999809265137,124.79227447509766,,10252.486328125,,,,,,,,,,,,,,14829.169921875,
