Date,APG1L.VS,AUG1L.VS,GRG1L.VS,INC1L.VS,INL1L.VS,NTU1L.VS,PZV1L.VS,TEL1L.VS,UTR1L.VS,^OMXV
2022-05-31,1.6410881280899048,0.4876999855041504,0.7260416746139526,2.619999885559082,7.542960166931152,3.816999912261963,1.165499925613403,1.8232309818267824,0.7099999785423279,
2022-06-30,1.533067226409912,0.4600000083446502,0.6977083086967468,2.5,7.731533527374268,3.5899999141693115,1.0619999170303345,1.7773057222366333,0.6100000143051147,
2022-07-29,1.6203149557113647,0.4438000023365021,0.6817707419395447,2.5,7.542960166931152,3.3010001182556152,1.147499918937683,1.786490797996521,0.5400000214576721,
2022-08-31,1.5372217893600464,0.4404999911785126,0.6463541984558105,2.4600000381469727,6.882951259613037,3.140000104904175,1.0980000495910645,1.800268292427063,0.6499999761581421,
2022-09-30,1.487365961074829,0.3986999988555908,0.5949999690055847,2.200000047683716,6.788663864135742,2.609999895095825,1.066499948501587,1.7681206464767456,0.6200000047683716,
2022-10-31,1.5372217893600464,0.399399995803833,0.6552083492279053,2.200000047683716,7.165811538696289,2.650000095367432,1.0394999980926514,1.7727130651474,0.6100000143051147,
2022-11-30,1.6452428102493286,0.4009000062942505,0.6534374356269836,2.259999990463257,7.260098934173584,3.0299999713897705,1.0439999103546145,1.7956758737564087,0.675000011920929,
2022-12-30,1.79481041431427,0.3889999985694885,0.6233332753181458,2.1600000858306885,7.637247562408447,2.900000095367432,1.0080000162124634,1.8232309818267824,0.6299999952316284,
2023-01-31,1.8612847328186035,0.4199999868869781,0.7313541173934937,2.200000047683716,7.637247562408447,3.119999885559082,1.0619999170303345,1.8232309818267824,0.625,
2023-02-28,2.077326774597168,0.4850000143051147,0.7437499165534973,2.200000047683716,7.448672771453857,3.2330000400543213,1.0619999170303345,1.8278234004974363,0.6399999856948853,
2023-03-31,2.1105639934539795,0.4535000026226043,0.7614583373069763,2.0,7.118668556213379,3.0999999046325684,1.025999903678894,1.85537850856781,0.6800000071525574,
2023-04-28,2.4512455463409424,0.4350000023841858,0.7844791412353516,2.0799999237060547,6.923537731170654,3.140000104904175,1.0214999914169312,1.8737486600875852,0.6499999761581421,
2023-05-31,2.363712310791016,0.4329999983310699,0.8118749856948853,2.059999942779541,6.97161865234375,3.400000095367432,1.034999966621399,1.8183528184890747,0.6499999761581421,
2023-06-30,2.418896436691284,0.3840000033378601,0.8381249904632568,1.9900000095367432,6.731217861175537,3.430000066757202,1.025999903678894,1.794676423072815,0.6800000071525574,
2023-07-31,2.4970734119415283,0.3689999878406524,0.890625,1.9600000381469729,7.163938522338867,3.400000095367432,1.0304999351501465,1.747323513031006,0.6499999761581421,
2023-08-31,2.446488380432129,0.3799999952316284,0.8737499713897705,1.9600000381469729,7.115858554840088,3.3499999046325684,1.0889999866485596,1.6384117603302002,0.5899999737739563,
2023-09-29,2.437291145324707,0.3350000083446502,0.8868749737739563,1.909999966621399,7.163938522338867,3.2699999809265137,1.0709999799728394,1.5247646570205688,0.5699999928474426,
2023-10-31,2.455685615539551,0.3240000009536743,0.8812500238418579,1.940000057220459,6.923537731170654,3.1600000858306885,1.0889999866485596,1.4963529109954834,0.574999988079071,
2023-11-30,2.446488380432129,0.3190000057220459,0.9187500476837158,1.8200000524520876,6.923537731170654,3.319999933242798,1.125,1.6289411783218384,0.4979999959468841,
2023-12-29,2.446488380432129,0.3100000023841858,1.0265625715255735,1.899999976158142,6.923537731170654,3.4200000762939453,1.2059999704360962,1.5768529176712036,0.4799999892711639,
2024-01-31,2.6120400428771973,0.3009999990463257,1.0031250715255735,1.8600000143051147,6.731217861175537,3.470000028610229,1.3140000104904177,1.6289411783218384,0.5,
2024-02-29,2.7132108211517334,0.296999990940094,1.0499999523162842,1.8600000143051147,6.63505744934082,3.299999952316284,1.340999960899353,1.6147352457046509,0.550000011920929,
2024-03-28,2.731605291366577,0.2980000078678131,1.0546875,1.840000033378601,6.154256343841553,3.200000047683716,1.2599999904632568,1.586323380470276,0.5400000214576721,
2024-04-30,2.7775919437408447,0.2899999916553497,1.045312523841858,2.2799999713897705,5.878991603851318,2.940000057220459,1.305000066757202,1.600529432296753,0.4600000083446502,
2024-05-31,2.734999895095825,0.2879999876022339,1.0950000286102295,2.5199999809265137,6.368907451629639,2.4600000381469727,1.2599999904632568,1.6050000190734863,0.4300000071525574,
2024-06-28,2.755000114440918,0.2939999997615814,1.0299999713897705,2.5999999046325684,6.2709245681762695,2.1600000858306885,1.2899999618530271,1.5449999570846558,0.4300000071525574,
2024-07-31,2.755000114440918,0.2619999945163727,1.0099999904632568,2.680000066757202,6.074957847595215,1.870000004768372,1.350000023841858,1.5800000429153442,0.3000000119209289,
2024-08-30,2.755000114440918,0.1930000036954879,1.0149999856948853,2.819999933242798,6.123949527740479,1.5,1.3600000143051147,1.5750000476837158,0.2560000121593475,
2024-09-30,2.815000057220459,0.1354999989271164,1.0149999856948853,3.400000095367432,6.221932888031006,1.5750000476837158,1.409999966621399,1.5950000286102295,0.25,
2024-10-31,2.880000114440918,0.1180000007152557,1.0149999856948853,3.5999999046325684,6.221932888031006,1.5750000476837158,1.409999966621399,1.6050000190734863,0.2399999946355819,
2024-11-29,2.8350000381469727,0.0546000003814697,1.0099999904632568,3.1600000858306885,6.221932888031006,1.4600000381469729,1.4600000381469729,1.590000033378601,0.2460000067949295,
2024-12-30,2.924999952316284,0.0608000010251998,1.0499999523162842,3.220000028610229,6.172941207885742,1.434999942779541,1.6200000047683716,1.5750000476837158,0.2980000078678131,
2025-01-31,3.009999990463257,0.1150000020861625,1.065000057220459,3.220000028610229,6.025966644287109,1.5499999523162842,1.7100000381469729,1.6399999856948853,0.3199999928474426,
2025-02-28,3.0299999713897705,0.1089999973773956,1.0850000381469729,3.319999933242798,6.123949527740479,1.5499999523162842,1.7200000286102295,1.6349999904632568,0.2860000133514404,
2025-03-31,3.039999961853028,0.0917999967932701,1.0800000429153442,3.4200000762939453,6.123949527740479,1.6100000143051147,1.649999976158142,1.6399999856948853,0.270000010728836,
2025-04-30,3.0299999713897705,0.0876000002026557,1.0950000286102295,3.539999961853028,5.800000190734863,1.4299999475479126,1.7649999856948853,1.6950000524520874,0.2800000011920929,
