Date,ALTR.LS,BCP.LS,BFCPY.LS,BGNVA.LS,BMENY.LS,BMENZ.LS,BSLBN.LS,BSLSM.LS,BTGNV.LS,BTRVB.LS,COR.LS,DIEDT.LS,EDP.LS,EDPR.LS,EGL.LS,ESON.LS,FCP.LS,GALP.LS,GLINT.LS,JMT.LS,MAR.LS,MLFMV.LS,MRL.LS,NBA.LS,NVG.LS,OTEY.LS,OTRVG.LS,PTFCPCOM0018.LS,PTFCPZOM0011.LS,PTGNVKOM0008.LS,PTMENWOM0015.LS,PTOTE3OE0025.LS,PTSCPAOM0007.LS,PTSINCOM0001.LS,PTSLBOOM0006.LS,PTVAACOM0009.LS,PTVAIAOM0003.LS,SCP.LS,SCT.LS,SEM.LS,SLBEN.LS,SNG.LS,VAF.LS
2022-05-31,4.618081569671631,0.1811747997999191,,,,,,,,,9.886590003967283,,4.016598224639893,21.297950744628903,1.2366808652877808,5.3463664054870605,0.9399999976158142,11.829224586486816,0.2276670336723327,18.01764678955078,1.2999999523162842,2.0999999046325684,8.67771053314209,3.827382326126098,3.1729681491851807,,,,,,,,,,,,,0.8460000157356262,3.333678722381592,12.435930252075195,3.5799999237060547,0.552544116973877,0.8399999737739563
2022-06-30,4.854320526123047,0.1565942466259002,,,,,,,,,9.943084716796877,,3.8274600505828857,20.999555587768555,1.113375544548035,5.735193252563477,0.8199999928474426,10.791996955871582,0.2259157598018646,19.595489501953125,1.340000033378601,2.299999952316284,7.677707672119141,3.5487608909606934,3.028284788131714,,,,,,,,,,,,,0.8299999833106995,3.344597339630127,10.91656494140625,3.450000047683716,0.552544116973877,0.8199999928474426
2022-07-29,4.389464378356934,0.1371386051177978,,,,,,,,,9.79242992401123,,4.246142387390137,23.59186553955078,1.113375544548035,5.68658971786499,0.9200000166893004,9.91879653930664,0.2031490504741668,21.371746063232425,1.2899999618530271,2.299999952316284,8.586801528930664,3.866626262664795,3.179856777191162,,,,,,,,,,,,,0.8479999899864197,3.344597339630127,11.598851203918455,3.5899999141693115,0.505183219909668,0.8149999976158142
2022-08-31,4.290396213531494,0.1378029286861419,,,,,,,,,9.472294807434082,,4.093972682952881,22.53815650939941,1.087989091873169,6.3184332847595215,0.8450000286102295,10.415699005126951,0.2013977766036987,20.88044166564941,1.25,2.240000009536743,8.212071418762207,3.690141201019287,3.124596357345581,,,,,,,,,,,,,0.8479999899864197,3.434991836547852,11.37142276763916,3.740000009536743,0.5209701657295227,0.8450000286102295
2022-09-30,3.94365906715393,0.1155950203537941,,,,,,,,,8.568377494812012,,3.817143678665161,19.619478225708008,0.9610570073127748,5.394969940185547,0.8149999976158142,9.722103118896484,0.1838849186897277,17.998748779296875,0.8999999761581421,2.240000009536743,6.947307109832764,3.417391538619995,2.751981496810913,,,,,,,,,,,,,0.8199999928474426,3.272281646728516,9.925626754760742,3.700000047683716,0.5209701657295227,0.8100000023841858
2022-10-31,4.2942070960998535,0.137043684720993,,,,,,,,,9.208650588989258,,3.804248094558716,19.87125015258789,1.118890643119812,6.172623157501221,0.8149999976158142,10.16842555999756,0.1908900588750839,19.82224464416504,0.8420000076293945,2.240000009536743,7.570782661437988,3.361237049102783,3.045652389526367,,,,,,,,,,,,,0.828000009059906,3.36267638206482,10.461709022521973,3.7899999618530273,0.505183219909668,0.8299999833106995
2022-11-30,4.244672775268555,0.1449208557605743,,,,,,,,,8.389476776123047,,3.885061264038086,20.561288833618164,1.135480523109436,6.124020099639893,0.8700000047683716,11.662763595581056,0.210154190659523,20.030105590820312,1.1950000524520874,2.240000009536743,8.062692642211914,3.176730155944824,3.0519678592681885,,,,,,,,,,,,,0.8080000281333923,3.760411977767944,11.64758586883545,3.75,0.5367571711540222,0.824999988079071
2022-12-30,3.814109325408936,0.1389418095350265,,,,,,,,,8.296401977539062,,4.002842903137207,19.19053649902344,1.0783376693725586,5.832399845123291,0.8799999952316284,12.479207038879396,0.1961439102888107,19.06639289855957,1.1950000524520874,2.240000009536743,8.108243942260742,3.2409064769744877,2.884490966796875,,,,,,,,,,,,,0.7900000214576721,3.398833990097046,11.049081802368164,3.930000066757202,0.6472659707069397,0.8500000238418579
2023-01-31,3.5268118381500244,0.1853506416082382,,,,,,,,,8.64842700958252,,3.918590545654297,18.59840965270996,1.5668154954910278,6.221226692199707,1.0399999618530271,12.444570541381836,0.2084029167890548,18.839637756347656,1.159999966621399,2.240000009536743,8.199349403381348,3.305083036422729,2.68406343460083,,,,,,,,,,,,,0.800000011920929,3.398833990097046,10.8345365524292,4.0,0.6472659707069397,0.8199999928474426
2023-02-28,3.534433364868164,0.2165745943784713,,,,,,,,,9.295394897460938,,4.106008529663086,18.099529266357425,1.714280605316162,7.290499687194824,1.0099999904632568,11.440096855163574,0.2013977766036987,18.34833335876465,1.1549999713897705,1.5199999809265137,7.926037311553955,3.754317283630371,2.779266595840454,,,,,,,,,,,,,0.7760000228881836,3.8869645595550537,12.81908130645752,3.900000095367432,0.5367571711540222,0.8100000023841858
2023-03-31,3.6167356967926025,0.1936074197292328,,,,,,,,,9.514222145080566,,4.312340259552002,19.66610336303711,1.4635900259017944,6.561450004577637,1.1299999952316284,10.351508140563965,0.1926413476467132,20.426929473876957,1.1399999856948853,2.140000104904175,7.3338623046875,3.850581645965576,2.752542734146118,,,,,,,,,,,,,0.800000011920929,3.8146488666534415,12.229081153869627,3.75,0.631479024887085,0.8100000023841858
