Ticker,mean,std,Return,Risk,sharpe,Name
NZC.NZ,0.003140573669655637,0.002063829183281132,3.83,0.007,1.5217217079286898,Smart NZ Cash ETF
GLD.NZ,0.029541895312392107,0.03982743683099746,41.82,0.138,0.7417473395978077,Smart Gold ETF Units
FSF.NZ,0.039662365565597775,0.06710203880283716,59.48,0.232,0.5910754169800396,Fonterra Shareholders Fund
HFL.NZ,0.015583346398927096,0.03059338823590637,20.39,0.106,0.5093697461282656,Henderson Far East Income Limited
GTK.NZ,0.06653758705474831,0.14420790629169639,116.63,0.5,0.4614004097678215,Gentrack Group Limited
KWBHB.NZ,0.005321155871910391,0.012789492274156817,6.58,0.044,0.416056850252189,
NZB.NZ,0.0028827982527877805,0.007763586965585252,3.51,0.027,0.37132298067462466,Smart NZ Bond ETF
AFI.NZ,0.0022841051775651677,0.00649935302179107,2.78,0.023,0.35143577674685555,Australian Foundation Investment Company Limited
EUG.NZ,0.011649481699349457,0.03346843082437385,14.91,0.116,0.34807373433431366,Smart Europe ESG ETF
ESG.NZ,0.012001218662373676,0.0363144348224185,15.39,0.126,0.33048066756541655,Smart Global ESG ETF
JPN.NZ,0.010006482002532935,0.030683362207833922,12.69,0.106,0.32612077955323066,Smart Japan ESG ETF
USA.NZ,0.013056341381460215,0.04064184011221428,16.84,0.141,0.32125369681616195,Smart US ESG ETF
AUE.NZ,0.009508140117939004,0.029715366359472434,12.03,0.103,0.3199738479720299,Smart Australian ESG ET
BTC.NZ,0.06006868726441104,0.18888721289232152,101.38,0.654,0.3180135189916442,Smart Bitcoin ETF Units
CEN.NZ,0.009472248529362412,0.029890677857899787,11.98,0.104,0.3168964107938087,Contact Energy Limited
TRA.NZ,0.019108713026669128,0.06041500728690781,25.5,0.209,0.316290833764578,Turners Automotive Group Limited
EUF.NZ,0.010754259271983832,0.034456884106078944,13.7,0.119,0.3121077123188439,Smart Europe ETF
USG.NZ,0.015801112136790404,0.05082954452281259,20.7,0.176,0.3108647202159912,Smart US Large Growth ETF
USF.NZ,0.012079154132848225,0.039384029445550556,15.5,0.136,0.30670183581768773,Smart US 500 ETF
TWF.NZ,0.010548625351739718,0.03474170970507349,13.42,0.12,0.30363000097831266,Smart Total World ETF
USH.NZ,0.010822022844807969,0.03668229512129896,13.79,0.127,0.2950203308986613,Smart US 500 (NZD Hedged) ETF
FCT.NZ,0.011213286373206472,0.03994324119216697,14.32,0.138,0.2807305075534392,F&C Investment Trust PLC
GGB.NZ,0.002266707991817634,0.008149107712993351,2.75,0.028,0.278154133145581,Smart Global Government Bond ETF
VNT.NZ,0.02080921101617651,0.08215176086282465,28.04,0.285,0.2533020692146004,Ventia Services Group Limited
FPH.NZ,0.017760439877299233,0.07100599142267608,23.52,0.246,0.25012593333958233,Fisher & Paykel Healthcare Corporation Limited
IFT.NZ,0.011167007367202202,0.04476933792025223,14.25,0.155,0.24943427546536492,Infratil Limited
APA.NZ,0.0065874304668998565,0.02732122193290774,8.2,0.095,0.24111038968449133,Smart Asia Pacific ETF
VGL.NZ,0.02702409567829377,0.11271987265896535,37.71,0.39,0.23974561930224436,Vista Group International Limited
WBC.NZ,0.013815618643232117,0.05800007055012743,17.9,0.201,0.2382000316929229,Westpac Banking Corporation
ASF.NZ,0.011373457818564746,0.04785329225906129,14.54,0.166,0.23767346574594597,Smart Australian Financials ETF
EMF.NZ,0.0064606008589806006,0.028476087878180397,8.03,0.099,0.22687810511818904,Smart Emerging Markets ETF
TWH.NZ,0.007242502188835333,0.03415579446615409,9.05,0.118,0.21204314822810302,Smart Total World (NZD Hedged) ETF
CNU.NZ,0.008682505675212032,0.041276097609724734,10.93,0.143,0.2103519028689964,Chorus Limited
USV.NZ,0.008114348082062177,0.039147212477443016,10.18,0.136,0.2072778000920944,Smart US Large Value ETF
EMG.NZ,0.006514111737387757,0.032000249207530085,8.1,0.111,0.2035644064876501,Smart Emerging Markets ESG ETF
ANZ.NZ,0.009895087792213288,0.049013829745303744,12.54,0.17,0.2018835876248047,ANZ Group Holdings Limited
BOT.NZ,0.010232916691694557,0.05124804065753347,12.99,0.178,0.19967430091769406,Smart Automation and Robotics ETF
MEL.NZ,0.00848043904749438,0.044030503058104596,10.66,0.153,0.1926037282904358,Meridian Energy Limited
ATM.NZ,0.021633731985538227,0.11775015470466994,29.28,0.408,0.18372572027440603,The a2 Milk Company Limited
ASD.NZ,0.006129579318587712,0.034206303800851275,7.61,0.118,0.17919443603945215,Smart Australian Dividend ETF
USM.NZ,0.008046719186028915,0.04526903669482971,10.1,0.157,0.17775326743252637,Smart US Mid Cap ETF
OZY.NZ,0.0066208091122927065,0.037592254562901745,8.24,0.13,0.17612162902372214,Smart Australian Top 20 ETF
BIT.NZ,0.007196955230903945,0.042277378069438896,8.99,0.146,0.17023182514022595,Bankers Ord
AUS.NZ,0.005420151017242302,0.03718704355691201,6.7,0.129,0.14575374912359362,Smart Australian Top 200 ETF
NGB.NZ,0.0016958481930151002,0.012266092505574554,2.05,0.042,0.13825496524214134,Smart S&P/NZX NZ Government Bond ETF
TEM.NZ,0.004546459964133095,0.034438458857274055,5.59,0.119,0.13201694021719546,Templeton Emerging Markets Investment Trust plc
GBF.NZ,0.0015893950765161688,0.012324833262944212,1.92,0.043,0.1289587487803861,Smart Global Bond ETF
USS.NZ,0.006691165973011725,0.056274000179213725,8.33,0.195,0.11890332927644412,Smart US Small Cap ETF
MZY.NZ,0.005273443507576676,0.04581730507754964,6.51,0.159,0.1150971995985126,Smart Australian Mid Cap ETF
