Rank,Name,Ticker,Return (%),Risk
1,DelfinGroup AS,DGR1R.RG,15.69,0.085
2,AS APF Holdings,EGG.RG,21.5,0.381
3,SAF Tehnika A/S,SAF1R.RG,16.76,0.303
4,AS Rigas kugu buvetava,RKB1R.RG,-5.04,0.176
5,AS Siguldas Ciltslietu Un Maksligas Apseklosanas Stacija,SCM1R.RG,-36.95,0.357
6,AS MADARA Cosmetics,MDARA.RG,-22.26,0.135
7,IPAS Indexo AS,IDX1R.RG,-23.05,0.108
