Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
650,"Nature & Environment Co.,Ltd.",043910.KQ,-11.96,0.603,0.607,No
651,Green Cross Medical Science Corporation,142280.KQ,-4.94,0.24,0.557,Yes
652,"Medience Co., Ltd.",014100.KQ,-10.75,0.535,0.491,Yes
653,"Cosmecca Korea Co., Ltd.",241710.KQ,-13.87,0.7,1.972,Yes
654,"Gwangju Shinsegae. Co. ,Ltd.",037710.KS,-1.37,0.064,0.19,Yes
655,"PJ Electronics Co., Ltd.",006140.KQ,-7.03,0.339,2.106,Yes
656,S&S Tech Corporation,101490.KQ,-7.82,0.377,0.704,Yes
657,Misto Holdings Corp.,081660.KS,-2.68,0.125,0.183,No
658,"Lake Materials Co., Ltd.",281740.KQ,-16.75,0.838,1.787,Yes
659,"T-Robotics.Co.,Ltd.",117730.KQ,-11.33,0.551,1.149,Yes
660,"DUKSAN TECHOPIA Co.,Ltd.",317330.KQ,-17.0,0.849,4.918,Yes
661,"INNOGENE Co.,Ltd.",344860.KQ,-6.95,0.329,1.606,Yes
662,"DONGSUNG CHEMICAL Co., Ltd.",102260.KS,-4.18,0.194,0.918,Yes
663,"Daekyo Co., Ltd.",019680.KS,-4.54,0.211,0.173,No
664,"Miwon Commercial Co., Ltd.",002840.KS,-3.23,0.149,0.037,No
665,"BYC Co., Ltd.",001465.KS,-4.56,0.21,0.885,Yes
666,NH Special Purpose Acquisition 24 Company,437780.KQ,-1.34,0.061,0.343,Yes
667,CS Wind Corporation,112610.KS,-12.81,0.609,0.193,Yes
668,"TOVIS Co.,Ltd",051360.KQ,-9.31,0.435,1.162,Yes
669,KOSPI Composite Index,^KS11,-2.68,0.12,1.0,Yes
670,"Kumho Petro Chemical Co.,Ltd",011780.KS,-9.83,0.454,1.365,Yes
671,"Hanwha Life Insurance Co., Ltd.",088350.KS,-4.34,0.195,1.202,Yes
672,WINPAC Inc.,097800.KQ,-20.59,1.003,6.742,Yes
673,"nTels Co., Ltd.",069410.KQ,-7.2,0.323,0.58,Yes
674,"ENF Technology Co., Ltd.",102710.KQ,-10.06,0.458,0.992,Yes
675,"Kyungin Synthetic Co., Ltd.",012610.KS,-3.54,0.155,0.699,Yes
676,"ECSTELECOM Co., Ltd.",067010.KQ,-4.27,0.186,0.635,Yes
677,"SG HealthCare Co., Ltd.",398120.KQ,-18.82,0.883,,
678,"DB Insurance Co., Ltd.",005830.KS,-4.3,0.187,0.393,Yes
679,GS Holdings Corp.,078930.KS,-4.02,0.173,0.833,Yes
680,Samsung C&T Corporation,028260.KS,-5.49,0.238,1.011,Yes
681,"Spigen Korea Co.,Ltd",192440.KQ,-6.28,0.271,1.381,Yes
682,VM Inc.,089970.KQ,-13.63,0.601,2.117,Yes
683,"Wave Electronics Co., Ltd.",095270.KQ,-8.34,0.356,2.06,Yes
684,"Naturalendo Tech Co., Ltd.",168330.KQ,-11.65,0.504,1.338,Yes
685,Hana 33 SPAC,475250.KQ,-1.38,0.057,0.188,Yes
686,"e-future.Co.,Ltd.",134060.KQ,-5.25,0.216,0.858,Yes
