Rank,Name,Ticker,Return (%),Risk
76,Fondo De Inversion Fynsa Renta Fija Privada II,CFIFYNRF2A.SN,5.36,0.1
77,iShares Trust - iShares U.S. Technology ETF,IYWCL.SN,12.35,0.263
78,Holding Bursátil Regional S.A.,NUAM.SN,6.25,0.14
79,Administradora de Fondos de Pensiones PlanVital S.A.,PLANVITAL.SN,10.3,0.267
80,Moneda Cumplo Pronto Pago Pymes Fondo de Inversion,CFIMCUMR.SN,1.39,0.04
81,Larrain Vial Activos S A Administradora General De Fondos - Cuota De Fondo De Inversion,CFIDHS2-A.SN,1.91,0.057
82,SMU S.A.,SMU.SN,6.63,0.211
83,iShares Core S&P 500 ETF,IVV.SN,2.9,0.096
84,Viña Concha y Toro S.A.,CONCHATORO.SN,4.25,0.158
85,iShares Trust - iShares S&P 500 Growth ETF,IVWCL.SN,5.04,0.2
86,Alphabet Inc.,GOOGLCL.SN,9.13,0.365
87,Grupo Security S.A.,SECURITY.SN,2.64,0.124
88,Molibdenos y Metales S.A.,MOLYMET.SN,3.61,0.231
89,"iShares, Inc. - iShares MSCI Emerging Markets ETF",EEMCL.SN,1.68,0.131
90,Empresa Nacional de Telecomunicaciones S.A.,ENTEL.SN,0.37,0.206
91,Minera Valparaiso S.A.,MINERA.SN,-0.36,0.152
92,"Meta Platforms, Inc.",METACL.SN,-2.12,0.355
93,Coca-Cola Embonor S.A.,EMBONOR-B.SN,-1.7,0.187
94,Socovesa S.A.,SOCOVESA.SN,-6.46,0.468
95,Watt's S.A.,WATTS.SN,-4.07,0.202
96,ELI LILLY AND COMPANY,LLYCL.SN,-7.31,0.259
97,Sonda S.A.,SONDA.SN,-5.3,0.178
98,NVIDIA CORP,NVDACL.SN,-11.53,0.37
99,Empresas Hites S.A.,HITES.SN,-14.47,0.433
100,Sigdo Koppers S.A.,SK.SN,-8.78,0.122
101,AntarChile S.A.,ANTARCHILE.SN,-11.85,0.165
102,BTG Pactual Renta Comercial F. I,CFIBTGRCA.SN,-19.82,0.235
103,CAP S.A.,CAP.SN,-21.58,0.19
104,Cintac S.A.,CINTAC.SN,-45.15,0.348
105,MASTERCARD INCORPORATED,MACL.SN,-21.26,0.137
106,Masisa S.A.,MASISA.SN,-34.17,0.218
107,Invercap S.A.,INVERCAP.SN,-34.66,0.176
108,Inmobiliaria Manquehue S.A.,MANQUEHUE.SN,-24.02,0.109
109,Norte Grande S.A.,NORTEGRAN.SN,-38.31,0.176
110,Aurus Capital Renta Inmobiliaria Fondo de Inversión,CFILVPARI1.SN,-16.86,0.061
111,Nitratos de Chile S.A.,NITRATOS.SN,-40.47,0.147
112,Puerto Ventanas S.A.,VENTANAS.SN,-26.92,0.02
113,The Boeing Company,BACL.SN,0.0,0.0
114,Banchile Administradora General - Fondo de Inversion MarketPlus Fund,CFIBCHMPGB.SN,13.33,
